松懋,	4419
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,74595,75634,-1039,6660,-7699,3983,-3822,-0.10,392982
2013 Q2,61440,62688,-1248,6909,-8157,515,-8893,-0.23,392982
2013 Q3,46719,48714,-1995,7592,-9587,-28177,-36671,-0.93,392982
2013 Q4,238165,246634,-8469,32412,-40881,-48594,-89952,-2.29,392982
2014 Q1,42005,41370,635,10109,-9474,-299,-9514,-0.24,392982
2014 Q2,32186,34449,-2263,7826,-10089,225,-9880,-0.25,392982
2014 Q3,31396,34617,-3221,8931,-12152,-10072,-22253,-0.57,392982
2014 Q4,132981,140901,-7920,35112,-43032,-14702,-57795,-1.47,392982
2015 Q1,22862,25304,-2442,7718,-10160,-967,-11265,-0.48,235789
2015 Q2,17588,19247,-1659,6202,-7861,-920,-9118,-0.39,235789
2015 Q3,16014,16841,-827,3902,-4729,-219,-5137,-0.22,235789
2015 Q4,67599,86731,-19132,22752,-41884,-36697,-79395,-3.37,235789
2016 Q1,10230,16456,-6226,4637,-10863,-1868,-16539,-0.70,235789
2016 Q2,4672,5556,-884,4304,-5188,9561,3660,0.15,295789
2016 Q3,6747,9324,-2577,4357,-6934,-7753,-15198,-0.59,295789
2016 Q4,26095,38936,-12841,17556,-30397,-28,-35478,-1.33,295789
2017 Q1,3927,6621,-2694,4083,-6777,-841,-7618,-0.26,295789
2017 Q2,3450,12132,-8682,4620,-13302,104401,88893,3.01,295789
2017 Q3,1125,2078,-953,7354,-8307,-20180,-28487,-0.96,295789
2017 Q4,10541,22752,-12211,20344,-32555,82325,47564,1.59,325789
2018 Q1,2778,1711,1067,8686,-7619,1066,-6553,-0.20,325789
