新復興,	4909
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,397414,303235,94179,39120,55059,26108,65230,0.71,925044
2013 Q2,489610,380401,109209,35285,73924,32465,82608,0.89,925044
2013 Q3,462223,346011,116212,33147,83065,5113,72003,0.77,925044
2013 Q4,1830988,1418505,412483,133363,279120,76835,285250,3.08,925044
2014 Q1,468244,360233,108011,32633,75378,32427,87153,0.94,933568
2014 Q2,422410,328831,93579,30780,62799,14583,60648,0.65,933568
2014 Q3,429790,332466,97324,35771,61553,30973,76981,0.82,933568
2014 Q4,1736282,1374924,361358,132271,229087,119872,282917,3.04,933568
2015 Q1,351751,275372,76379,29010,47369,665,39450,0.42,933568
2015 Q2,378918,301455,77463,29754,47709,226,26289,0.28,933568
2015 Q3,403426,303589,99837,41633,58204,67573,105230,1.13,933568
2015 Q4,1598093,1222665,375428,138606,236822,73670,243076,2.60,933568
2016 Q1,415349,309373,105976,34360,71616,-1772,57849,0.62,933568
2016 Q2,362146,290006,72140,34090,38050,14882,35081,0.38,933568
2016 Q3,397975,292208,105767,31806,73961,-26016,39411,0.42,933568
2016 Q4,1570760,1199561,371199,137981,233218,18689,197443,2.11,933568
