同協,	5460
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,217381,165381,52000,35712,16233,3414,16071,0.22,720320
2013 Q2,224551,173863,50688,35715,14841,434,11009,0.15,720320
2013 Q3,191750,148782,42968,34218,8701,4345,10296,0.14,720320
2013 Q4,880129,680600,199529,143918,55003,12445,52643,0.73,720320
2014 Q1,240451,183334,57117,35450,21225,1217,16915,0.23,720320
2014 Q2,281473,210875,70598,40240,30088,-1634,25752,0.36,720320
2014 Q3,286096,212284,73812,45664,27925,5634,26503,0.37,720320
2014 Q4,1051140,790475,260665,161539,97857,10599,87962,1.22,720320
2015 Q1,253463,195317,58146,36849,21185,1966,18683,0.26,720320
2015 Q2,261242,189115,72127,41388,30706,443,22250,0.31,720320
2015 Q3,226279,165525,60754,45196,15207,1934,13088,0.18,720320
2015 Q4,946781,696651,250130,159460,90053,7677,74656,1.04,720320
2016 Q1,202649,146501,56148,38138,17181,2598,15646,0.22,720320
2016 Q2,219364,158033,61331,40607,20696,2060,18572,0.26,720320
2016 Q3,180197,138049,42148,33630,8427,-973,5824,0.08,720320
2016 Q4,791458,585375,206083,148039,56935,8380,51860,0.72,720320
2017 Q1,203693,148461,55232,34977,20233,-8566,7829,0.11,720320
2017 Q2,229468,172284,57184,40524,16607,2080,15955,0.22,720320
2017 Q3,202936,159860,43076,38411,4425,1719,5346,0.07,720320
2017 Q4,841844,647204,194640,145822,48436,-6486,33075,0.46,720320
2018 Q1,190810,159188,31622,28983,2530,-1393,-5880,-0.08,720320
2018 Q2,232425,186043,46382,37503,8294,3256,9960,0.14,720320
2018 Q3,200896,159502,41394,36443,4723,225,3084,0.04,720320
