劍湖山,	5701
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,405356,180899,224457,296262,-71805,-6683,-78518,-0.20,4714242
2013 Q2,330948,165709,165239,281706,-116467,11873,-104661,-0.27,4714242
2013 Q3,444045,219871,224174,306811,-82637,-6379,-89057,-0.41,2537569
2013 Q4,1532483,758059,774424,1141617,-367193,14010,-353361,-1.63,2537569
2014 Q1,418179,212336,205843,283279,-77436,-3424,-80860,-0.37,2537569
2014 Q2,344589,171741,172848,268948,-96100,-7719,-103926,-0.47,2537569
2014 Q3,454825,216562,238263,294806,-56543,-5302,-61959,-0.27,2537569
2014 Q4,1575486,768686,806800,1124016,-317216,-14923,-332347,-1.44,2537569
2015 Q1,431803,203838,227965,283862,-55897,-10297,-66345,-0.26,2537569
2015 Q2,360691,175279,185412,265157,-79745,-7700,-87494,-0.35,2537569
2015 Q3,390600,201337,189263,290812,-101549,-7058,-108632,-0.42,2537569
2015 Q4,1534717,736741,797976,1110483,-312507,-9519,-322210,-1.27,2537569
2016 Q1,378188,173731,204457,274142,-69685,-5105,-74810,-0.29,2537569
2016 Q2,330979,155909,175070,254776,-79706,-2551,-82348,-0.33,2537569
2016 Q3,362920,180942,181978,269862,-87884,-38262,-126248,-0.50,2537569
2016 Q4,1411164,663212,747952,1055013,-307061,-41343,-348462,-1.37,2537569
2017 Q1,351997,162648,189349,252861,-63512,-32373,-96024,-0.38,2537569
2017 Q2,326008,149568,176440,235291,-58851,-46694,-105513,-0.41,2537569
2017 Q3,167981,94492,73489,100451,-26962,-19480,-68615,-0.27,2537569
2017 Q4,661638,357736,303902,399662,-95760,-127344,-325501,-1.28,2537569
