普誠,	6129
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,331041,212471,118570,157522,-38952,10686,-34996,-0.18,-32246,-2750,1809207
2013 Q2,392755,256471,136284,161471,-25187,-3735,-32505,-0.16,-61975,-5526,1809207
2013 Q3,391722,257738,133984,152735,-18751,-6083,-29441,-0.15,-88600,-8342,1809207
2013 Q4,1490151,970554,519597,633018,-113421,17917,-107021,-0.54,-96915,-10106,1809207
2014 Q1,378840,247480,131360,130211,1149,12668,10766,0.07,12097,-1331,1809207
2014 Q2,392470,256922,135548,142315,-6767,54408,45330,0.25,57991,-1895,1809207
2014 Q3,396620,271318,125302,129668,-4366,10932,5769,0.03,64133,-2268,1809437
2014 Q4,1509590,997563,512027,529868,-17841,108031,78777,0.45,81425,-2648,1809437
2015 Q1,297596,198239,99357,134344,-34987,-14938,-49717,-0.27,-49175,-542,1809437
2015 Q2,323643,217816,105827,148728,-42901,-37181,-78761,-0.43,-127572,-906,1809437
2015 Q3,347508,224867,122641,141061,-18420,4232,-16304,-0.09,-143849,-933,1809437
2015 Q4,1277209,841629,435580,537503,-101923,-47989,-148266,-0.81,-147306,-960,1809437
