欣技,	6160
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,300575,175603,124972,128641,-3669,8148,5651,0.08,709811
2013 Q2,405374,230596,174778,145123,29655,3841,27158,0.42,709811
2013 Q3,383843,228189,155654,152572,3082,14467,12573,0.28,709811
2013 Q4,1431354,812322,619032,597033,21999,30655,43047,0.76,709811
2014 Q1,338097,185217,152880,133304,19576,1976,15293,0.27,692991
2014 Q2,324646,183154,141492,147194,-5702,-1851,-7605,-0.10,692991
2014 Q3,326743,196318,130425,134372,-3947,7569,2856,0.04,692991
2014 Q4,1355735,776526,579209,552895,26314,19000,33650,0.56,692991
2015 Q1,250453,129651,120802,117585,3217,-1012,2200,0.03,684891
2015 Q2,240065,144265,95800,113756,-17956,274,-10183,-0.15,684891
2015 Q3,261076,159593,101483,113338,-11855,13752,1460,0.02,684891
2015 Q4,1130751,656701,474050,441844,32206,14108,41117,0.60,684891
2016 Q1,365704,191857,173847,108200,65647,-4737,52912,0.77,684891
2016 Q2,325840,182470,143370,117746,25624,954,22103,0.32,684891
2016 Q3,295264,168130,127134,119696,7438,-6823,495,0.01,684891
2016 Q4,1304133,730367,573766,477046,96720,-7535,81245,1.19,684891
2017 Q1,234411,144604,89807,143024,-53217,-14241,-54631,-0.79,684891
