京晨科,	6419
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,n/a
2013 Q2,287235,65241,221994,140491,81503,8517,79149,4.36,181531
2013 Q3,n/a
2013 Q4,555716,129599,426117,302048,124069,12610,123734,6.82,181531
2014 Q1,123837,29833,94004,82322,11682,6297,15500,0.85,181531
2014 Q2,134556,35785,98771,96679,2092,-176,-7892,-0.43,181531
2014 Q3,120937,33847,87090,73666,13424,1701,12572,0.69,181531
2014 Q4,512722,134694,378028,356426,21602,12677,16318,0.90,205741
2015 Q1,102408,33301,69107,63796,5311,-4032,1013,0.05,205741
2015 Q2,110254,33676,76578,64581,11997,-550,9502,0.43,220452
2015 Q3,96315,29745,66570,71032,-4462,11689,7783,0.35,220452
2015 Q4,421724,137715,284009,275782,8227,2792,1585,0.07,220452
2016 Q1,86044,37694,48350,68237,-19887,-1062,-21582,-0.98,220452
2016 Q2,85502,26049,59453,60192,-739,-10391,-11124,-0.50,220452
2016 Q3,87402,23598,63804,55607,8197,-7423,782,0.04,220452
2016 Q4,331684,111303,220381,226185,-5804,-13855,-18587,-0.84,220452
2017 Q1,67843,18678,49165,43381,5784,-12884,-7104,-0.32,220452
2017 Q2,70706,27690,43016,52908,-9892,1601,-4243,-0.19,220452
2017 Q3,57074,16027,41047,54134,-13087,671,-12416,-0.56,220452
2017 Q4,263077,84552,178525,199434,-20909,-662,-18789,-0.81,278052
