弘煜科,	6482
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,n/a
2013 Q2,n/a
2013 Q3,n/a
2013 Q4,n/a
2014 Q1,n/a
2014 Q2,33217,528,32689,22826,9863,7684,13963,1.34,105200
2014 Q3,n/a
2014 Q4,82312,2342,79970,62772,17198,14240,20188,1.89,113200
2015 Q1,n/a
2015 Q2,110754,1527,109227,73286,35941,-1925,25297,2.22,113200
2015 Q3,n/a
2015 Q4,252275,1295,250980,190782,60198,-726,41220,3.60,113200
2016 Q1,94540,1491,93049,84119,8930,4357,8467,0.71,113200
2016 Q2,105772,2708,103064,92931,10133,3996,6922,0.56,128900
