常珵,	8097
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,51617,47317,4300,15992,-11692,3020,-8672,-0.63,136743
2013 Q2,47750,43397,4353,17544,-13191,2012,-11179,-0.82,136743
2013 Q3,25585,20597,4988,17489,-12501,2629,-9872,-0.72,136743
2013 Q4,150987,140384,10603,74512,-63909,-1083,-64992,-4.75,136743
2014 Q1,26832,21892,4940,11289,-6349,819,-5530,-0.40,136743
2014 Q2,12554,11757,797,9738,-8941,-1681,-10622,-0.78,136743
2014 Q3,18776,17946,830,10382,-9552,1497,-8055,-0.59,136743
2014 Q4,74991,67381,7610,44150,-36540,-1906,-38446,-2.81,136743
2015 Q1,19985,16949,3036,8545,-5509,2362,-3147,-0.17,266743
2015 Q2,14545,12699,1846,12727,-10881,2028,-8853,-0.40,266743
2015 Q3,13856,11654,2202,9270,-7068,2350,-4718,-0.17,266743
2015 Q4,55000,47887,7113,35540,-28427,69,-28358,-1.16,266743
2016 Q1,22520,19576,2944,6754,-3810,22899,19089,0.72,266743
2016 Q2,19593,13769,5824,6758,-934,3582,2648,0.09,266743
2016 Q3,19862,16865,2997,8283,-5286,1544,-3742,-0.14,266743
2016 Q4,79365,64960,14405,30005,-15600,32996,17397,0.65,266743
2017 Q1,18486,16238,2248,8179,-5931,2192,-3739,-0.14,266743
2017 Q2,26654,21120,5534,6795,-1261,322,-939,-0.04,266743
2017 Q3,28414,23793,4621,7348,-2727,647,-2080,-0.07,266743
2017 Q4,92565,79137,13428,35261,-21833,110217,88384,3.31,266743
