英格爾,	8287
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,4394522,4263844,130678,65640,65038,35694,80521,0.62,1333444
2013 Q2,3917294,3805194,112100,67818,44282,75404,97647,0.75,1333444
2013 Q3,3644423,3514362,130061,64706,65355,-18735,35142,0.27,1333444
2013 Q4,15841652,15346966,494686,275289,219397,120497,269388,2.07,1333444
2014 Q1,2870145,2756505,113640,67519,46121,27568,59118,0.46,1333444
2014 Q2,2993505,2864679,128826,63628,65198,-30714,27357,0.21,1333444
2014 Q3,3098631,2969920,128711,68224,60487,33445,53407,0.41,1333444
2014 Q4,12465020,11992157,472863,302125,170738,105570,200355,1.54,1298444
2015 Q1,3683316,3567608,115708,61082,54626,-16558,29611,0.23,1298444
2015 Q2,4072334,3933461,138873,65152,73721,-24559,26634,0.19,1376351
2015 Q3,3814047,3705733,108314,98775,9539,122065,105829,0.77,1376351
2015 Q4,15840922,15307131,533791,291760,242031,78095,234038,1.71,1346351
2016 Q1,3819443,3653367,166076,76816,89260,-37311,34251,0.25,1346351
2016 Q2,3891802,3715400,176402,69501,106901,10242,79651,0.57,1400205
2016 Q3,4129450,3949800,179650,86773,92877,20654,94943,0.68,1400205
2016 Q4,15557007,14848958,708049,378586,329463,61479,287408,2.05,1400205
2017 Q1,2689761,2508464,181297,58190,123107,-128394,-19984,-0.14,1400205
2017 Q2,1389965,1223578,166387,59106,107281,-4420,64235,0.46,1456214
2017 Q3,707818,559449,148369,1099932,-951563,-88138,-1043128,-7.16,1456214
2017 Q4,5197376,4582320,615056,3328569,-2713513,-226771,-3027100,-20.79,1456213
2018 Q1,375409,287042,88367,51288,37079,12750,15380,0.11,1456213
2018 Q2,541943,406313,135630,60307,75323,-638,28584,0.19,1456213
2018 Q3,555586,398479,157107,55000,102107,18808,67197,0.46,1456213
