惠普,	8424
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,189406,136143,53263,17559,35704,1404,28390,0.95,28390,28390,297970
2013 Q2,209216,153840,55376,17360,38016,2031,30832,1.03,59222,59222,327767
2013 Q3,194722,143090,51632,18012,33620,1090,28810,0.88,0,0,327767
2013 Q4,821839,603475,218364,69748,148616,7340,124730,3.81,124730,124730,327767
2014 Q1,190538,140843,49695,17480,32215,2140,27024,0.82,27024,27024,327767
2014 Q2,228945,162693,66252,18466,47786,-243,37681,1.15,64705,64705,327767
2014 Q3,225531,161399,64132,18321,45811,3710,41125,1.14,105830,105830,360544
2014 Q4,860212,619061,241151,73043,168108,10457,144986,4.02,144986,144986,360544
2015 Q1,201359,149187,52172,17161,35011,4399,31049,0.86,31049,31049,360544
2015 Q2,218970,155026,63944,19505,44439,1151,35813,0.99,66862,66862,360544
2015 Q3,210298,157500,52798,18988,33810,7765,34576,0.96,101438,101438,360544
