全銓,	8913
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,13178,5666,7512,6442,1070,3484,4514,0.09,4514,4514,496811
2013 Q2,14064,5962,8102,5866,2236,5898,6083,0.12,10597,10597,496811
2013 Q3,14892,6205,8687,5769,2918,4209,6370,0.13,16967,16967,496811
2013 Q4,57498,23948,33550,28513,5037,9671,16887,0.34,16887,16887,496811
2014 Q1,16207,6071,10136,7296,2840,2475,5081,0.10,5081,5081,496811
2014 Q2,16208,6045,10163,6046,4117,-1978,2037,0.04,7118,7118,496811
2014 Q3,16338,6034,10304,8388,1916,9540,8804,0.16,15922,15922,546492
2014 Q4,65244,24216,41028,28525,12503,11583,20262,0.37,20262,20262,546492
2015 Q1,17391,6281,11110,6793,4317,-825,5285,0.10,5285,5285,546492
2015 Q2,17602,6315,11287,7330,3957,1041,5199,0.10,0,10484,546492
2015 Q3,17695,6388,11307,7966,3341,7667,10401,0.19,0,20885,546492
2015 Q4,72297,25473,46824,28909,17915,5307,24329,0.45,0,24329,546492
