富堡,	8929
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,299661,240583,59078,39723,19355,8513,18918,0.77,278979
2013 Q2,338682,262395,76287,44870,31417,762,21191,0.57,310594
2013 Q3,328813,263502,65311,41009,24302,2150,20204,0.62,310594
2013 Q4,1327359,1057846,269513,168734,100779,14392,78418,2.52,310594
2014 Q1,313155,252003,61152,44317,16835,5486,15269,0.44,350594
2014 Q2,304384,246530,57854,41359,16495,3742,13224,0.38,350594
2014 Q3,323871,265304,58567,42043,16524,184,10046,0.29,350594
2014 Q4,1276215,1036733,239482,182922,56560,18003,48012,1.37,350594
2015 Q1,327719,262044,65675,50534,15141,8171,14202,0.40,350594
2015 Q2,345640,280810,64830,53498,11332,-2269,3405,0.07,350594
2015 Q3,318199,252384,65815,51558,14257,-2660,6133,0.17,350594
2015 Q4,1345092,1075971,269121,203768,65353,12296,47460,1.32,350594
2016 Q1,283896,221338,62558,43264,19294,5341,18789,0.52,350594
2016 Q2,279058,216374,62684,44965,17719,4289,15035,0.38,368124
2016 Q3,302766,241170,61596,45124,16472,84152,92847,2.46,368123
2016 Q4,1232040,964056,267984,181680,86304,89079,136041,3.58,368123
2017 Q1,311246,238532,72714,46773,25941,52623,71327,1.90,368123
2017 Q2,434219,346963,87256,45119,42137,-3232,6104,0.13,427023
