關中,	8941
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,763839,590547,173292,224987,-51695,10508,-41187,-0.29,1515002
2013 Q2,839014,586391,252623,241895,10728,35589,46317,0.34,1515002
2013 Q3,658654,449596,209058,228355,-19297,-19591,-38884,-0.34,151500
2013 Q4,2853988,2061478,792510,912632,-120122,20446,-89199,-4.25,178000
2014 Q1,613303,448470,164833,232028,-67195,295,-67985,-3.49,178000
2014 Q2,677314,437830,239484,243309,-3825,123964,120140,6.81,178000
2014 Q3,701013,486554,214459,248018,-33559,285814,252255,14.33,178000
2014 Q4,2444065,1676642,767423,966280,-198857,429603,222395,13.12,178000
2015 Q1,586857,392696,194161,211879,-17718,-779,-18534,-0.97,178000
2015 Q2,736607,456187,280420,229769,50651,20524,59006,3.34,214098
2015 Q3,612951,427196,185755,200319,-14564,73593,59029,2.82,214098
2015 Q4,2534949,1681507,853442,849509,3933,59243,49471,2.80,214098
2016 Q1,578820,397515,181305,169677,11628,-9860,1768,0.28,214098
2016 Q2,702448,465263,237185,173986,63199,-52108,8587,0.65,236324
2016 Q3,651697,450105,201592,178325,23267,-5114,17861,0.99,236324
2016 Q4,2458781,1670890,787891,683016,104875,-68781,31527,2.23,236324
2017 Q1,541880,370416,171464,159481,11983,-10501,2237,0.26,236324
2017 Q2,752143,517452,234691,198840,35851,37912,73470,3.04,236324
