漢來美食,	1268
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,24000,134.00,135.00,134.00,134.50,+0.50,18,3224500
107/06/04,23000,135.00,135.00,134.50,135.00,+0.50,20,3101500
107/06/05,7374,135.50,135.50,134.00,134.00,-1.00,12,992677
107/06/06,29123,134.00,135.50,133.50,134.50,+0.50,26,3905851
107/06/07,39975,134.50,136.00,134.00,135.50,+1.00,31,5395650
107/06/08,8200,135.00,135.00,134.50,135.00,-0.50,9,1106099
107/06/11,5139,134.00,134.50,134.00,134.50,-0.50,7,690834
107/06/12,10107,135.50,135.50,134.50,134.50,0.00,12,1362998
107/06/13,13605,134.50,134.50,134.00,134.00,-0.50,20,1824570
107/06/14,18862,133.50,134.00,133.50,133.50,-0.50,28,2520575
107/06/15,9200,133.50,133.50,133.00,133.50,0.00,11,1226300
107/06/19,46459,133.00,133.00,131.00,131.00,-2.50,43,6128047
107/06/20,54200,130.50,130.50,128.50,129.50,-1.50,46,7012200
107/06/21,31000,129.00,132.50,129.00,132.00,+2.50,30,4045500
107/06/22,14850,132.00,132.00,131.00,131.00,-1.00,19,1950772
107/06/25,31800,131.00,131.00,128.50,128.50,-2.50,40,4108299
107/06/26,215800,128.50,129.50,128.00,128.50,0.00,32,27746200
107/06/27,18810,128.50,131.00,128.50,129.00,+0.50,28,2433300
107/06/28,7170,128.00,128.50,128.00,128.50,-0.50,9,921025
107/06/29,25533,129.50,129.50,127.50,128.50,0.00,32,3272488
107/07/02,27000,128.00,128.00,126.50,126.50,-2.00,23,3431500
107/07/03,52200,126.50,126.50,123.50,124.00,-2.50,47,6503300
107/07/04,61797,123.50,124.00,122.00,122.00,-2.00,63,7621531
107/07/05,201960,122.00,122.00,118.00,118.50,-3.50,89,24028740
107/07/06,58399,118.50,119.50,116.50,118.50,0.00,51,6908079
107/07/09,117653,119.50,123.50,119.00,123.00,+4.50,83,14229778
107/07/10,42300,115.00,115.00,113.00,113.00,,45,4834650
107/07/11,31200,113.00,113.00,110.00,111.00,-2.00,32,3485100
107/07/12,24647,110.00,111.00,109.50,110.50,-0.50,29,2714111
107/07/13,81408,120.00,121.50,120.00,121.50,+11.00,65,9857072
107/07/16,281549,133.50,133.50,133.00,133.50,+12.00,200,37576291
107/07/17,183281,135.00,136.50,130.50,131.00,-2.50,176,24548092
107/07/18,136131,131.00,134.00,128.50,131.00,0.00,115,17808725
107/07/19,72306,130.00,130.00,126.00,129.00,-2.00,68,9256780
107/07/20,38300,129.00,130.00,128.00,130.00,+1.00,35,4964850
107/07/23,45100,129.00,131.00,128.50,131.00,+1.00,41,5868100
107/07/24,59217,129.50,131.00,129.50,131.00,0.00,46,7721927
107/07/25,521838,131.00,132.00,129.50,132.00,+1.00,57,68822116
107/07/26,65000,131.50,133.00,130.00,132.50,+0.50,45,8572500
107/07/27,44100,132.50,133.00,131.00,133.00,+0.50,43,5843700
107/07/30,71003,134.00,134.00,132.00,134.00,+1.00,64,9461902
107/07/31,70244,133.00,134.00,133.00,133.50,-0.50,59,9361073
107/08/01,85210,132.00,133.50,131.50,133.50,0.00,67,11305640
107/08/02,101100,133.00,134.00,131.50,134.00,+0.50,69,13468300
107/08/03,69250,133.00,134.50,133.00,134.50,+0.50,49,9273500
107/08/06,50300,133.50,134.50,133.50,134.50,0.00,39,6744300
107/08/07,497244,134.50,134.50,134.00,134.00,-0.50,24,66636318
107/08/08,41100,134.00,134.50,134.00,134.50,+0.50,31,5523400
107/08/09,85018,134.50,135.00,134.00,135.00,+0.50,53,11441412
107/08/10,61237,134.00,135.00,134.00,135.00,0.00,87,8219758
107/08/13,85559,135.00,135.00,134.00,134.00,-1.00,87,11464847
107/08/14,73662,131.00,134.50,131.00,134.50,+0.50,55,9855371
107/08/15,83029,134.50,135.00,134.00,135.00,+0.50,64,11162886
107/08/16,79203,134.50,135.00,134.50,135.00,0.00,70,10672202
107/08/17,552314,134.50,136.00,134.50,136.00,+1.00,70,75054713
107/08/20,72096,136.00,137.50,136.00,137.50,+1.50,66,9851097
107/08/21,51760,136.50,139.00,136.50,139.00,+1.50,43,7132494
107/08/22,74181,139.00,140.50,139.00,140.00,+1.00,84,10366659
107/08/23,42721,139.00,140.50,139.00,140.50,+0.50,32,5987219
107/08/24,102734,139.50,142.50,139.50,142.00,+1.50,82,14562994
107/08/27,76604,142.50,143.00,141.00,143.00,+1.00,70,10922268
107/08/28,69236,143.50,143.50,142.50,143.00,0.00,38,9914012
107/08/29,71883,142.00,143.50,142.00,143.00,0.00,49,10268886
107/08/30,89849,142.50,143.00,141.50,142.50,-0.50,49,12811209
107/08/31,82672,141.00,142.00,139.50,141.00,-1.50,43,11650080
