直得,	1597
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,75952,43.00,43.20,42.55,43.00,-0.10,51,3257150
104/01/06,143602,42.65,43.90,42.30,42.65,-0.35,92,6173913
104/01/07,89452,42.65,43.45,42.15,42.15,-0.50,52,3818411
104/01/08,60000,42.55,42.75,41.70,41.75,-0.40,40,2536400
104/01/09,114632,41.75,42.20,41.35,41.70,-0.05,81,4795352
104/01/12,89900,41.00,41.05,40.50,40.50,-1.20,68,3660324
104/01/13,50850,40.50,40.60,40.10,40.60,+0.10,45,2053423
104/01/14,30750,40.60,40.60,40.10,40.50,-0.10,36,1242523
104/01/15,31881,40.50,40.60,40.10,40.20,-0.30,28,1284493
104/01/16,24309,40.50,40.50,40.00,40.00,-0.20,26,974062
104/01/19,50561,40.60,40.60,39.10,39.20,-0.80,29,1995559
104/01/20,17575,39.20,40.00,39.10,39.80,+0.60,19,694070
104/01/21,46135,39.50,40.10,39.20,39.25,-0.55,30,1817598
104/01/22,83572,39.40,39.70,39.10,39.30,+0.05,46,3297427
104/01/23,43867,39.50,39.70,39.30,39.30,0.00,34,1727213
104/01/26,24257,40.05,40.05,39.30,39.50,+0.20,19,958849
104/01/27,44057,39.55,39.80,39.30,39.80,+0.30,36,1739550
104/01/28,56454,39.60,39.60,39.15,39.15,-0.65,40,2216441
104/01/29,53453,39.00,39.00,38.65,38.80,-0.35,37,2073817
104/01/30,25576,38.80,38.85,38.60,38.80,0.00,30,990795
104/02/02,24566,38.80,38.80,38.30,38.30,-0.50,25,944425
104/02/03,65127,38.10,38.10,37.60,38.00,-0.30,59,2466541
104/02/04,44774,38.10,38.10,37.70,37.85,-0.15,33,1698592
104/02/05,47136,37.85,37.85,37.15,37.15,-0.70,39,1763200
104/02/06,47970,36.80,37.45,36.60,36.60,-0.55,43,1762688
104/02/09,32654,36.60,36.60,36.15,36.15,-0.45,30,1186237
104/02/10,51858,34.05,36.15,34.05,35.60,-0.55,36,1852771
104/02/11,298410,36.50,38.05,35.70,38.05,+2.45,192,11308595
104/02/12,195751,39.00,39.15,38.05,38.30,+0.25,160,7533247
104/02/13,84330,38.00,38.00,37.20,37.20,-1.10,83,3152389
104/02/24,32412,37.20,37.35,37.10,37.15,-0.05,34,1208304
104/02/25,67446,37.20,38.45,37.20,38.20,+1.05,60,2569946
104/02/26,33060,38.20,38.20,37.40,37.65,-0.55,34,1245680
104/03/02,72402,37.80,37.80,37.00,37.10,-0.55,54,2692214
104/03/03,41094,37.55,37.90,37.40,37.70,+0.60,32,1547443
104/03/04,62537,38.40,38.45,37.85,37.85,+0.15,46,2379291
104/03/05,19500,37.90,38.10,37.90,37.90,+0.05,17,741000
104/03/06,20169,37.50,38.35,37.50,37.75,-0.15,26,761994
104/03/09,110984,38.45,38.45,37.35,37.35,-0.40,74,4178146
104/03/10,64342,37.60,37.60,37.00,37.00,-0.35,48,2401036
104/03/11,32561,37.00,37.40,36.90,36.90,-0.10,35,1208198
104/03/12,16200,36.90,37.10,36.90,37.00,+0.10,19,599800
104/03/13,45750,36.80,37.35,36.70,37.35,+0.35,37,1691175
104/03/16,243182,38.40,39.40,38.35,38.65,+1.30,173,9408279
104/03/17,79901,38.75,39.10,38.20,38.40,-0.25,62,3083457
104/03/18,28160,38.15,38.30,38.10,38.20,-0.20,27,1075280
104/03/19,40262,38.10,38.70,38.00,38.35,+0.15,29,1550082
104/03/20,54102,38.10,38.25,37.70,38.15,-0.20,48,2051964
104/03/23,64135,38.10,38.35,37.80,38.00,-0.15,52,2438630
104/03/24,32000,38.25,38.25,37.85,38.10,+0.10,28,1216900
104/03/25,38462,38.60,38.60,37.65,37.65,-0.45,35,1455443
104/03/26,16501,37.50,37.70,37.35,37.35,-0.30,22,619135
104/03/27,39005,37.50,37.65,37.25,37.30,-0.05,33,1461185
104/03/30,50100,37.20,37.20,35.05,36.30,-1.00,40,1829929
104/03/31,45202,35.70,36.50,35.70,36.50,+0.20,39,1633682
104/04/01,110168,36.50,36.50,34.20,35.10,-1.40,82,3860095
104/04/02,51747,35.10,35.40,34.85,35.10,0.00,48,1817193
104/04/07,32300,34.90,35.30,34.90,35.30,+0.20,22,1134250
104/04/08,61114,35.30,35.30,35.00,35.30,0.00,46,2143940
104/04/09,17455,35.30,35.30,35.00,35.00,-0.30,21,612804
104/04/10,27408,35.10,35.45,35.10,35.15,+0.15,29,967081
104/04/13,50673,35.15,35.80,35.00,35.75,+0.60,36,1792890
104/04/14,52900,35.70,36.00,35.55,36.00,+0.25,31,1899677
104/04/15,65496,37.20,37.20,36.20,36.50,+0.50,56,2399251
104/04/16,13239,36.20,36.20,35.70,36.00,-0.50,18,475977
104/04/17,16359,36.45,36.45,35.30,35.50,-0.50,21,583493
104/04/20,11000,35.40,35.40,34.80,34.80,-0.70,11,385100
104/04/21,44561,34.65,34.65,34.00,34.60,-0.20,33,1530995
104/04/22,24456,34.95,34.95,33.60,33.60,-1.00,31,836817
104/04/23,47300,33.60,33.90,33.50,33.90,+0.30,46,1588238
104/04/24,87786,33.90,35.10,33.90,34.75,+0.85,64,3056460
104/04/27,46671,35.85,35.85,34.65,34.65,-0.10,36,1630980
104/04/28,18264,34.30,35.00,34.30,34.40,-0.25,19,628806
104/04/29,38307,34.40,34.50,33.90,34.00,-0.40,35,1303451
104/04/30,27155,33.60,34.25,33.60,34.20,+0.20,19,924966
104/05/04,21633,34.90,34.90,34.00,34.40,+0.20,21,741614
104/05/05,32655,34.25,34.25,33.90,33.95,-0.45,23,1110620
104/05/06,61715,33.65,34.30,33.60,34.00,+0.05,39,2088015
104/05/07,99202,33.80,35.65,33.80,34.60,+0.60,71,3455148
104/05/08,83499,34.80,35.30,34.50,35.25,+0.65,67,2919965
104/05/11,70297,35.70,35.70,34.00,34.00,-1.25,53,2443598
104/05/12,54922,34.10,34.55,34.00,34.40,+0.40,41,1876739
104/05/13,167707,34.40,35.20,34.00,35.20,+0.80,93,5771295
104/05/14,102426,35.70,35.70,34.85,35.30,+0.10,61,3609929
104/05/15,74356,34.85,35.50,34.85,35.50,+0.20,60,2624080
104/05/18,93240,35.10,36.25,35.10,35.60,+0.10,59,3308122
104/05/19,117257,35.50,36.20,35.40,36.20,+0.60,85,4216375
104/05/20,45515,36.25,36.30,35.70,36.20,0.00,44,1644690
104/05/21,41157,36.20,36.30,35.80,36.30,+0.10,35,1482852
104/05/22,135415,36.50,36.70,35.10,36.20,-0.10,89,4876890
104/05/25,69850,36.20,36.20,35.65,36.20,0.00,36,2504050
104/05/26,29496,36.20,36.20,35.75,36.00,-0.20,23,1060506
104/05/27,22193,35.40,35.85,35.40,35.50,-0.50,20,789301
104/05/28,17474,35.30,35.55,35.30,35.50,0.00,21,618717
104/05/29,38675,35.50,35.50,34.80,35.00,-0.50,37,1355340
104/06/01,28102,34.20,34.45,34.20,34.45,-0.55,22,962288
104/06/02,36774,34.20,34.50,34.05,34.50,+0.05,30,1262169
104/06/03,29570,34.20,34.35,34.00,34.35,-0.15,26,1010927
104/06/04,42466,34.35,34.40,33.15,33.20,-1.15,33,1425470
104/06/05,22100,33.20,33.80,33.20,33.20,0.00,17,735719
104/06/08,34000,33.20,33.20,32.10,32.30,-0.90,25,1104750
104/06/09,68080,32.00,32.00,29.55,31.20,-1.10,68,2101680
104/06/10,45715,31.10,31.50,31.10,31.50,+0.30,33,1431657
104/06/11,34160,31.90,31.90,30.20,31.70,+0.20,34,1072290
104/06/12,26472,31.00,31.70,31.00,31.70,0.00,20,832818
104/06/15,18281,31.60,31.70,31.10,31.10,-0.60,20,572339
104/06/16,17962,31.00,31.20,30.55,31.00,-0.10,19,556472
104/06/17,14038,31.30,31.30,31.00,31.20,+0.20,12,437685
104/06/18,15752,31.30,31.45,31.30,31.45,+0.25,17,494635
104/06/22,17312,31.75,31.80,31.70,31.80,+0.35,18,549242
104/06/23,21524,32.50,32.55,32.20,32.50,+0.70,20,698323
104/06/24,23794,32.30,32.90,31.55,32.90,+0.40,26,771153
104/06/25,17410,33.40,33.40,32.50,32.85,-0.05,19,571694
104/06/26,11810,33.00,33.00,32.15,32.35,-0.50,18,385149
104/06/29,15000,32.40,32.50,32.00,32.40,+0.05,13,484900
104/06/30,19310,32.50,32.60,32.20,32.50,+0.10,18,626763
104/07/01,49952,29.35,32.70,29.35,32.70,+0.20,49,1568543
104/07/02,18000,32.70,33.25,32.20,32.80,+0.10,17,590250
104/07/03,11850,31.80,32.50,31.80,32.50,-0.30,12,382970
104/07/06,19810,32.50,32.50,30.80,31.75,-0.75,19,622617
104/07/07,10000,31.55,31.85,31.05,31.85,+0.10,7,314750
104/07/08,33650,31.05,31.50,30.00,30.80,-1.05,24,1028990
104/07/09,70038,30.15,30.15,29.20,29.40,-1.40,61,2071164
104/07/13,101040,29.50,29.60,28.70,29.05,-0.35,86,2928807
104/07/14,61122,28.55,29.15,28.55,28.60,,53,1757087
104/07/15,101354,28.65,28.80,25.75,25.75,-2.85,72,2694698
104/07/16,253050,23.80,25.75,23.80,25.75,0.00,157,6279541
104/07/17,88514,25.00,25.50,24.70,25.00,-0.75,69,2211800
104/07/20,86300,24.80,26.20,24.80,25.30,+0.30,63,2209740
104/07/21,75500,25.60,26.00,24.70,25.10,-0.20,56,1898347
104/07/22,77120,25.50,25.50,24.80,25.00,-0.10,46,1932762
104/07/23,110460,25.00,25.10,23.30,24.80,-0.20,74,2699862
104/07/24,32750,24.70,24.90,24.00,24.00,-0.80,28,798600
104/07/27,159159,23.70,23.80,21.85,22.50,-1.50,127,3595058
104/07/28,124330,22.50,23.10,22.00,23.00,+0.50,84,2815522
104/07/29,44482,23.60,23.60,22.60,23.00,0.00,34,1024087
104/07/30,59070,22.05,23.40,22.05,23.40,+0.40,49,1349045
104/07/31,82057,23.40,23.95,23.10,23.65,+0.25,62,1930239
104/08/03,64000,23.70,23.70,22.60,23.00,-0.65,46,1472100
104/08/04,57167,23.40,23.40,22.10,22.90,-0.10,52,1302457
104/08/05,33052,22.90,23.30,22.90,23.20,+0.30,25,763659
104/08/06,44550,23.30,24.00,23.20,23.50,+0.30,39,1044492
104/08/07,116921,24.20,24.60,24.00,24.50,+1.00,81,2839756
104/08/10,81130,25.60,26.00,24.90,26.00,+1.50,54,2065556
104/08/11,98665,25.25,26.30,25.00,25.60,-0.40,78,2521239
104/08/12,59157,25.60,26.60,25.50,25.70,+0.10,40,1524834
104/08/13,53552,26.10,26.50,25.10,25.10,-0.60,37,1365050
104/08/14,29100,24.80,25.80,24.80,25.20,+0.10,25,734820
104/08/17,29087,25.40,25.50,25.00,25.25,+0.05,19,733996
104/08/18,42706,25.10,25.30,24.60,24.80,-0.45,30,1062000
104/08/19,44000,24.80,25.15,24.15,24.65,-0.15,33,1079850
104/08/20,27250,25.20,25.20,24.40,24.85,+0.20,21,675225
104/08/21,84851,24.85,25.00,23.70,24.00,-0.85,71,2053501
104/08/24,161865,23.75,23.75,21.60,21.90,-2.10,100,3570719
104/08/25,111200,22.10,24.05,21.90,23.60,+1.70,77,2593900
104/08/26,28251,23.60,24.00,23.50,23.90,+0.30,25,673723
104/08/27,83557,24.50,26.00,24.00,25.45,+1.55,74,2110485
104/08/28,44255,26.40,26.40,25.50,25.60,+0.15,36,1144076
104/08/31,22100,26.10,26.40,26.00,26.10,+0.50,18,577320
104/09/01,39200,26.45,26.45,25.40,25.40,-0.70,31,1010029
104/09/02,71102,25.60,25.60,24.50,25.30,-0.10,42,1773960
104/09/03,37102,26.20,26.20,25.10,25.45,+0.15,36,945180
104/09/04,44414,25.60,25.80,25.15,25.30,-0.15,36,1122540
104/09/07,31449,25.25,25.30,24.90,25.30,0.00,26,790570
104/09/08,46660,25.50,25.50,25.00,25.30,0.00,31,1175616
104/09/09,91200,25.70,26.50,25.65,25.90,+0.60,58,2360290
104/09/10,35052,25.85,25.85,25.25,25.70,-0.20,29,893086
104/09/11,45350,26.00,26.00,25.50,25.50,-0.20,25,1166762
104/09/14,73000,25.80,25.85,24.70,24.70,-0.80,36,1830100
104/09/15,28307,25.20,25.50,24.50,24.80,+0.10,21,707932
104/09/16,98459,25.20,25.55,25.10,25.20,+0.40,60,2486896
104/09/17,94500,25.60,25.70,25.10,25.40,+0.20,68,2400300
104/09/18,238708,25.50,27.70,25.45,27.25,+1.85,197,6373739
104/09/21,107343,27.25,27.40,26.40,27.00,-0.25,85,2893512
104/09/22,64535,27.10,27.20,26.50,26.90,-0.10,50,1729867
104/09/23,88762,26.30,26.85,25.75,26.60,-0.30,69,2331516
104/09/24,155550,26.60,27.35,26.00,26.50,-0.10,106,4155115
104/09/25,681118,26.50,29.15,26.00,29.15,+2.65,409,19568332
104/09/30,468721,28.95,29.45,27.30,27.50,-1.65,367,13279098
104/10/01,171200,28.00,28.05,27.50,27.70,+0.20,101,4756989
104/10/02,100030,28.00,28.00,27.40,27.50,-0.20,66,2761424
104/10/05,204404,28.25,28.40,26.95,27.20,-0.30,138,5635888
104/10/06,79257,27.30,27.90,26.95,27.25,+0.05,61,2155065
104/10/07,135564,27.00,28.00,27.00,27.60,+0.35,77,3735651
104/10/08,51664,27.90,28.25,27.35,27.65,+0.05,43,1438608
104/10/12,64230,27.90,27.90,27.30,27.60,-0.05,50,1768902
104/10/13,75081,27.90,27.90,27.05,27.35,-0.25,57,2056035
104/10/14,65000,27.50,27.50,26.90,27.30,-0.05,49,1763800
104/10/15,99551,27.40,27.65,27.15,27.60,+0.30,74,2732278
104/10/16,84952,27.60,27.80,27.30,27.70,+0.10,55,2346279
104/10/19,34052,28.00,28.15,27.75,27.85,+0.15,30,951540
104/10/20,136000,28.50,28.50,27.55,27.85,0.00,89,3786950
104/10/21,79316,27.90,28.10,27.35,27.50,-0.35,55,2197576
104/10/22,70500,27.70,28.00,27.70,27.70,+0.20,51,1963974
104/10/23,49200,27.80,27.95,27.65,27.80,+0.10,33,1367540
104/10/26,36000,27.80,28.30,27.80,28.00,+0.20,30,1007400
104/10/27,44350,28.00,28.00,27.35,27.50,-0.50,36,1221522
104/10/28,46369,27.65,28.05,27.50,27.65,+0.15,35,1286197
104/10/29,34600,27.80,27.90,27.25,27.40,-0.25,31,949920
104/10/30,29100,27.50,27.60,27.35,27.50,+0.10,16,798840
104/11/02,28452,27.70,27.95,27.40,27.55,+0.05,26,787025
104/11/03,36604,27.70,27.85,27.45,27.65,+0.10,35,1012528
104/11/04,96102,27.70,27.95,27.20,27.70,+0.05,72,2649955
104/11/05,71310,27.70,27.90,27.50,27.80,+0.10,45,1976456
104/11/06,79062,27.85,27.90,27.40,27.75,-0.05,53,2182605
104/11/09,82762,27.40,28.00,27.00,27.65,-0.10,62,2278555
104/11/10,47000,27.70,27.70,27.30,27.60,-0.05,23,1292900
104/11/11,122470,27.70,27.70,26.00,26.10,-1.50,74,3290523
104/11/12,66252,26.10,26.55,25.80,26.20,+0.10,47,1737252
104/11/13,70196,25.80,26.30,25.80,26.00,-0.20,40,1834994
104/11/16,59155,25.80,25.85,25.60,25.85,-0.15,27,1527345
104/11/17,65200,25.90,26.40,25.90,26.25,+0.40,42,1709900
104/11/18,1256904,26.70,28.85,26.55,28.50,+2.25,560,35898871
104/11/19,374209,28.05,28.75,27.50,27.60,-0.90,217,10442565
104/11/20,508865,27.80,30.20,27.80,29.40,+1.80,319,14844847
104/11/23,294041,30.6,30.6,29.3,29.5,0.1,199,8791207
104/11/24,219140,29.60,30.40,28.90,28.90,-0.60,138,6462218
104/11/25,166205,28.70,29.70,28.00,28.05,-0.85,109,4703699
104/11/26,133719,28.10,28.90,28.00,28.00,-0.05,90,3765332
104/11/27,63750,28.30,28.30,27.70,27.70,-0.30,49,1776824
104/11/30,91217,27.60,28.40,27.60,27.70,0.00,57,2555910
104/12/01,236420,27.80,29.10,27.70,28.80,+1.10,154,6763212
104/12/02,128696,28.95,29.10,28.10,28.20,-0.60,92,3655438
104/12/03,82302,28.30,28.55,27.85,27.85,-0.35,50,2322310
104/12/04,80593,28.05,28.90,28.05,28.40,+0.55,62,2292639
104/12/07,147355,28.45,29.20,28.45,28.80,+0.40,101,4245402
104/12/08,109000,29.00,29.15,28.00,28.45,-0.35,75,3097400
104/12/09,123350,28.60,28.80,27.30,27.90,-0.55,96,3449745
104/12/10,84996,28.00,28.00,27.05,27.35,-0.55,63,2333689
104/12/11,184166,27.45,27.70,26.00,26.00,-1.35,135,4900816
104/12/14,100018,26.00,26.00,25.00,26.00,0.00,67,2558572
104/12/15,82100,26.10,27.85,26.10,26.70,+0.70,49,2191370
104/12/16,50500,26.75,26.75,26.50,26.60,-0.10,33,1343100
104/12/17,62000,26.55,26.80,26.35,26.65,+0.05,45,1647200
104/12/18,61000,26.70,27.20,26.50,26.85,+0.20,39,1636050
104/12/21,54050,26.75,26.75,26.10,26.60,-0.25,40,1432177
104/12/22,65102,26.70,27.05,26.15,26.60,0.00,45,1735042
104/12/23,51569,26.60,26.95,26.30,26.55,-0.05,33,1374963
104/12/24,74000,26.70,27.20,26.40,26.45,-0.10,42,1983700
104/12/25,32452,26.50,26.95,26.50,26.85,+0.40,25,869317
104/12/28,73205,26.90,26.90,26.30,26.90,+0.05,46,1954223
104/12/29,44565,26.90,26.90,26.30,26.70,-0.20,32,1186722
104/12/30,30150,26.80,26.95,26.40,26.80,+0.10,24,806962
104/12/31,35806,26.85,26.90,26.50,26.85,+0.05,25,960539
105/01/04,20150,26.50,26.75,26.40,26.40,-0.45,17,536640
105/01/05,28003,26.00,26.30,25.70,26.25,-0.15,19,729329
105/01/06,43675,26.35,26.35,25.50,25.90,-0.35,39,1126413
105/01/07,79462,26.00,26.20,25.10,25.30,-0.60,51,2024045
105/01/08,31955,25.30,25.60,25.15,25.60,+0.30,34,812604
105/01/11,59000,25.80,26.00,25.45,25.70,+0.10,47,1514900
105/01/12,65000,25.60,26.15,24.70,25.00,-0.70,47,1652250
105/01/13,47312,24.70,25.70,24.70,25.10,+0.10,34,1189917
105/01/14,51000,25.00,25.10,24.35,24.60,-0.50,31,1265500
105/01/15,38150,24.70,26.00,24.70,24.75,+0.15,28,961389
105/01/18,86000,24.50,25.30,24.40,25.10,+0.35,71,2133000
105/01/19,54040,25.10,25.50,25.10,25.35,+0.25,39,1367808
105/01/20,43212,25.35,26.00,25.10,25.30,-0.05,36,1105571
105/01/21,35150,25.40,25.90,25.00,25.35,+0.05,25,891429
105/01/22,54157,25.35,25.90,25.10,25.50,+0.15,42,1383221
105/01/25,42044,25.60,25.80,25.40,25.55,+0.05,33,1075974
105/01/26,43000,25.60,25.90,25.00,25.10,-0.45,29,1085850
105/01/27,68300,25.00,25.10,24.70,24.90,-0.20,45,1700450
105/01/28,13300,24.95,24.95,24.50,24.80,-0.10,12,328440
105/01/29,79600,24.90,24.90,24.60,24.90,+0.10,45,1973649
105/01/30,113832,24.95,26.00,24.95,25.70,+0.80,77,2905465
105/02/01,36250,25.75,25.75,25.20,25.30,-0.40,28,924787
105/02/02,53000,25.10,25.90,25.10,25.40,+0.10,36,1343000
105/02/03,41465,25.50,26.00,25.25,25.40,0.00,30,1057418
105/02/15,50200,24.70,25.40,24.70,25.00,-0.40,45,1261000
105/02/16,46970,25.20,25.50,24.85,25.20,+0.20,47,1182683
105/02/17,56050,25.30,25.30,24.90,25.20,0.00,23,1411152
105/02/18,113890,25.40,25.40,24.80,25.00,-0.20,95,2845431
105/02/19,59507,25.10,25.30,24.80,24.80,-0.20,43,1484173
105/02/22,33512,24.95,24.95,24.70,24.85,+0.05,23,832596
105/02/23,70001,24.85,25.30,24.60,25.00,+0.15,58,1745173
105/02/24,38307,25.10,25.20,24.70,25.00,0.00,30,951344
105/02/25,36100,25.00,25.00,24.80,24.90,-0.10,24,900294
105/02/26,43357,24.90,25.00,24.70,24.95,+0.05,37,1077501
105/03/01,78495,25.00,25.35,25.00,25.10,+0.15,50,1973174
105/03/02,122262,25.20,25.55,25.20,25.30,+0.20,73,3106878
105/03/03,208100,25.30,26.00,25.30,25.65,+0.35,129,5360200
105/03/04,55126,25.90,25.90,25.55,25.65,0.00,52,1419797
105/03/07,93250,25.90,25.95,25.45,25.55,-0.10,64,2400599
105/03/08,110667,25.40,25.90,25.40,25.60,+0.05,67,2822491
105/03/09,257964,25.70,27.40,25.70,26.25,+0.65,194,6871453
105/03/10,910670,27.00,28.85,26.50,28.85,+2.60,480,25768771
105/03/11,1241127,30.50,31.70,30.05,31.70,+2.85,691,38714618
105/03/14,2402475,34.35,34.85,33.00,34.85,+3.15,1263,82745074
105/03/15,2071967,36.80,36.80,31.40,31.40,-3.45,1224,70891262
105/03/16,2337755,31.50,34.50,31.50,33.50,+2.10,1397,78157823
105/03/17,1265001,31.30,31.75,30.25,30.50,-3.00,778,39279528
105/03/18,516255,31.00,32.00,30.60,30.60,+0.10,362,16108777
105/03/21,437150,30.90,31.00,29.20,29.80,-0.80,285,13067554
105/03/22,213299,30.00,30.65,29.50,30.20,+0.40,167,6417849
