揚秦,	2755
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
110/01/04,53801,58.60,59.50,58.60,59.00,-0.10,49,3182049
110/01/05,43950,59.00,59.00,58.30,58.70,-0.30,54,2580391
110/01/06,95683,58.90,59.10,57.00,57.70,-1.00,76,5533919
110/01/07,59383,57.80,58.30,57.30,57.50,-0.20,41,3438512
110/01/08,99014,57.50,57.50,56.00,56.00,-1.50,97,5585445
110/01/11,84221,56.20,57.20,56.00,57.00,+1.00,67,4740231
110/01/12,45350,57.90,57.90,56.10,56.10,-0.90,42,2593369
110/01/13,62154,57.00,58.00,56.70,57.60,+1.50,51,3559854
110/01/14,52220,57.90,58.00,56.40,56.60,-1.00,40,2969249
110/01/15,87410,56.60,56.90,55.00,55.80,-0.80,75,4885679
110/01/18,44426,55.50,55.50,54.50,55.40,-0.40,46,2444550
110/01/19,26000,55.00,55.30,54.40,54.50,-0.90,25,1420000
110/01/20,75240,54.50,54.60,53.00,53.00,-1.50,56,4030621
110/01/21,101294,53.00,53.30,51.00,51.50,-1.50,77,5250310
110/01/22,57896,51.30,52.30,51.00,51.70,+0.20,56,2991042
110/01/25,34815,51.40,54.10,51.40,51.70,0.00,38,1828137
110/01/26,42360,51.70,51.70,50.60,50.70,-1.00,37,2156626
110/01/27,19175,50.70,50.90,50.60,50.90,+0.20,19,972855
110/01/28,169972,50.90,55.90,50.90,55.90,+5.00,125,9089826
110/01/29,116340,55.00,57.30,53.50,53.70,-2.20,115,6462798
