泰偉,	3064
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,88103,30.35,31.10,30.35,31.10,+0.60,62,2724959
104/01/06,39133,30.90,31.15,30.70,30.80,-0.30,35,1206456
104/01/07,55304,31.00,31.20,30.75,31.10,+0.30,37,1710334
104/01/08,127501,31.30,32.15,31.25,31.60,+0.50,102,4028130
104/01/09,44350,31.40,31.65,31.20,31.45,-0.15,31,1393935
104/01/12,48100,32.00,32.00,31.45,31.50,+0.05,32,1523620
104/01/13,45020,31.85,31.85,30.85,31.20,-0.30,33,1411709
104/01/14,99298,30.85,31.35,30.50,30.60,-0.60,58,3056927
104/01/15,21100,30.75,31.00,30.45,30.45,-0.15,17,646260
104/01/16,21896,30.40,30.45,30.25,30.25,-0.20,21,663263
104/01/19,104970,30.25,30.45,29.80,29.80,-0.45,65,3163865
104/01/20,69300,29.90,30.30,29.80,29.90,+0.10,32,2072184
104/01/21,136127,30.05,30.60,29.90,30.60,+0.70,59,4099735
104/01/22,419926,30.60,32.70,30.60,32.70,+2.10,217,13601828
104/01/23,765340,33.40,34.40,33.00,33.00,+0.30,542,25787570
104/01/26,205423,33.10,33.60,32.15,32.15,-0.85,161,6756686
104/01/27,90631,32.20,32.50,31.70,31.70,-0.45,79,2907039
104/01/28,75000,31.70,32.15,31.40,31.70,0.00,62,2378950
104/01/29,110140,32.00,32.50,31.90,32.40,+0.70,80,3554535
104/01/30,184504,32.40,32.55,31.40,31.40,-1.00,113,5887873
104/02/02,62021,31.50,31.80,31.10,31.40,0.00,39,1948604
104/02/03,100245,31.10,31.75,30.80,30.80,-0.60,52,3104520
104/02/04,43446,30.80,31.00,30.80,31.00,+0.20,33,1341641
104/02/05,56000,31.05,31.05,30.60,31.05,+0.05,34,1727400
104/02/06,36531,31.05,31.05,30.40,30.40,-0.65,24,1129934
104/02/09,44000,30.40,30.40,30.05,30.30,-0.10,27,1327600
104/02/10,40000,30.35,30.45,30.15,30.30,0.00,26,1209650
104/02/11,36006,30.20,30.40,30.10,30.30,0.00,25,1087230
104/02/12,70407,30.40,30.40,29.50,30.00,-0.30,38,2102886
104/02/13,52989,29.70,30.30,29.70,29.90,-0.10,38,1590816
104/02/24,43615,30.00,30.70,30.00,30.50,+0.60,33,1324857
104/02/25,44100,30.60,30.85,30.10,30.55,+0.05,35,1343404
104/02/26,53434,30.55,30.75,30.20,30.55,0.00,33,1630406
104/03/02,80166,30.50,30.70,30.15,30.20,-0.35,41,2431463
104/03/03,47501,30.30,30.40,30.05,30.05,-0.15,26,1436129
104/03/04,49104,30.10,30.90,30.00,30.60,+0.55,37,1493399
104/03/05,27377,30.10,30.45,30.10,30.30,-0.30,15,827472
104/03/06,62037,30.20,30.50,30.10,30.50,+0.20,33,1875407
104/03/09,65023,30.30,30.50,29.80,30.05,-0.45,43,1959491
104/03/10,38100,30.60,30.60,30.05,30.10,+0.05,26,1151230
104/03/11,46779,29.90,30.40,29.90,30.15,+0.05,35,1407312
104/03/12,52903,30.10,30.60,30.10,30.50,+0.35,42,1608220
104/03/13,46621,30.50,30.50,30.10,30.25,-0.25,28,1414567
104/03/16,47400,30.00,30.60,30.00,30.30,+0.05,40,1440550
104/03/17,54667,30.50,30.50,29.90,29.90,-0.40,40,1645141
104/03/18,69474,29.80,30.30,29.55,29.55,-0.35,59,2072437
104/03/19,72650,29.80,30.10,29.60,29.80,+0.25,49,2160921
104/03/20,26652,29.85,30.00,29.85,30.00,+0.20,22,797724
104/03/23,76766,30.00,30.50,29.90,30.20,+0.20,58,2323150
104/03/24,23500,30.20,30.30,30.00,30.00,-0.20,22,706650
104/03/25,55903,30.00,30.10,29.90,30.05,+0.05,42,1675891
104/03/26,38336,30.00,30.30,29.90,29.90,-0.15,29,1151445
104/03/27,60100,30.25,30.25,29.90,29.90,0.00,34,1801960
104/03/30,101602,27.85,29.20,27.85,28.30,-1.60,71,2899466
104/03/31,60100,28.50,28.80,28.05,28.40,+0.10,44,1700240
104/04/01,79024,28.40,28.70,27.55,27.55,-0.85,64,2218006
104/04/02,118617,27.55,28.00,27.40,27.50,-0.05,78,3284666
104/04/07,86218,27.50,27.80,27.30,27.80,+0.30,57,2372505
104/04/08,40000,28.00,28.60,28.00,28.00,+0.20,29,1126800
104/04/09,43260,28.10,28.50,27.65,28.05,+0.05,34,1211030
104/04/10,30541,28.15,28.25,27.85,27.90,-0.15,31,854329
104/04/13,146400,28.45,29.30,28.45,29.30,+1.40,94,4217000
