順達,	3211
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,209605,73.70,74.10,73.50,73.80,+0.10,192,15481062
104/01/06,722631,73.00,73.30,72.30,72.60,-1.20,435,52579602
104/01/07,304473,72.50,73.20,72.30,72.80,+0.20,208,22110270
104/01/08,395789,73.20,73.20,72.70,72.90,+0.10,309,28871198
104/01/09,226149,73.00,73.70,73.00,73.20,+0.30,213,16567301
104/01/12,364456,72.60,72.90,72.50,72.60,-0.60,273,26481397
104/01/13,197881,72.60,73.00,72.60,72.60,0.00,177,14393794
104/01/14,327294,72.60,73.10,72.60,72.90,+0.30,303,23848917
104/01/15,223677,73.10,73.30,72.90,73.20,+0.30,185,16339821
104/01/16,401182,73.20,73.40,72.10,72.10,-1.10,318,29074841
104/01/19,212548,72.20,72.50,72.10,72.10,0.00,159,15353601
104/01/20,280323,72.10,72.60,72.10,72.50,+0.40,217,20290244
104/01/21,394429,72.60,72.90,72.10,72.20,-0.30,287,28543636
104/01/22,402209,72.30,72.90,72.20,72.50,+0.30,301,29134162
104/01/23,620822,72.50,73.10,72.50,72.70,+0.20,383,45196817
104/01/26,467721,73.10,73.10,72.10,72.40,-0.30,301,33889695
104/01/27,502341,72.30,72.80,72.10,72.10,-0.30,357,36342816
104/01/28,453390,72.00,72.60,72.00,72.20,+0.10,349,32763971
104/01/29,426308,72.70,72.70,72.10,72.30,+0.10,308,30822417
104/01/30,476273,72.40,72.60,71.70,72.00,-0.30,287,34315288
104/02/02,584270,72.00,72.70,71.50,71.70,-0.30,340,42076244
104/02/03,1023400,72.00,73.60,72.00,72.30,+0.60,601,74602396
104/02/04,2053937,72.80,74.60,72.60,73.70,+1.40,1222,151489447
104/02/05,832043,74.00,74.20,73.00,73.30,-0.40,511,61111544
104/02/06,701300,74.10,74.20,73.10,73.10,-0.20,518,51589384
104/02/09,1504232,73.10,75.50,73.00,73.60,+0.50,937,111693288
104/02/10,1024546,74.00,74.60,73.30,73.80,+0.20,653,75711784
104/02/11,416700,74.40,74.40,73.20,73.40,-0.40,282,30704627
104/02/12,431397,74.00,74.00,72.90,72.90,-0.50,345,31523936
104/02/13,545290,73.10,73.30,72.70,72.90,0.00,444,39776332
104/02/24,524614,73.90,74.00,73.30,73.70,+0.80,426,38583374
104/02/25,642400,73.80,74.30,73.60,74.00,+0.30,480,47523500
104/02/26,504180,74.00,74.20,73.70,74.10,+0.10,363,37273236
104/03/02,560220,74.00,74.70,73.60,74.50,+0.40,492,41517672
104/03/03,396540,75.00,75.00,73.90,74.50,0.00,332,29487265
104/03/04,488054,74.40,74.90,74.10,74.90,+0.40,393,36349120
104/03/05,4381769,75.00,79.70,74.90,78.70,+3.80,3046,338956091
104/03/06,2718379,78.40,79.00,77.60,78.50,-0.20,1843,212622611
