斐成,	3313
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,67000,9.54,9.54,9.40,9.41,-0.13,22,633640
104/01/06,91000,9.41,9.62,9.38,9.38,-0.03,41,865280
104/01/07,114050,9.40,9.56,9.31,9.45,+0.07,50,1070640
104/01/08,18150,9.47,9.58,9.40,9.45,0.00,14,171869
104/01/09,267000,9.62,9.78,9.55,9.59,+0.14,96,2579640
104/01/12,217000,9.70,9.88,9.61,9.70,+0.11,61,2106570
104/01/13,105000,9.80,9.85,9.57,9.57,-0.13,35,1012250
104/01/14,114000,9.68,9.68,9.34,9.40,-0.17,47,1079340
104/01/15,69000,9.43,9.44,9.31,9.32,-0.08,25,646520
104/01/16,57011,9.30,9.38,9.30,9.31,-0.01,30,530902
104/01/19,32011,9.33,9.45,9.27,9.45,+0.14,22,298393
104/01/20,39000,9.33,9.49,9.33,9.39,-0.06,21,367510
104/01/21,102000,9.35,9.45,9.28,9.28,-0.11,45,951360
104/01/22,78000,9.28,9.39,9.28,9.30,+0.02,32,725460
104/01/23,75000,9.31,9.38,9.31,9.32,+0.02,22,699480
104/01/26,50310,9.32,9.37,9.32,9.32,0.00,20,469013
104/01/27,125000,9.37,9.55,9.37,9.49,+0.17,56,1181030
104/01/28,42000,9.49,9.75,9.43,9.55,+0.06,24,401570
104/01/29,32250,9.53,9.53,9.41,9.44,-0.11,20,305240
104/01/30,46100,9.42,9.47,9.37,9.47,+0.03,22,433674
104/02/02,268105,9.49,9.85,9.47,9.83,+0.36,90,2590071
104/02/03,886411,10.00,10.50,10.00,10.50,+0.67,203,9258865
104/02/04,2114365,10.95,11.10,10.60,10.60,+0.10,704,23040050
104/02/05,465811,10.55,10.60,10.20,10.35,-0.25,204,4833603
104/02/06,200001,10.25,10.50,10.25,10.30,-0.05,93,2055710
104/02/09,1450075,10.40,11.00,10.40,11.00,+0.70,372,15682325
104/02/10,1204000,11.20,11.20,10.65,10.65,-0.35,414,13217200
104/02/11,320000,10.65,10.70,10.50,10.50,-0.15,138,3379150
104/02/12,704000,10.50,11.00,10.50,10.55,+0.05,218,7571200
104/02/13,257000,10.65,10.80,10.50,10.55,0.00,89,2737250
104/02/24,245000,10.55,10.65,10.45,10.45,-0.10,99,2574450
104/02/25,463000,10.45,10.50,10.05,10.20,-0.25,164,4736300
104/02/26,170615,10.10,10.45,10.10,10.25,+0.05,65,1762922
104/03/02,155000,10.25,10.35,10.20,10.20,-0.05,67,1591000
104/03/03,120050,10.25,10.45,10.20,10.25,+0.05,52,1234610
104/03/04,289000,10.30,10.50,10.15,10.20,-0.05,100,2981800
104/03/05,92000,10.20,10.30,10.15,10.20,0.00,43,940450
104/03/06,294300,10.20,10.30,10.10,10.20,0.00,89,2995875
104/03/09,76000,10.20,10.30,10.15,10.20,0.00,36,775700
104/03/10,1051300,10.60,10.90,10.50,10.90,+0.70,281,11408520
104/03/11,597260,10.50,10.75,10.45,10.65,-0.25,208,6348569
104/03/12,519000,10.70,11.10,10.60,10.60,-0.05,184,5626750
104/03/13,331000,10.65,10.90,10.60,10.60,0.00,99,3568000
104/03/16,213050,10.65,10.70,10.60,10.65,+0.05,64,2268280
104/03/17,222465,10.70,10.70,10.50,10.55,-0.10,71,2357082
104/03/18,190000,10.50,10.55,10.35,10.35,-0.20,76,1986250
104/03/19,148008,10.40,10.45,10.30,10.35,0.00,55,1534683
104/03/20,66000,10.40,10.55,10.40,10.45,+0.10,36,689300
104/03/23,121000,10.55,10.60,10.35,10.35,-0.10,51,1259200
104/03/24,54000,10.35,10.45,10.35,10.45,+0.10,26,561750
104/03/25,106000,10.45,10.45,10.25,10.25,-0.20,36,1095400
104/03/26,36100,10.20,10.30,10.10,10.30,+0.05,26,369370
104/03/27,119010,10.40,10.40,10.20,10.25,-0.05,36,1218252
