單井,	3490
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1053050,117.50,121.50,117.00,120.00,+2.00,691,125869025
104/01/06,764000,120.00,120.00,117.50,118.00,-2.00,533,90260000
104/01/07,558240,118.00,119.00,117.00,117.50,-0.50,400,65816700
104/01/08,4056420,119.50,125.50,119.50,122.50,+5.00,2181,503503740
104/01/09,2893240,123.50,126.00,122.00,124.00,+1.50,1898,359852260
104/01/12,5067101,120.00,120.00,115.50,117.00,-7.00,2659,590927864
104/01/13,1565150,117.00,118.50,116.00,118.00,+1.00,977,184476700
104/01/14,946900,118.00,119.00,116.00,117.00,-1.00,606,110956350
104/01/15,2007290,119.00,121.50,118.00,118.00,+1.00,1347,239682865
104/01/16,725301,117.00,119.00,116.50,117.00,-1.00,512,85071867
104/01/19,909325,118.00,120.00,117.00,117.00,0.00,597,107420350
104/01/20,2093050,117.50,119.50,112.00,119.50,+2.50,1281,243506474
104/01/21,633100,120.00,120.50,118.00,118.00,-1.50,450,75289350
104/01/22,1142240,118.50,121.00,118.00,119.50,+1.50,779,136630918
104/01/23,1108160,120.50,121.00,119.00,120.00,+0.50,684,132926860
104/01/26,910100,120.00,122.50,119.50,121.00,+1.00,656,110248800
104/01/27,854080,121.00,122.00,119.50,120.00,-1.00,518,102861560
104/01/28,574500,119.50,120.00,118.50,119.50,-0.50,402,68454000
104/01/29,2696140,120.00,125.00,119.50,123.50,+4.00,1794,332238789
104/01/30,1856100,125.00,126.00,121.00,121.50,-2.00,1157,229153100
104/02/02,582150,121.50,122.50,121.00,122.00,+0.50,400,70975950
104/02/03,818100,122.00,124.00,121.50,122.00,0.00,543,100237150
104/02/04,1056145,124.00,125.00,121.00,121.50,-0.50,672,129816045
104/02/05,751100,122.00,123.50,121.00,122.00,+0.50,466,91766250
104/02/06,652010,122.00,122.50,120.00,120.00,-2.00,384,78956700
104/02/09,432135,120.50,121.50,120.00,120.00,0.00,276,52074132
104/02/10,928300,120.00,122.50,120.00,120.00,0.00,527,112224850
104/02/11,772490,121.00,121.50,119.50,120.00,0.00,431,92959555
104/02/12,500099,120.50,121.00,118.50,119.50,-0.50,375,59754781
104/02/13,1434470,120.00,123.00,120.00,122.00,+2.50,822,174672840
104/02/24,3897710,124.00,130.50,122.50,130.50,+8.50,2167,501473655
104/02/25,7155467,133.50,139.00,132.50,139.00,+8.50,4367,972037446
104/02/26,3606006,140.00,140.50,137.00,138.50,-0.50,2337,500699330
104/03/02,4077019,140.50,148.00,140.50,148.00,+9.50,2583,592390812
104/03/03,3294562,148.50,149.50,146.00,149.00,+1.00,2073,487559238
104/03/04,4280603,148.50,154.50,146.00,146.00,-3.00,2662,642827735
104/03/05,2359535,146.00,149.50,146.00,149.50,+3.50,1491,348119715
104/03/06,3388500,149.00,154.00,148.00,149.50,0.00,1895,512505000
104/03/09,2147965,150.00,153.00,149.50,152.00,+2.50,1371,324921697
104/03/10,3080692,153.00,154.00,146.00,146.00,-6.00,1930,460006032
104/03/11,4080700,147.00,152.50,147.00,147.50,+1.50,2421,611890100
104/03/12,3449400,150.00,153.50,148.50,151.50,+4.00,2001,520999400
104/03/13,2879320,153.00,156.00,152.00,153.50,+2.00,1785,443190960
104/03/16,1471591,154.00,154.50,150.00,150.50,-3.00,964,223068741
104/03/17,2907435,151.00,153.00,145.00,147.00,-3.50,1589,431982445
104/03/18,2130800,147.50,149.50,146.00,146.50,-0.50,1188,315254999
104/03/19,2095310,147.50,150.50,145.50,148.00,+1.50,1287,311039190
104/03/20,4340335,148.00,153.50,145.50,153.50,+5.50,2123,647804921
104/03/23,3048720,155.00,156.00,152.50,154.00,+0.50,1840,470510660
104/03/24,1785500,154.50,155.00,151.50,151.50,-2.50,936,273181500
104/03/25,7259782,152.00,160.00,152.00,156.00,+4.50,3802,1134652099
104/03/26,3144649,155.00,157.00,153.00,154.50,-1.50,1524,486987744
104/03/27,6925050,153.00,155.50,144.00,144.00,-10.50,3514,1017484200
104/03/30,2767872,143.00,146.00,141.00,144.00,0.00,1464,397178684
104/03/31,2673548,145.00,146.00,140.50,141.00,-3.00,1533,380590268
104/04/01,3650300,136.00,139.00,132.00,134.00,-7.00,2233,491971500
104/04/02,1745949,133.00,143.00,133.00,143.00,+9.00,1277,244856707
104/04/07,989835,143.50,146.00,142.00,143.00,0.00,752,142502240
104/04/08,968550,143.00,144.50,140.50,144.00,+1.00,680,138073973
104/04/09,829631,144.00,144.50,140.50,141.50,-2.50,1062,117935304
104/04/10,1046318,143.50,146.00,143.00,143.50,+2.00,927,150845928
104/04/13,551607,145.00,145.50,143.00,143.50,0.00,989,79339836
104/04/14,662710,143.50,144.00,141.00,141.00,-2.50,730,94053400
104/04/15,988208,141.00,142.50,138.50,140.50,-0.50,691,138764244
104/04/16,828126,139.00,141.50,139.00,140.00,-0.50,647,116256892
104/04/17,852102,140.00,140.50,138.00,139.50,-0.50,696,118826678
104/04/20,856282,140.00,140.00,136.00,136.00,-3.50,797,117786480
104/04/21,1610401,136.00,137.00,127.00,131.00,-5.00,1067,211728135
104/04/22,715111,133.00,133.00,130.00,130.50,-0.50,506,94081707
104/04/23,452165,132.00,133.50,131.00,132.00,+1.50,376,59807115
104/04/24,426371,133.50,134.50,132.50,134.00,+2.00,308,57012698
104/04/27,513387,135.00,135.00,130.50,130.50,-3.50,408,67883310
104/04/28,479379,131.00,132.00,129.50,129.50,-1.00,335,62576391
104/04/29,430222,130.00,132.00,128.00,130.00,+0.50,322,55723582
104/04/30,257017,130.50,131.00,129.00,130.00,0.00,196,33341727
104/05/04,702030,130.50,131.00,121.00,130.00,0.00,488,88962170
104/05/05,520078,130.00,130.00,123.50,130.00,0.00,420,66207842
104/05/06,559010,126.50,130.00,126.50,130.00,0.00,377,71660390
104/05/07,283005,128.50,130.00,128.00,129.50,-0.50,206,36535645
104/05/08,1047223,134.50,138.00,134.50,136.50,+7.00,770,142525328
104/05/11,795423,138.50,139.00,131.00,133.50,-3.00,550,107083461
104/05/12,379215,133.50,134.00,131.00,132.00,-1.50,320,50108165
104/05/13,419750,132.00,132.00,129.50,132.00,0.00,324,54953750
104/05/14,232008,130.50,133.00,130.50,132.00,0.00,174,30475564
104/05/15,610040,132.00,136.00,130.50,136.00,+4.00,455,81623480
104/05/18,374176,136.00,136.00,132.50,132.50,-3.50,334,50093776
104/05/19,1349254,135.00,138.00,134.50,135.50,+3.00,875,184142052
104/05/20,603300,137.00,137.00,134.50,135.50,0.00,363,81899000
104/05/21,457081,135.00,137.00,133.50,135.50,0.00,319,61962056
104/05/22,649100,137.00,137.00,133.50,134.00,-1.50,426,87483500
104/05/25,560003,134.00,134.00,131.50,132.00,-2.00,389,74126399
104/05/26,488400,132.00,133.00,130.00,130.00,-2.00,338,64185000
104/05/27,414100,130.00,131.00,129.50,129.50,-0.50,332,53862550
104/05/28,782024,130.00,134.50,130.00,132.50,+3.00,561,104341324
104/05/29,423333,132.50,135.00,132.00,132.50,0.00,343,56248119
104/06/01,508019,131.00,132.50,129.50,131.00,-1.50,373,66381679
104/06/02,1447180,131.00,137.00,130.50,134.50,+3.50,957,195777887
104/06/03,5353276,136.00,147.50,135.50,147.50,+13.00,3084,770544208
104/06/04,4984524,149.00,151.00,138.00,140.00,-7.50,3005,730933408
104/06/05,1901004,142.00,143.50,136.00,140.00,0.00,1312,266886080
104/06/08,2500928,143.00,148.00,140.50,144.00,+4.00,1580,363340560
104/06/09,2921094,144.50,145.50,133.00,133.00,-11.00,1891,400809570
104/06/10,1357500,137.00,140.00,134.00,135.50,+2.50,983,185914249
104/06/11,1114625,136.00,138.00,131.00,132.50,-3.00,787,149095812
104/06/12,895004,132.50,136.00,131.50,131.50,-1.00,621,119361525
104/06/15,2032000,130.00,133.00,122.00,125.00,-6.50,1418,255994000
104/06/16,1928100,125.00,126.00,119.00,122.00,-3.00,1267,234227950
104/06/17,612000,123.00,125.00,122.50,123.50,+1.50,505,75826500
104/06/18,856000,123.50,127.50,123.50,125.50,+2.00,626,107740000
104/06/22,895002,127.50,129.00,124.50,124.50,-1.00,611,112689752
104/06/23,463000,126.00,126.50,124.50,124.50,0.00,340,57924500
104/06/24,328000,125.50,126.50,124.00,124.00,-0.50,242,40998000
104/06/25,927000,124.50,130.50,124.50,127.00,+3.00,637,118814500
104/06/26,413300,127.00,128.50,125.00,125.00,-2.00,305,52113100
104/06/29,623202,124.50,124.50,120.50,121.50,-3.50,416,76305942
104/06/30,709001,121.00,126.50,120.50,124.50,+3.00,412,88117624
104/07/01,442000,126.00,128.50,124.50,126.50,+2.00,339,56133000
104/07/02,279006,128.00,128.00,125.00,125.00,-1.50,196,35124256
104/07/03,262150,125.00,126.50,124.50,125.50,+0.50,182,32826250
104/07/06,525008,124.00,125.00,121.00,122.00,-3.50,306,64348468
104/07/07,231116,122.50,125.00,121.00,123.50,+1.50,206,28438268
104/07/08,942100,123.50,127.00,121.00,122.50,-1.00,576,116214250
104/07/09,2780480,118.00,118.00,110.50,110.50,-12.00,1773,309581013
104/07/13,1820502,112.50,114.00,102.50,110.50,0.00,1238,197884240
104/07/14,1417000,111.50,116.00,111.50,114.00,+3.50,1015,161773000
104/07/15,547000,116.00,116.00,112.00,114.50,+0.50,421,62346000
104/07/16,823002,115.00,115.00,109.50,111.50,-3.00,615,92020229
104/07/17,875300,111.50,112.50,109.00,109.50,-2.00,595,96642200
104/07/20,1808026,109.50,112.00,99.50,101.00,-8.50,1152,188178137
104/07/21,3620113,98.30,102.50,91.50,92.50,-8.50,2165,347111922
104/07/22,2863221,92.50,100.00,89.00,97.90,+5.40,2005,272278046
104/07/23,1783000,99.40,101.50,95.60,95.70,-2.20,1309,175976500
104/07/24,811102,94.10,97.80,94.10,95.80,+0.10,533,78032592
104/07/27,1438497,97.40,97.40,86.30,86.50,-9.30,907,128712000
104/07/28,1419000,86.00,88.00,85.00,86.80,+0.30,902,123274700
104/07/29,1122261,88.30,89.00,86.80,87.90,+1.10,816,98703468
104/07/30,1522064,85.10,89.30,85.10,88.00,,1122,132729622
104/07/31,853460,89.00,89.60,86.60,88.70,+0.70,634,75316770
104/08/03,1381043,88.70,88.70,82.00,83.90,-4.80,991,117182539
104/08/04,4452182,83.10,83.60,75.60,75.60,-8.30,2677,345322449
104/08/05,2057032,70.50,79.50,70.50,77.70,+2.10,1412,155983508
104/08/06,3573322,83.80,83.80,75.10,76.30,-1.40,2589,285111594
104/08/07,3968166,75.00,77.90,72.30,76.50,+0.20,2652,298487682
104/08/10,2733072,77.00,81.00,76.50,79.30,+2.80,1886,215260460
104/08/11,3029000,79.30,82.30,79.30,80.20,+0.90,1935,243689000
104/08/12,3373361,81.40,81.80,76.80,78.30,-1.90,2421,266952258
104/08/13,1383700,81.00,81.00,77.30,78.40,+0.10,980,109543249
104/08/14,1287100,78.40,78.40,76.20,76.80,-1.60,987,99352429
104/08/17,2831000,76.50,76.70,71.30,71.50,-5.30,2003,207363100
104/08/18,2369000,72.40,74.00,70.80,74.00,+2.50,1692,171081100
104/08/19,4607000,76.00,79.60,75.20,77.30,+3.30,3489,358171100
