連展投控,	3710
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,87687,6.94,7.06,6.90,6.98,+0.03,40,609122
107/06/04,320665,6.98,7.14,6.98,7.07,+0.09,108,2257804
107/06/05,176493,7.05,7.07,7.00,7.05,-0.02,62,1240824
107/06/06,140640,7.05,7.07,7.00,7.05,0.00,65,988693
107/06/07,542255,7.05,7.20,7.00,7.15,+0.10,129,3869676
107/06/08,279972,7.17,7.29,7.13,7.13,-0.02,98,2014500
107/06/11,281000,7.13,7.23,7.00,7.07,-0.06,96,1986440
107/06/12,330021,7.10,7.13,6.99,7.03,-0.04,94,2326597
107/06/13,163626,7.03,7.09,6.92,6.92,-0.11,85,1144389
107/06/14,51124,7.02,7.06,6.94,6.99,+0.07,30,356726
107/06/15,165516,6.93,7.03,6.91,6.92,-0.07,59,1148934
107/06/19,127332,6.90,6.94,6.87,6.88,-0.04,59,877476
107/06/20,471077,6.96,7.05,6.80,6.89,+0.01,116,3268242
107/06/21,495893,6.95,7.16,6.90,6.98,+0.09,90,3498569
107/06/22,117482,6.94,6.97,6.87,6.88,-0.10,59,809815
107/06/25,105373,6.91,6.96,6.90,6.95,+0.07,40,730949
107/06/26,167614,6.90,6.93,6.70,6.78,-0.17,67,1137091
107/06/27,109301,6.78,6.88,6.72,6.81,+0.03,43,740065
107/06/28,111685,6.74,6.81,6.72,6.79,-0.02,50,753185
107/06/29,156361,6.90,6.90,6.72,6.80,+0.01,63,1056635
