F-康樂,	4154
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,11020,24.20,24.60,24.20,24.50,-0.05,8,269194
104/01/06,13000,24.00,24.50,24.00,24.50,0.00,5,316700
104/01/07,11000,24.20,25.00,24.20,24.50,0.00,10,268750
104/01/08,6000,24.50,24.85,24.50,24.50,0.00,5,147700
104/01/09,37000,24.50,25.00,24.45,25.00,+0.50,21,916950
104/01/12,115100,26.75,26.75,25.70,25.90,+0.90,58,3044970
104/01/13,82000,24.10,25.20,24.10,24.60,-1.30,44,2006850
104/01/14,27000,24.40,24.90,24.40,24.45,-0.15,16,660850
104/01/15,14000,24.20,25.20,24.20,25.10,+0.65,8,344750
104/01/16,5000,24.85,24.85,24.30,24.30,-0.80,4,123700
104/01/19,25000,24.30,24.90,24.00,24.50,+0.20,19,606150
104/01/20,8000,24.80,24.80,24.10,24.65,+0.15,8,195550
104/01/21,29000,24.65,25.00,24.00,24.80,+0.15,23,708350
104/01/22,50000,24.70,25.20,24.00,24.30,-0.50,30,1209400
104/01/23,17000,24.10,24.15,23.65,23.75,-0.55,16,407100
104/01/26,3100,24.05,24.15,23.90,23.90,+0.15,4,74495
104/01/27,79000,23.45,23.80,23.00,23.70,-0.20,27,1866500
104/01/28,2000,23.55,23.60,23.55,23.60,-0.10,2,47150
104/01/29,58000,23.60,23.60,23.25,23.55,-0.05,9,1366650
104/01/30,19000,23.50,23.55,23.50,23.50,-0.05,8,446550
104/02/02,12000,22.75,23.50,22.75,23.50,0.00,7,281250
104/02/03,14000,25.10,25.10,24.00,24.00,+0.50,13,343700
104/02/04,26000,23.70,23.95,23.70,23.90,-0.10,13,621800
104/02/05,60012,23.60,23.80,23.50,23.70,-0.20,25,1417286
104/02/06,17000,23.30,23.55,23.00,23.55,-0.15,12,395300
104/02/09,3000,23.50,23.50,23.50,23.50,-0.05,3,70500
104/02/10,37000,23.50,23.50,23.40,23.50,0.00,19,868950
104/02/11,1000,23.10,23.10,23.10,23.10,-0.40,1,23100
104/02/12,6000,23.00,23.50,23.00,23.50,+0.40,5,138600
104/02/13,11000,24.00,24.00,22.75,23.50,0.00,10,255550
104/02/24,3000,23.90,23.90,22.90,23.45,-0.05,3,70250
104/02/25,2000,23.30,23.65,23.30,23.65,+0.20,2,46950
104/02/26,25000,23.65,25.10,23.65,25.10,+1.45,18,607150
104/03/02,11002,24.95,24.95,23.80,24.45,-0.65,12,266399
104/03/03,15005,24.00,24.00,23.55,24.00,-0.45,13,357570
104/03/04,21000,23.20,24.20,23.20,23.80,-0.20,10,496200
104/03/05,21001,23.60,23.80,23.60,23.80,0.00,12,496473
104/03/06,7000,23.75,24.25,23.75,24.00,+0.20,7,168000
104/03/09,15000,23.55,23.95,23.15,23.95,-0.05,12,352800
104/03/10,12000,23.60,23.75,23.25,23.75,-0.20,12,282000
104/03/11,22000,23.00,24.85,23.00,24.00,+0.25,12,524750
104/03/12,19000,23.90,23.90,23.55,23.70,-0.30,16,449450
104/03/13,4000,23.65,23.75,23.40,23.75,+0.05,3,94200
104/03/16,47190,23.65,23.65,23.50,23.60,-0.15,34,1109681
104/03/17,29001,23.50,23.70,23.15,23.55,-0.05,18,679573
104/03/18,20000,23.50,23.65,23.25,23.65,+0.10,14,470250
104/03/19,25000,23.70,23.95,23.50,23.80,+0.15,22,592950
104/03/20,45011,23.55,23.85,23.35,23.85,+0.05,27,1056914
104/03/23,35000,23.80,23.80,23.40,23.55,-0.30,29,822800
104/03/24,26000,23.40,23.50,23.30,23.40,-0.15,15,608450
104/03/25,15024,23.40,23.55,23.40,23.45,+0.05,11,352106
104/03/26,116001,23.10,24.45,23.10,23.95,+0.50,72,2778624
104/03/27,40023,23.40,23.80,23.35,23.70,-0.25,31,946200
104/03/30,21000,23.55,23.55,23.20,23.50,-0.20,13,491050
104/03/31,21028,23.40,23.50,23.00,23.40,-0.10,17,488466
104/04/01,131000,24.65,24.65,23.55,23.70,+0.30,67,3125400
104/04/02,23000,23.55,24.25,23.55,24.05,+0.35,18,552300
104/04/07,146000,24.30,24.50,23.70,24.40,+0.35,67,3533050
104/04/08,101000,24.40,24.65,24.40,24.50,+0.10,53,2473200
104/04/09,212000,24.60,25.30,24.60,25.30,+0.80,126,5288300
104/04/10,167000,25.65,26.00,24.65,24.90,-0.40,74,4218400
104/04/13,103000,24.45,24.60,24.00,24.35,-0.55,68,2494350
104/04/14,92000,24.30,24.40,24.00,24.40,+0.05,63,2218600
104/04/15,76000,24.40,24.50,24.00,24.10,-0.30,55,1842850
104/04/16,92000,24.00,24.30,23.75,24.30,+0.20,56,2200100
104/04/17,30011,24.20,24.30,23.90,24.30,0.00,22,721918
104/04/20,49000,24.00,24.30,23.90,24.30,0.00,35,1177850
104/04/21,23000,24.05,24.35,23.80,24.05,-0.25,18,551650
104/04/22,1000,24.10,24.10,24.10,24.10,+0.05,1,24100
104/04/23,10000,24.40,24.40,23.90,24.20,+0.10,9,241550
104/04/24,15000,24.45,24.45,23.95,24.15,-0.05,11,361150
104/04/27,89000,22.50,23.80,22.50,23.75,-0.40,56,2077900
104/04/28,25000,23.45,23.60,23.40,23.60,-0.15,18,586200
