鐿鈦,	4163
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,81000,170.00,170.00,168.50,169.00,-1.00,79,13687500
104/01/06,311000,169.00,169.00,164.00,164.00,-5.00,280,51647000
104/01/07,152300,167.50,167.50,162.50,165.00,+1.00,124,25062300
104/01/08,185000,167.00,167.00,164.00,164.00,-1.00,140,30553500
104/01/09,213033,165.00,166.50,163.00,163.50,-0.50,155,35030077
104/01/12,232139,165.50,166.00,163.00,163.00,-0.50,175,38024935
104/01/13,199000,163.00,165.00,163.00,163.00,0.00,131,32567000
104/01/14,71300,164.50,165.00,162.50,164.00,+1.00,67,11695500
104/01/15,303000,165.00,166.50,163.00,165.00,+1.00,188,49786000
104/01/16,162200,164.50,166.00,162.00,164.00,-1.00,155,26593300
104/01/19,204040,164.00,165.50,162.50,162.50,-1.50,163,33577300
104/01/20,43000,165.00,165.00,163.50,164.50,+2.00,31,7062500
104/01/21,105000,165.00,165.50,163.00,163.00,-1.50,78,17191000
104/01/22,392100,165.00,169.50,163.00,168.00,+5.00,351,65375000
104/01/23,315100,170.00,170.00,166.00,166.50,-1.50,281,52822300
104/01/26,212100,167.00,169.00,166.00,167.00,+0.50,176,35533800
104/01/27,253000,169.00,170.00,167.00,167.50,+0.50,208,42631500
104/01/28,116000,166.00,168.00,166.00,167.00,-0.50,107,19377500
104/01/29,132000,167.00,168.50,167.00,167.00,0.00,112,22095000
104/01/30,141000,167.00,168.50,167.00,167.00,0.00,111,23637000
104/02/02,208001,166.00,167.00,163.50,163.50,-3.50,169,34206173
104/02/03,136000,164.00,165.00,162.00,164.50,+1.00,85,22311500
104/02/04,173000,165.50,166.50,164.50,164.50,0.00,100,28585000
104/02/05,73100,164.50,165.00,163.00,163.50,-1.00,62,11961000
104/02/06,61000,163.00,165.50,163.00,165.00,+1.50,56,10029500
104/02/09,146000,165.00,166.00,162.00,164.00,-1.00,127,23990000
104/02/10,63000,164.00,164.00,163.00,164.00,0.00,49,10299500
104/02/11,85000,165.00,165.00,163.00,163.00,-1.00,63,13942500
104/02/12,108000,163.00,163.50,162.00,162.00,-1.00,98,17544500
104/02/13,323000,163.00,169.50,163.00,166.50,+4.50,246,53755500
104/02/24,126015,168.00,169.00,166.50,166.50,0.00,92,21129005
104/02/25,97000,168.00,168.00,166.00,166.00,-0.50,84,16137000
104/02/26,100060,166.50,168.00,166.50,167.50,+1.50,95,16739550
104/03/02,167000,167.50,167.50,165.00,167.50,0.00,116,27816000
104/03/03,121000,168.00,168.00,165.00,165.50,-2.00,86,20130500
104/03/04,122000,165.50,166.50,164.00,166.00,+0.50,98,20182500
104/03/05,192000,166.00,167.00,164.50,167.00,+1.00,138,31848000
104/03/06,120000,168.00,168.00,166.00,167.00,0.00,118,20000000
104/03/09,1208199,168.00,178.50,167.50,178.50,+11.50,890,211516521
104/03/10,604400,178.50,178.50,173.00,173.50,-5.00,496,105804000
104/03/11,447171,172.50,177.50,171.50,177.00,+3.50,384,78755096
104/03/12,1230276,178.00,186.00,178.00,179.00,+2.00,943,223646956
104/03/13,341115,180.50,182.00,177.50,179.00,0.00,286,61282160
104/03/16,186180,180.00,183.00,178.50,180.00,+1.00,175,33547080
104/03/17,424200,181.00,185.00,180.50,181.50,+1.50,307,77524300
104/03/18,331079,182.00,182.00,177.50,180.00,-1.50,276,59448378
104/03/19,152000,181.00,181.50,178.00,178.00,-2.00,131,27251500
104/03/20,450035,178.00,186.00,178.00,182.50,+4.50,368,82365940
104/03/23,338050,184.00,184.00,175.00,175.00,-7.50,282,60513750
104/03/24,223000,175.00,178.00,172.00,174.00,-1.00,208,38769000
104/03/25,191045,174.00,176.00,172.50,172.50,-1.50,182,33131532
104/03/26,178101,170.00,172.50,170.00,172.50,0.00,163,30445225
104/03/27,133000,172.00,174.00,170.50,170.50,-2.00,126,22873000
104/03/30,251050,173.00,173.00,160.00,165.50,-5.00,218,41714374
104/03/31,224035,169.00,169.00,165.00,166.00,+0.50,189,37256020
104/04/01,104006,166.50,167.50,164.50,164.50,-1.50,85,17236065
104/04/02,149045,164.50,170.00,164.50,166.00,+1.50,129,24985830
104/04/07,500036,166.50,172.00,166.00,168.00,+2.00,292,84140836
104/04/08,470265,172.00,175.00,171.00,173.50,+5.50,372,81558640
104/04/09,615181,174.50,178.50,172.00,172.50,-1.00,455,108012584
104/04/10,104249,174.50,174.50,171.50,171.50,-1.00,96,18007077
104/04/13,293330,174.00,178.00,172.00,177.00,+5.50,219,51724075
104/04/14,172001,177.00,178.00,175.00,175.00,-2.00,158,30240683
104/04/15,419050,176.50,182.00,175.50,178.50,+3.50,312,74829100
104/04/16,238069,178.50,179.00,176.00,177.00,-1.50,159,42350351
104/04/17,282378,177.00,180.50,177.00,179.00,+2.00,219,50417284
104/04/20,120189,178.00,178.00,175.00,177.50,-1.50,105,21200693
104/04/21,159030,178.50,178.50,171.00,172.00,-5.50,130,27615280
104/04/22,32000,174.00,174.00,172.00,173.50,+1.50,31,5537500
104/04/23,91520,174.50,176.00,172.00,172.00,-1.50,90,15916500
104/04/24,167050,172.50,173.50,169.50,171.00,-1.00,153,28644900
104/04/27,256961,172.50,178.00,172.50,177.00,+6.00,230,45292614
104/04/28,195311,179.00,179.00,173.50,173.50,-3.50,152,34341702
104/04/29,188100,175.00,175.50,171.00,171.50,-2.00,173,32501500
104/04/30,210000,175.00,175.00,171.00,172.50,+1.00,167,36136500
104/05/04,154050,174.00,174.00,170.00,170.00,-2.50,139,26375650
104/05/05,192000,170.00,171.00,166.50,168.00,-2.00,169,32349500
104/05/06,137010,167.00,169.00,165.50,167.50,-0.50,133,22855220
104/05/07,106065,167.50,167.50,166.00,166.50,-1.00,102,17656485
104/05/08,625202,165.50,165.50,156.00,156.50,-10.00,521,99689648
104/05/11,653822,157.50,158.00,146.00,146.00,-10.50,365,96999012
104/05/12,661132,140.50,149.00,136.50,146.00,0.00,542,93298036
104/05/13,264000,143.00,147.00,141.00,144.00,-2.00,240,37879000
104/05/14,186399,145.00,145.50,140.50,141.50,-2.50,185,26462356
104/05/15,330100,143.00,144.00,137.00,138.00,-3.50,294,45756150
104/05/18,486400,138.00,138.50,129.00,130.00,-8.00,408,64179600
104/05/19,475060,130.00,139.00,130.00,139.00,+9.00,374,65467340
104/05/20,222186,141.00,141.00,137.00,138.00,-1.00,202,30791784
104/05/21,358374,138.50,146.00,137.00,143.50,+5.50,322,50800291
104/05/22,164100,142.00,143.50,140.50,141.50,-2.00,166,23292300
104/05/25,111050,141.50,144.00,140.50,143.00,+1.50,103,15858375
104/05/26,87000,144.50,144.50,141.50,141.50,-1.50,71,12401500
104/05/27,290100,143.00,147.00,142.00,143.50,+2.00,253,41959450
104/05/28,303070,145.00,148.00,143.50,143.50,0.00,272,44180220
104/05/29,238115,143.50,147.00,143.50,145.00,+1.50,191,34586520
104/06/01,109100,145.00,145.00,142.00,143.00,-2.00,91,15707500
104/06/02,351015,143.00,149.50,141.00,145.50,+2.50,317,51393705
104/06/03,136200,148.00,148.50,144.00,144.00,-1.50,119,19871300
104/06/04,282300,144.00,145.00,137.00,137.00,-7.00,257,39288700
104/06/05,146105,135.00,141.00,135.00,140.50,+3.50,124,20253700
104/06/08,109150,140.50,144.00,138.50,141.50,+1.00,106,15531875
104/06/09,211020,141.50,141.50,136.50,137.50,-4.00,175,29214800
104/06/10,68140,140.00,140.50,139.00,139.00,+1.50,66,9523740
104/06/11,78100,140.00,141.00,139.00,140.50,+1.50,70,10952550
104/06/12,173085,141.00,143.50,140.50,143.50,+3.00,149,24643697
104/06/15,109010,145.00,145.00,141.50,142.50,-1.00,104,15582520
