世坤,	4305
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,21000,27.25,27.60,27.25,27.60,+0.20,7,573850
104/01/06,30036,27.50,27.50,27.00,27.20,-0.40,19,819138
104/01/07,8000,27.20,27.30,27.20,27.30,+0.10,3,217900
104/01/08,17000,27.20,27.30,27.15,27.30,0.00,12,462600
104/01/09,23000,27.30,28.25,27.30,27.80,+0.50,17,637200
104/01/12,15000,27.80,27.80,27.10,27.30,-0.50,10,409500
104/01/13,1000,27.20,27.20,27.20,27.20,-0.10,1,27200
104/01/14,3000,27.20,27.20,27.20,27.20,0.00,2,81600
104/01/15,6000,27.20,27.20,27.15,27.20,0.00,4,163000
104/01/16,2000,27.20,27.20,27.20,27.20,0.00,1,54400
104/01/19,44000,27.20,27.25,26.85,27.20,0.00,16,1191550
104/01/20,1000,27.25,27.25,27.25,27.25,+0.05,1,27250
104/01/21,4000,26.90,27.25,26.90,27.25,0.00,4,108250
104/01/22,221000,27.40,28.00,26.70,27.60,+0.35,127,6045950
104/01/23,217000,29.45,29.45,27.00,27.20,-0.40,120,5923400
104/01/26,36160,27.15,27.20,26.95,26.95,-0.25,32,978545
104/01/27,7000,27.00,27.10,27.00,27.10,+0.15,5,189600
104/01/28,6000,26.95,27.15,26.95,27.15,+0.05,6,162050
104/01/29,19000,27.10,27.10,27.00,27.05,-0.10,7,514250
104/01/30,14000,27.00,27.15,27.00,27.15,+0.10,6,378450
104/02/02,1000,27.20,27.20,27.20,27.20,+0.05,1,27200
104/02/03,5000,27.25,27.25,27.25,27.25,+0.05,4,136250
104/02/04,1000,27.25,27.25,27.25,27.25,0.00,1,27250
104/02/05,8000,27.25,27.25,27.25,27.25,0.00,5,218000
104/02/06,0,---,---,---,---,---,0,0
104/02/09,5000,27.00,27.10,27.00,27.10,-0.15,5,135200
104/02/10,0,---,---,---,---,---,0,0
104/02/11,13000,26.90,27.00,26.85,26.85,-0.25,9,349400
104/02/12,9000,26.75,27.10,26.75,27.10,+0.25,8,241850
104/02/13,26000,26.70,26.95,26.15,26.80,-0.30,21,691850
104/02/24,18100,26.55,26.85,26.50,26.85,+0.05,15,481295
104/02/25,3000,26.80,26.80,26.80,26.80,-0.05,2,80400
104/02/26,2536,26.70,26.80,26.70,26.80,0.00,5,67864
104/03/02,6000,26.60,26.80,26.55,26.80,0.00,5,159850
104/03/03,10000,26.55,26.75,26.50,26.75,-0.05,10,265650
104/03/04,5000,26.60,26.80,26.60,26.80,+0.05,5,133300
104/03/05,10000,26.70,26.70,26.70,26.70,-0.10,3,267000
104/03/06,19000,26.70,26.75,26.65,26.70,0.00,10,507400
104/03/09,17000,26.60,26.70,26.60,26.65,-0.05,8,453550
104/03/10,21750,26.00,26.20,26.00,26.20,-0.45,16,567236
104/03/11,25300,26.05,26.05,25.75,25.75,-0.45,21,654785
104/03/12,13100,25.60,25.70,25.60,25.70,-0.05,10,336370
104/03/13,21000,25.70,26.00,25.70,25.85,+0.15,15,540400
104/03/16,7000,25.80,25.80,25.80,25.80,-0.05,6,180600
104/03/17,1,---,---,---,---,---,1,27
104/03/18,6000,26.20,26.20,25.85,25.85,+0.05,6,156550
104/03/19,1001,26.00,26.00,26.00,26.00,+0.15,2,26025
104/03/20,2000,26.00,26.20,26.00,26.20,+0.20,2,52200
104/03/23,21000,26.50,27.00,26.50,26.70,+0.50,20,562500
104/03/24,3000,26.60,26.95,26.60,26.95,+0.25,3,80150
104/03/25,10178,26.60,26.70,26.60,26.70,-0.25,6,271448
104/03/26,2009,26.65,26.80,26.65,26.80,+0.10,4,53689
104/03/27,6000,26.75,27.20,26.75,27.00,+0.20,6,161550
104/03/30,11010,27.20,27.20,27.00,27.00,0.00,11,297970
104/03/31,14001,27.00,27.45,27.00,27.40,+0.40,7,378877
104/04/01,4000,27.00,27.00,27.00,27.00,-0.40,2,108000
104/04/02,2,---,---,---,---,---,1,54
104/04/07,13120,26.85,26.85,26.75,26.75,-0.25,13,351410
104/04/08,4037,27.00,27.00,26.90,26.90,+0.15,5,108828
104/04/09,11000,26.90,27.00,26.70,26.70,-0.20,9,295500
104/04/10,17000,26.70,27.00,26.60,27.00,+0.30,12,457050
104/04/13,8000,27.00,27.00,26.80,26.80,-0.20,5,215600
104/04/14,3000,26.90,26.90,26.80,26.80,0.00,3,80500
104/04/15,5010,26.80,26.90,26.80,26.90,+0.10,5,134434
104/04/16,4000,26.80,26.80,26.70,26.70,-0.20,4,106900
104/04/17,1050,27.00,27.00,27.00,27.00,+0.30,2,28370
104/04/20,5001,27.00,27.85,27.00,27.00,0.00,5,135877
104/04/21,3000,26.70,26.80,26.70,26.70,-0.30,3,80200
104/04/22,4000,26.70,27.10,26.70,26.90,+0.20,4,107600
