捷流閥業,	4580
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
109/01/06,2813576,115.00,128.00,112.50,128.00,+50.00,1955,331052652
109/01/07,1285806,125.00,126.00,116.50,120.50,-7.50,1004,157139720
109/01/08,761387,117.00,119.00,109.50,111.00,-9.50,637,87135649
109/01/09,600090,112.00,116.50,112.00,114.50,+3.50,451,68670850
109/01/10,413750,115.00,115.50,109.50,115.00,+0.50,338,46506750
109/01/13,288490,114.50,114.50,111.00,111.00,-4.00,226,32527644
109/01/14,322631,111.00,111.00,108.00,109.50,-1.50,232,35348962
109/01/15,268340,109.00,113.50,108.00,111.50,+2.00,212,29945240
109/01/16,251689,112.00,112.50,110.00,111.50,0.00,211,28026822
109/01/17,281520,111.50,112.00,108.50,110.00,-1.50,190,30884960
109/01/20,140391,111.00,111.00,109.00,109.00,-1.00,106,15380922
109/01/30,513550,102.50,103.00,98.10,98.20,-10.80,354,51029195
109/01/31,200774,98.20,101.00,98.20,101.00,+2.80,171,19945774
109/02/03,223600,97.90,99.70,97.40,99.50,-1.50,174,22021100
109/02/04,113000,99.90,100.00,98.50,99.30,-0.20,86,11213400
109/02/05,121400,99.40,100.50,99.00,99.50,+0.20,95,12108900
109/02/06,82000,100.00,100.00,99.20,99.60,+0.10,63,8160200
109/02/07,99000,99.40,99.40,98.30,98.40,-1.20,73,9774100
109/02/10,89002,98.00,98.20,97.10,97.20,-1.20,59,8683299
109/02/11,140500,98.00,98.60,97.00,98.00,+0.80,107,13758700
109/02/12,251621,98.60,107.00,98.50,103.00,+5.00,208,26026763
109/02/13,125079,103.50,105.00,102.00,102.50,-0.50,111,12905597
109/02/14,71030,102.00,102.50,101.50,101.50,-1.00,58,7245090
109/02/17,62000,101.50,102.50,101.50,102.00,+0.50,54,6318000
109/02/18,55332,102.00,103.00,101.00,101.00,-1.00,51,5624366
109/02/19,103010,100.50,102.50,99.60,101.50,+0.50,74,10405635
109/02/20,153300,101.50,101.50,99.00,99.60,-1.90,112,15307000
109/02/21,84081,99.60,99.80,98.90,99.00,-0.60,69,8337527
109/02/24,74360,98.60,99.20,97.30,98.20,-0.80,69,7292480
109/02/25,79030,97.00,98.60,97.00,98.50,+0.30,70,7742170
109/02/26,68000,97.60,98.80,97.60,98.50,0.00,58,6687600
109/02/27,123007,98.90,99.80,97.00,97.00,-1.50,71,12101586
