永捷,	4714
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,137000,11.30,11.35,11.25,11.25,-0.05,50,1547350
104/01/06,432012,11.20,11.20,10.90,10.95,-0.30,125,4769182
104/01/07,155297,11.00,11.10,11.00,11.10,+0.15,74,1712996
104/01/08,242310,11.15,11.20,11.00,11.05,-0.05,91,2684591
104/01/09,403534,11.00,11.10,10.90,11.10,+0.05,105,4429530
104/01/12,600717,11.00,11.00,10.75,10.85,-0.25,172,6520278
104/01/13,140776,10.85,10.95,10.85,10.85,0.00,68,1529667
104/01/14,368421,10.85,11.00,10.80,10.90,+0.05,118,4006882
104/01/15,206276,10.95,10.95,10.85,10.85,-0.05,64,2249813
104/01/16,292100,10.90,10.90,10.70,10.70,-0.15,103,3147264
104/01/19,277248,10.75,10.80,10.60,10.75,+0.05,71,2970115
104/01/20,208279,10.60,10.80,10.55,10.75,0.00,69,2225834
104/01/21,127759,10.80,10.95,10.75,10.75,0.00,57,1385321
104/01/22,441845,10.80,11.25,10.75,11.25,+0.50,197,4873755
104/01/23,558693,11.30,11.40,11.15,11.15,-0.10,186,6292291
104/01/26,437588,11.30,11.40,11.20,11.30,+0.15,169,4953592
104/01/27,192000,11.30,11.40,11.15,11.20,-0.10,68,2155350
104/01/28,139652,11.30,11.30,11.15,11.20,0.00,55,1564018
104/01/29,227384,11.30,11.30,11.15,11.20,0.00,67,2551599
104/01/30,93662,11.20,11.25,11.10,11.10,-0.10,39,1045532
104/02/02,189000,11.10,11.10,10.90,10.90,-0.20,81,2080200
104/02/03,218000,10.90,11.30,10.90,11.25,+0.35,81,2409400
104/02/04,335699,11.35,11.40,11.15,11.15,-0.10,123,3794262
104/02/05,230000,11.10,11.15,11.00,11.00,-0.15,77,2538400
104/02/06,228310,11.10,11.10,10.95,11.00,0.00,74,2514660
104/02/09,148528,11.00,11.10,10.95,11.05,+0.05,57,1636508
104/02/10,103062,11.05,11.20,11.05,11.20,+0.15,51,1146888
104/02/11,457389,11.25,11.40,11.15,11.35,+0.15,169,5172394
104/02/12,566233,11.40,11.60,11.40,11.45,+0.10,218,6495790
104/02/13,278233,11.50,11.55,11.35,11.40,-0.05,106,3184292
104/02/24,200000,11.40,11.50,11.25,11.30,-0.10,69,2271850
104/02/25,165062,11.25,11.40,11.10,11.20,-0.10,86,1848694
104/02/26,92381,11.20,11.30,11.05,11.10,-0.10,47,1031248
104/03/02,115876,11.15,11.20,11.10,11.15,+0.05,49,1293403
104/03/03,269729,11.30,11.55,11.30,11.45,+0.30,159,3084759
104/03/04,156000,11.50,11.50,11.25,11.30,-0.15,81,1777300
104/03/05,107233,11.35,11.35,11.20,11.25,-0.05,51,1204932
104/03/06,2131521,11.35,12.00,11.35,12.00,+0.75,577,25416102
104/03/09,5715461,12.30,12.80,12.25,12.70,+0.70,1610,72355198
104/03/10,2115259,12.60,12.60,12.15,12.25,-0.45,766,26132620
104/03/11,815798,12.05,12.35,12.05,12.20,-0.05,333,9968133
104/03/12,1518058,12.20,12.70,12.15,12.55,+0.35,586,18989663
104/03/13,2482728,12.75,13.10,12.65,12.70,+0.15,825,31861700
104/03/16,839562,12.75,12.85,12.50,12.50,-0.20,255,10610018
104/03/17,587352,12.50,12.70,12.40,12.40,-0.10,213,7371013
104/03/18,584000,12.40,12.50,12.15,12.20,-0.20,224,7162700
104/03/19,367393,12.30,12.40,12.10,12.35,+0.15,160,4482883
104/03/20,375190,12.30,12.60,12.25,12.40,+0.05,158,4672174
104/03/23,669385,12.45,12.70,12.30,12.35,-0.05,231,8370122
104/03/24,570138,12.65,12.65,12.40,12.40,+0.05,177,7133174
104/03/25,420883,12.50,12.60,12.40,12.40,0.00,142,5244452
104/03/26,221518,12.20,12.55,12.20,12.45,+0.05,125,2749554
104/03/27,242155,12.45,12.50,12.30,12.30,-0.15,129,3003044
104/03/30,299307,12.50,12.55,12.25,12.40,+0.10,213,3698189
104/03/31,684051,12.45,12.60,12.25,12.30,-0.10,313,8504456
104/04/01,770062,12.25,12.30,11.80,11.80,-0.50,301,9203176
104/04/02,346610,11.75,11.85,11.60,11.60,-0.20,160,4063326
104/04/07,396103,11.65,11.65,11.35,11.40,-0.20,193,4540708
104/04/08,323310,11.40,11.55,11.40,11.45,+0.05,153,3695263
104/04/09,317866,12.25,12.25,12.25,12.25,+0.80,96,3893856
104/04/10,2873428,13.00,13.05,12.55,12.80,+0.55,943,36923197
104/04/13,795647,12.80,12.90,12.35,12.40,-0.40,298,9959322
104/04/14,560838,12.10,12.50,12.10,12.50,+0.10,212,6949189
104/04/15,326001,12.55,12.60,12.35,12.40,-0.10,114,4046912
104/04/16,1052440,12.40,12.95,12.40,12.75,+0.35,332,13354630
104/04/17,6454048,12.75,13.60,12.55,13.60,+0.85,1597,86326342
104/04/20,5421309,13.90,14.15,13.30,13.40,-0.20,1710,74900552
104/04/21,2168125,13.70,13.85,13.20,13.25,-0.15,797,29329147
104/04/22,1740946,13.35,13.80,13.35,13.60,+0.35,631,23704309
104/04/23,1162652,13.85,13.90,13.40,13.40,-0.20,432,15836220
104/04/24,1070008,13.40,13.50,13.20,13.30,-0.10,353,14246854
104/04/27,982310,13.20,13.45,13.15,13.30,0.00,361,13034537
104/04/28,1576498,13.30,13.90,13.15,13.75,+0.45,529,21338484
104/04/29,1153775,13.75,13.85,13.45,13.60,-0.15,400,15723157
104/04/30,1010014,13.50,13.60,13.10,13.15,-0.45,357,13404432
104/05/04,1123228,13.00,13.30,12.80,12.80,-0.35,379,14527988
104/05/05,803262,13.00,13.00,12.55,12.70,-0.10,272,10181300
104/05/06,446212,13.55,13.55,13.55,13.55,+0.85,123,6046171
104/05/07,2649952,14.00,14.00,13.50,13.50,-0.05,959,36498955
104/05/08,956009,13.60,13.80,13.40,13.50,0.00,390,12978217
104/05/11,924022,13.90,13.90,13.35,13.40,-0.10,386,12579386
104/05/12,655898,13.40,13.55,13.20,13.35,-0.05,242,8746639
104/05/13,720307,13.40,13.50,13.00,13.20,-0.15,260,9499927
104/05/14,578093,13.05,13.35,13.00,13.35,+0.15,238,7605079
104/05/15,481237,13.45,13.45,13.00,13.10,-0.25,188,6342150
104/05/18,318093,13.10,13.20,12.90,13.10,0.00,199,4158359
104/05/19,270403,13.10,13.25,12.95,13.15,+0.05,191,3545869
104/05/20,939124,13.00,13.15,12.80,12.85,-0.30,266,12136636
104/05/21,246200,12.85,13.00,12.75,13.00,+0.15,100,3170130
104/05/22,794093,13.10,13.40,12.95,13.35,+0.35,256,10485186
104/05/25,723741,13.40,13.70,13.30,13.40,+0.05,259,9746941
104/05/26,1229650,13.50,13.80,13.20,13.50,+0.10,385,16695208
104/05/27,647352,13.50,13.75,13.35,13.55,+0.05,254,8781036
104/05/28,6143944,13.60,14.45,13.60,13.95,+0.40,1556,87419167
104/05/29,1962776,14.00,14.20,13.70,14.10,+0.15,645,27344914
104/06/01,5161417,14.40,15.20,14.30,14.75,+0.65,1608,76304849
104/06/02,2268034,14.80,14.90,14.50,14.85,+0.10,722,33360893
104/06/03,5611182,15.05,15.30,13.45,13.65,-1.20,1728,79925672
104/06/04,2053368,13.65,13.75,13.10,13.40,-0.25,636,27493914
104/06/05,961263,13.40,13.55,13.15,13.40,0.00,328,12838374
104/06/08,845803,13.40,13.65,13.25,13.40,0.00,251,11363139
104/06/09,2182031,13.25,13.35,12.80,13.00,-0.40,475,28278861
