F-昂寶,	4947
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,194030,169.50,170.50,168.00,170.50,0.00,145,32923630
104/01/06,291000,168.00,169.50,165.00,166.50,-4.00,250,48644000
104/01/07,286000,166.50,170.50,166.00,169.00,+2.50,247,48013500
104/01/08,427050,170.50,174.00,169.00,170.00,+1.00,363,73178700
104/01/09,2160357,173.00,181.50,172.00,181.50,+11.50,1537,385649295
104/01/12,1914012,185.50,186.00,180.00,182.50,+1.00,1348,350521208
104/01/13,1823415,182.50,191.50,182.00,185.00,+2.50,1428,340865190
104/01/14,1145434,185.50,190.00,183.00,187.50,+2.50,883,213402440
104/01/15,1174070,188.00,191.00,186.50,187.50,0.00,848,221426125
104/01/16,911337,187.00,190.50,182.50,183.50,-4.00,691,169342187
104/01/19,533365,185.00,186.50,178.50,180.50,-3.00,430,97633675
104/01/20,1615530,181.50,193.00,181.50,193.00,+12.50,1164,304986790
104/01/21,1346580,195.00,195.50,191.00,191.50,-1.50,1006,259924569
104/01/22,1069362,194.50,196.00,189.00,191.00,-0.50,830,206260314
104/01/23,777190,194.00,196.00,191.00,192.00,+1.00,584,150156290
104/01/26,445116,192.00,193.00,189.00,192.00,0.00,342,85165945
104/01/27,1012250,193.00,196.00,191.00,194.50,+2.50,808,196620374
104/01/28,1483634,193.50,199.50,191.50,197.50,+3.00,1135,290666300
104/01/29,1751352,197.50,203.00,193.50,198.00,+0.50,1258,348279517
104/01/30,2205380,201.00,208.50,200.50,205.00,+7.00,1582,451806400
104/02/02,958581,205.00,205.00,199.50,201.00,-4.00,665,193190814
104/02/03,455206,202.50,202.50,199.00,201.50,+0.50,360,91629112
104/02/04,1470460,202.00,209.00,201.50,207.00,+5.50,1051,302739989
104/02/05,876055,207.00,207.00,202.50,204.50,-2.50,511,179146775
104/02/06,836100,206.00,206.00,200.50,202.00,-2.50,486,168998200
104/02/09,1178097,200.00,200.50,193.00,195.00,-7.00,765,230245512
104/02/10,862140,194.50,194.50,186.50,190.00,-5.00,615,163648100
104/02/11,547170,191.50,198.00,190.50,197.00,+7.00,473,106783820
104/02/12,301000,196.50,199.00,195.00,196.00,-1.00,254,59300000
104/02/13,743144,198.00,204.00,198.00,200.50,+4.50,527,149343444
104/02/24,255050,202.00,203.50,199.00,200.00,-0.50,208,51185950
104/02/25,588230,200.00,207.50,200.00,203.00,+3.00,494,120600190
104/02/26,157404,203.00,204.00,201.00,203.50,+0.50,125,31941012
104/03/02,650100,205.00,208.50,204.50,206.00,+2.50,467,133941200
104/03/03,914301,207.00,210.00,203.50,203.50,-2.50,612,189137802
104/03/04,841100,203.50,205.00,196.00,198.50,-5.00,588,167727000
104/03/05,1028080,197.00,197.00,191.50,196.00,-2.50,670,199135760
104/03/06,329230,196.50,198.00,194.00,195.00,-1.00,285,64575580
104/03/09,751180,191.00,203.50,191.00,198.50,+3.50,602,149434408
104/03/10,730000,198.50,203.00,196.00,196.00,-2.50,503,146011500
104/03/11,434000,195.00,201.00,195.00,198.50,+2.50,334,86461000
104/03/12,693233,200.50,204.50,199.50,203.00,+4.50,504,140247532
104/03/13,1546276,204.50,214.00,202.00,209.50,+6.50,1135,323243822
104/03/16,587100,209.50,212.50,204.00,206.00,-3.50,482,121723100
104/03/17,425081,205.50,208.00,201.50,202.00,-4.00,336,86942820
104/03/18,374100,202.00,207.00,202.00,206.00,+4.00,293,76443500
104/03/19,629515,209.00,209.50,204.50,206.00,0.00,491,130261090
104/03/20,811000,208.00,209.50,204.00,206.00,0.00,634,167426500
104/03/23,3641854,208.00,220.00,207.00,220.00,+14.00,1958,794798880
104/03/24,1379353,220.00,221.50,215.00,218.00,-2.00,1073,300381454
104/03/25,970370,220.00,220.00,211.00,212.50,-5.50,694,208415124
104/03/26,703050,209.00,212.00,206.00,208.00,-4.50,474,146510500
104/03/27,1215132,209.50,212.50,197.00,200.00,-8.00,981,246006900
104/03/30,895170,200.00,200.00,186.50,192.50,-7.50,762,171701480
104/03/31,582085,193.50,197.00,193.00,193.50,+1.00,536,113481575
104/04/01,493019,195.50,198.00,193.00,196.00,+2.50,459,96668252
104/04/02,942316,198.50,203.00,198.00,198.00,+2.00,727,188541068
104/04/07,638406,198.50,199.00,192.50,193.50,-4.50,522,124541764
104/04/08,530000,193.50,196.00,191.00,191.00,-2.50,438,101791500
104/04/09,834460,191.00,191.00,184.50,185.50,-5.50,653,155906290
104/04/10,440180,185.50,187.50,181.00,182.00,-3.50,369,80715260
104/04/13,295125,183.00,189.00,182.00,187.00,+5.00,261,54799750
104/04/14,433001,187.00,193.00,185.50,189.50,+2.50,351,81970189
104/04/15,261039,191.00,191.50,185.50,186.00,-3.50,214,49069715
104/04/16,419056,186.50,187.00,182.50,183.00,-3.00,370,77191916
104/04/17,160250,184.50,185.50,183.00,185.50,+2.50,152,29545124
104/04/20,145001,185.50,185.50,181.00,181.50,-4.00,103,26409182
104/04/21,317001,182.50,183.00,175.00,176.00,-5.50,262,56293181
104/04/22,228248,178.50,180.00,175.00,179.00,+3.00,188,40395516
104/04/23,324272,180.00,181.00,176.50,177.00,-2.00,276,57587644
104/04/24,401001,177.00,181.00,177.00,178.00,+1.00,288,71681180
104/04/27,154115,179.00,182.00,178.50,178.50,+0.50,148,27695085
104/04/28,129542,179.00,180.50,177.00,177.00,-1.50,110,23136162
104/04/29,316245,177.00,178.50,171.00,173.00,-4.00,268,54758630
104/04/30,593441,173.50,173.50,162.00,167.50,-5.50,518,98785088
104/05/04,301255,167.50,171.00,167.00,168.00,+0.50,288,50970595
104/05/05,149100,169.50,171.50,168.00,171.00,+3.00,139,25390600
104/05/06,225230,170.00,170.00,167.00,168.50,-2.50,175,37874370
104/05/07,116100,167.50,168.50,166.00,166.00,-2.50,100,19358700
104/05/08,137100,167.50,168.50,165.00,165.00,-1.00,113,22764150
104/05/11,241210,166.00,168.00,157.50,160.00,-5.00,210,38727810
104/05/12,172000,160.00,165.00,160.00,164.50,+4.50,157,27937500
104/05/13,171750,165.00,169.50,164.50,168.50,+4.00,154,28729125
104/05/14,103001,167.00,168.50,164.50,165.00,-3.50,96,17070167
104/05/15,137000,166.00,166.00,161.50,163.00,-2.00,110,22426500
104/05/18,125000,165.00,165.00,160.00,160.00,-3.00,101,20133500
104/05/19,99304,162.00,164.00,160.00,164.00,+4.00,90,16094052
104/05/20,352120,165.00,171.50,163.50,169.00,+5.00,317,59263339
104/05/21,188000,168.00,171.00,167.00,169.00,0.00,159,31865000
104/05/22,326100,172.00,176.00,171.00,172.00,+3.00,307,56572250
104/05/25,138100,171.00,175.00,171.00,174.00,+2.00,125,23957400
104/05/26,144300,176.00,176.00,170.00,170.50,-3.50,128,24900500
104/05/27,95200,170.50,172.00,169.50,170.50,0.00,91,16240100
104/05/28,935946,174.00,182.00,174.00,182.00,+11.50,617,168586172
104/05/29,795134,182.00,184.00,178.50,180.00,-2.00,663,143526120
104/06/01,647200,182.00,187.50,179.00,179.00,-1.00,575,118462600
104/06/02,240200,179.00,182.00,179.00,180.00,+1.00,199,43360000
104/06/03,360001,181.00,182.00,173.50,174.00,-6.00,283,63656175
104/06/04,269900,174.00,176.00,167.00,168.00,-6.00,235,46215800
104/06/05,182770,168.00,172.00,165.50,172.00,+4.00,163,30914670
104/06/08,108695,171.00,172.50,166.50,170.50,-1.50,104,18458801
104/06/09,332438,169.00,176.00,166.00,169.00,-1.50,310,57181584
104/06/10,265512,169.00,175.50,168.00,174.50,+5.50,241,45819830
104/06/11,181100,176.00,177.50,173.00,175.00,+0.50,158,31680500
104/06/12,280100,175.00,179.50,173.50,175.50,+0.50,228,49594000
104/06/15,112060,176.00,176.50,173.00,173.00,-2.50,97,19579380
104/06/16,202030,173.00,173.00,167.00,168.00,-5.00,172,33965055
104/06/17,111200,169.00,169.50,168.00,168.50,+0.50,89,18772000
104/06/18,463318,168.50,170.50,162.00,164.00,-4.50,403,76248628
104/06/22,336044,165.00,171.00,165.00,170.00,+6.00,276,56719980
104/06/23,409044,172.00,176.50,171.00,173.00,+3.00,353,71427068
104/06/24,262266,175.00,176.00,173.00,176.00,+3.00,249,45984550
104/06/25,1566866,176.50,189.00,176.50,185.00,+9.00,1188,290055210
104/06/26,1037639,184.50,191.00,183.00,186.00,+1.00,844,195346993
104/06/29,933530,185.00,193.50,184.00,189.00,+3.00,779,177361140
104/06/30,744538,189.50,190.50,182.00,183.50,-5.50,583,137577258
104/07/01,496200,184.50,187.00,182.50,185.00,+1.50,396,91904800
104/07/02,977505,186.00,193.50,186.00,190.00,+5.00,765,186381945
104/07/03,658031,190.50,191.50,186.00,189.50,-0.50,472,124304843
104/07/06,478130,186.50,192.50,182.50,182.50,-7.00,384,89485223
104/07/07,555152,184.50,186.00,178.00,178.00,-4.50,427,100523284
104/07/08,641250,178.00,178.00,164.50,169.00,-9.00,535,109043500
104/07/09,709100,164.00,170.00,160.50,168.00,-1.00,521,117956900
104/07/13,234035,171.50,172.00,168.00,169.00,+1.00,185,39714950
104/07/14,839207,171.00,185.00,170.00,178.00,+9.00,704,149464639
104/07/15,494200,178.00,181.50,178.00,178.00,0.00,397,88757900
104/07/16,281000,180.00,182.00,175.00,175.50,-2.50,240,49797000
104/07/17,191000,177.50,178.50,173.50,175.50,0.00,167,33566000
104/07/20,209018,177.50,177.50,170.50,172.50,-3.00,190,36213078
104/07/21,93000,175.00,175.00,171.00,172.00,-0.50,83,16010000
104/07/22,183000,173.00,173.00,168.00,170.50,-1.50,149,31193000
104/07/23,294019,170.00,171.00,164.50,165.00,-5.50,242,49105163
104/07/24,186162,165.00,167.00,164.00,166.50,+1.50,150,30841216
104/07/27,447000,165.50,166.50,157.00,157.00,-9.50,282,71868000
104/07/28,446000,158.00,162.50,156.00,160.00,+3.00,340,70810500
104/07/29,232080,161.00,163.50,160.50,163.00,+3.00,208,37532540
104/07/30,240020,164.50,165.50,160.00,161.50,-1.50,205,38942740
104/07/31,276271,162.50,162.50,153.50,154.00,-7.50,202,43364276
104/08/03,1058936,148.50,150.00,139.00,139.00,-15.00,572,148063604
104/08/04,2050298,138.00,140.50,125.50,129.00,-10.00,1295,264883090
104/08/05,1072000,132.00,133.00,126.50,129.00,0.00,767,138162000
104/08/06,1571632,131.00,131.00,116.50,117.50,-11.50,1043,187478390
104/08/07,1042868,118.00,118.00,112.00,117.50,0.00,780,120051924
104/08/10,1292992,118.00,127.50,117.00,125.00,+7.50,938,159306500
104/08/11,982000,121.00,121.00,116.00,116.50,,740,117081500
104/08/12,1207380,115.00,123.00,112.50,123.00,+6.50,942,142407310
104/08/13,915100,123.00,123.50,119.00,121.00,-2.00,665,110494300
104/08/14,631375,121.50,123.00,118.50,123.00,+2.00,463,76554812
104/08/17,426111,123.00,125.50,121.00,121.00,-2.00,341,52420431
104/08/18,417700,121.50,123.00,120.00,120.50,-0.50,325,50726000
104/08/19,785288,121.50,124.50,119.00,121.50,+1.00,624,95837991
104/08/20,579989,122.00,124.00,119.00,122.00,+0.50,437,70724169
104/08/21,636100,120.00,122.00,117.50,119.00,-3.00,474,76141800
104/08/24,854050,115.50,117.00,108.00,115.00,-4.00,627,97106700
104/08/25,636325,113.00,123.50,112.50,121.00,+6.00,484,75127325
104/08/26,492110,119.00,123.00,117.00,120.50,-0.50,336,58850365
104/08/27,528232,122.50,126.50,122.00,122.50,+2.00,448,65533152
104/08/28,1045948,125.00,132.00,124.00,127.00,+4.50,793,134525448
104/08/31,311297,127.00,128.50,125.50,126.50,-0.50,263,39424016
104/09/01,369200,126.50,129.50,125.00,128.00,+1.50,284,47093600
104/09/02,1586164,128.00,140.50,128.00,140.50,+12.50,1254,215314540
104/09/03,1478325,143.00,144.50,136.50,136.50,-4.00,1133,208162362
104/09/04,755107,139.00,141.50,134.50,134.50,-2.00,606,104421445
104/09/07,1214060,137.00,143.50,137.00,140.00,+5.50,965,171129869
104/09/08,1111500,143.00,146.50,138.00,139.50,-0.50,948,158240500
104/09/09,1600662,142.00,148.50,139.00,145.00,+5.50,1164,231308828
104/09/10,949100,145.00,150.50,145.00,148.00,+3.00,731,140900700
104/09/11,410235,148.00,149.00,145.50,148.50,+0.50,353,60586280
104/09/14,250245,150.00,150.00,145.00,145.50,-3.00,219,36698146
104/09/15,441135,145.50,146.50,139.50,141.00,-4.50,337,62712535
104/09/16,292211,143.00,143.50,138.50,138.50,-2.50,241,41136222
104/09/17,486129,141.00,144.50,140.50,142.00,+3.50,358,69147318
104/09/18,331464,143.00,147.50,142.00,146.00,+4.00,278,48006780
104/09/21,237002,143.00,143.00,140.50,143.00,-3.00,201,33616285
104/09/22,1088075,148.00,152.00,146.00,147.50,+4.50,922,162416561
104/09/23,547000,148.00,148.50,141.50,142.50,-5.00,439,78776500
104/09/24,373200,143.50,144.00,134.00,138.00,-4.50,320,51708900
104/09/25,272100,138.00,143.50,137.00,142.00,+4.00,229,38429200
104/09/30,815251,140.00,151.00,139.00,149.50,+7.50,605,120081899
104/10/01,1014530,152.50,156.50,148.50,151.00,+1.50,834,155127500
104/10/02,1205197,151.00,158.00,151.00,156.00,+5.00,847,186534535
104/10/05,1828238,160.00,171.50,159.00,166.50,+10.50,1212,308243625
104/10/06,718236,167.50,168.50,162.00,164.00,-2.50,621,118412704
104/10/07,1070858,165.50,173.00,164.00,173.00,+9.00,847,181179576
104/10/08,751050,173.00,174.00,166.50,169.00,-4.00,604,127158400
104/10/12,1958100,170.50,177.50,166.00,170.50,+1.50,1384,337400950
104/10/13,651219,172.00,174.00,169.00,170.00,-0.50,544,111657730
104/10/14,620028,169.00,170.50,165.00,165.00,-5.00,472,103881162
104/10/15,750010,166.50,168.00,161.50,163.00,-2.00,539,122825645
104/10/16,705200,164.50,166.00,159.00,159.00,-4.00,502,114196000
104/10/19,688800,160.50,164.50,159.00,164.50,+5.50,547,111598800
104/10/20,963105,166.00,169.00,164.50,165.50,+1.00,721,160934535
104/10/21,349345,167.50,167.50,163.00,164.50,-1.00,272,57578080
104/10/22,328000,165.00,167.00,164.00,164.00,-0.50,248,54187500
104/10/23,662000,166.50,170.00,164.00,165.00,+1.00,517,110416500
104/10/26,697320,165.50,169.50,165.00,168.50,+3.50,520,116738400
104/10/27,706404,168.50,174.50,167.00,170.00,+1.50,591,120985776
104/10/28,441596,170.00,173.00,169.00,170.00,0.00,348,75403224
104/10/29,654860,173.00,174.00,169.50,174.00,+4.00,531,112695460
104/10/30,1215003,176.00,176.00,167.00,170.50,-3.50,932,208985555
104/11/02,2109585,172.00,187.00,171.00,186.00,+15.50,1483,381104184
