建錩,	5014
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,297413,11.00,11.00,10.90,11.00,+0.05,101,3255493
104/01/06,278193,10.90,10.90,10.80,10.85,-0.15,123,3022233
104/01/07,231124,10.80,11.00,10.80,10.85,0.00,105,2517245
104/01/08,414578,10.95,11.05,10.90,10.90,+0.05,138,4536520
104/01/09,754499,10.90,11.20,10.90,11.05,+0.15,309,8380239
104/01/12,769957,11.10,11.35,11.10,11.15,+0.10,271,8645870
104/01/13,343764,11.15,11.20,11.05,11.05,-0.10,143,3818104
104/01/14,718899,11.05,11.05,10.80,10.80,-0.25,262,7842362
104/01/15,667277,10.80,10.85,10.65,10.70,-0.10,214,7156797
104/01/16,661014,10.70,10.70,10.55,10.60,-0.10,179,7024098
104/01/19,245142,10.70,10.75,10.60,10.60,0.00,79,2609754
104/01/20,258283,10.60,10.75,10.60,10.70,+0.10,97,2754527
104/01/21,263228,10.80,10.80,10.65,10.65,-0.05,89,2813827
104/01/22,798135,10.70,11.05,10.70,10.95,+0.30,304,8725721
104/01/23,628723,11.00,11.05,10.75,10.80,-0.15,201,6822357
104/01/26,317380,10.70,10.75,10.65,10.70,-0.10,121,3397015
104/01/27,333624,10.80,10.80,10.65,10.70,0.00,71,3569195
104/01/28,261324,10.70,10.70,10.60,10.65,-0.05,87,2786384
104/01/29,316628,10.65,10.75,10.60,10.65,0.00,91,3374837
104/01/30,655175,10.70,10.70,10.50,10.60,-0.05,160,6932704
104/02/02,368037,10.60,10.60,10.45,10.50,-0.10,83,3871092
104/02/03,241254,10.60,10.60,10.40,10.50,0.00,89,2529567
104/02/04,285247,10.60,10.60,10.40,10.45,-0.05,105,2984080
104/02/05,96023,10.40,10.50,10.40,10.45,0.00,42,1005087
104/02/06,125397,10.45,10.55,10.45,10.50,+0.05,41,1312798
104/02/09,99448,10.40,10.50,10.40,10.40,-0.10,52,1036863
104/02/10,164000,10.45,10.45,10.30,10.35,-0.05,62,1700750
104/02/11,165030,10.45,10.45,10.35,10.35,0.00,82,1714055
104/02/12,117069,10.35,10.40,10.30,10.35,0.00,52,1213659
104/02/13,204332,10.35,10.45,10.35,10.35,0.00,72,2117935
104/02/24,214001,10.35,10.40,10.35,10.40,+0.05,58,2222060
104/02/25,256979,10.40,10.60,10.40,10.50,+0.10,88,2697374
104/02/26,230162,10.50,10.55,10.35,10.35,-0.15,77,2400868
104/03/02,120422,10.35,10.45,10.35,10.40,+0.05,51,1251265
104/03/03,236876,10.40,10.50,10.35,10.40,0.00,72,2470515
104/03/04,188802,10.40,10.45,10.35,10.35,-0.05,70,1962208
104/03/05,186227,10.35,10.45,10.35,10.45,+0.10,55,1935609
104/03/06,180980,10.40,10.45,10.35,10.40,-0.05,68,1881442
104/03/09,174405,10.35,10.45,10.35,10.35,-0.05,71,1811468
104/03/10,248523,10.35,10.45,10.35,10.40,+0.05,82,2583232
104/03/11,237001,10.30,10.40,10.30,10.30,-0.10,68,2446410
104/03/12,102669,10.30,10.40,10.30,10.35,+0.05,54,1062469
104/03/13,744003,10.35,10.65,10.30,10.50,+0.15,241,7806380
104/03/16,327034,10.50,10.60,10.40,10.40,-0.10,110,3437599
104/03/17,132031,10.40,10.55,10.40,10.40,0.00,63,1380819
104/03/18,253485,10.40,10.45,10.35,10.40,0.00,83,2633443
104/03/19,164345,10.50,10.50,10.40,10.40,0.00,72,1710818
104/03/20,395202,10.40,10.45,10.35,10.40,0.00,110,4105500
104/03/23,5997671,10.40,11.10,10.40,11.10,+0.70,1453,65984545
104/03/24,2277617,11.30,11.30,10.80,10.85,-0.25,659,25113811
104/03/25,1648251,10.75,10.80,10.50,10.55,-0.30,508,17446996
104/03/26,492099,10.45,10.60,10.40,10.55,0.00,171,5167089
104/03/27,689501,10.50,10.55,10.35,10.35,-0.20,255,7174034
104/03/30,309091,10.35,10.45,10.30,10.30,-0.05,115,3200230
104/03/31,308634,10.35,10.45,10.30,10.35,+0.05,109,3193629
104/04/01,616342,10.35,10.35,10.15,10.20,-0.15,195,6318921
104/04/02,304874,10.25,10.35,10.20,10.20,0.00,97,3128169
104/04/07,265274,10.20,10.25,10.15,10.20,0.00,95,2708879
104/04/08,223630,10.20,10.20,10.10,10.15,-0.05,94,2269492
104/04/09,372002,10.15,10.25,10.10,10.20,+0.05,128,3777220
104/04/10,571999,10.30,10.30,10.05,10.10,-0.10,149,5771088
