笙科,	5272
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1750546,82.60,84.70,82.60,84.20,+1.70,1242,147046102
104/01/06,1407473,83.70,84.60,81.70,81.70,-2.50,1064,116598605
104/01/07,954130,82.00,83.30,82.00,82.20,+0.50,722,78857884
104/01/08,663195,82.80,83.70,82.30,82.90,+0.70,488,54932085
104/01/09,5958589,83.70,88.40,83.50,87.30,+4.40,4054,517208729
104/01/12,2572968,87.30,87.40,84.60,84.80,-2.50,1769,220125099
104/01/13,1004362,84.80,86.50,84.80,84.80,0.00,817,85837440
104/01/14,1098543,84.90,85.60,83.80,85.50,+0.70,817,93132322
104/01/15,1665500,86.00,87.30,85.00,85.00,-0.50,1222,143618693
104/01/16,1319753,85.10,85.70,81.90,81.90,-3.10,1014,109994668
104/01/19,1060866,82.60,83.80,81.50,81.90,0.00,788,87532210
104/01/20,649864,82.00,83.10,82.00,82.80,+0.90,514,53690098
104/01/21,654980,83.00,83.40,81.60,81.90,-0.90,492,53843542
104/01/22,2011855,83.40,85.50,83.00,83.80,+1.90,1390,169569224
104/01/23,921004,84.80,85.30,82.60,82.80,-1.00,645,77125144
104/01/26,568052,82.80,83.20,82.00,82.70,-0.10,418,46767536
104/01/27,518183,83.30,84.30,82.80,83.50,+0.80,429,43217597
104/01/28,598401,83.00,83.20,82.20,82.70,-0.80,451,49380483
104/01/29,1145118,82.60,82.70,81.00,81.40,-1.30,898,93264716
104/01/30,719104,81.40,82.70,80.70,81.40,0.00,602,58631574
104/02/02,422101,81.50,81.80,80.00,80.40,-1.00,320,34014019
104/02/03,510055,80.50,81.90,80.50,81.00,+0.60,395,41458036
104/02/04,548000,81.50,82.10,80.90,81.00,0.00,404,44647300
104/02/05,244001,81.40,81.50,80.90,81.20,+0.20,183,19803685
104/02/06,907209,80.80,81.50,78.30,78.30,-2.90,697,71827265
104/02/09,956007,77.70,78.20,76.10,76.50,-1.80,717,73389539
104/02/10,712550,76.30,77.70,75.80,75.80,-0.70,513,54657337
104/02/11,1364436,75.20,75.80,72.60,72.90,-2.90,1088,100497924
104/02/12,614300,72.90,74.00,72.60,73.80,+0.90,457,45050800
104/02/13,472330,74.00,74.40,73.00,73.00,-0.80,363,34727580
104/02/24,357022,73.40,73.90,73.30,73.70,+0.70,269,26270394
104/02/25,1039021,73.80,76.00,73.80,75.90,+2.20,804,78423898
104/02/26,269213,75.90,75.90,74.70,75.20,-0.70,235,20258505
104/03/02,356060,77.00,77.00,75.50,75.90,+0.70,325,27074100
104/03/03,454007,75.10,75.80,74.10,74.40,-1.50,340,33879525
104/03/04,2598832,74.40,79.60,74.20,79.60,+5.20,1732,204783726
104/03/05,1286050,79.60,79.60,78.20,78.60,-1.00,927,101524853
104/03/06,863491,78.20,79.40,78.00,78.60,0.00,700,68033532
104/03/09,2571547,77.80,82.80,77.80,80.70,+2.10,1961,209541923
104/03/10,2534011,80.80,83.80,80.50,81.40,+0.70,1872,208871135
104/03/11,994500,78.50,80.50,78.50,79.50,-1.90,831,79211631
104/03/12,664032,80.40,81.40,79.30,79.50,0.00,567,53375056
104/03/13,664039,81.00,81.20,79.40,79.60,+0.10,521,53230528
104/03/16,1635191,80.50,83.00,79.80,81.40,+1.80,1425,134198373
104/03/17,792094,82.00,82.40,80.10,80.10,-1.30,700,63960216
104/03/18,423075,79.80,81.20,79.80,80.60,+0.50,378,34114575
104/03/19,960166,81.10,82.40,80.60,80.80,+0.20,751,78186876
104/03/20,801128,80.80,82.30,80.40,80.40,-0.40,698,65016268
104/03/23,552577,80.70,81.60,80.10,80.40,0.00,633,44709733
104/03/24,645653,80.50,81.00,79.10,79.30,-1.10,598,51437737
104/03/25,2643159,79.50,82.90,79.10,81.40,+2.10,2002,216438538
104/03/26,530146,80.50,81.30,80.20,81.30,-0.10,470,42842968
104/03/27,527141,81.30,81.50,79.20,79.60,-1.70,509,42177056
104/03/30,605190,79.80,80.30,76.20,77.10,-2.50,652,47048710
104/03/31,350100,77.50,78.20,77.00,78.10,+1.00,374,27205500
104/04/01,997508,77.00,77.40,74.70,75.20,-2.90,794,75252492
104/04/02,601018,74.80,76.50,74.80,76.00,+0.80,483,45539068
104/04/07,508319,76.50,77.80,76.10,77.30,+1.30,419,39070582
104/04/08,1102215,77.10,77.30,73.60,74.60,-2.70,861,82555644
104/04/09,926131,74.40,75.50,73.90,74.00,-0.60,685,69105489
104/04/10,822045,74.50,75.40,73.10,74.90,+0.90,658,61043294
104/04/13,435055,75.50,76.00,74.40,76.00,+1.10,405,32791580
104/04/14,438023,76.00,76.50,75.40,76.00,0.00,327,33334164
104/04/15,708106,76.60,77.90,76.20,76.50,+0.50,528,54546912
104/04/16,420278,76.50,77.40,75.50,75.50,-1.00,339,32062157
104/04/17,428602,75.50,75.60,74.20,74.80,-0.70,338,32108484
104/04/20,313015,74.00,74.60,73.80,74.30,-0.50,238,23203140
104/04/21,733010,74.30,74.80,71.20,71.50,-2.80,556,53253150
104/04/22,381359,71.50,73.30,71.50,73.20,+1.70,314,27697483
104/04/23,506007,74.20,75.70,73.80,75.00,+1.80,408,37899834
104/04/24,260329,75.60,75.70,74.00,74.30,-0.70,206,19406507
104/04/27,308458,74.40,74.80,73.50,73.50,-0.80,246,22822760
104/04/28,225101,74.00,74.20,73.60,73.60,+0.10,166,16616932
104/04/29,408200,73.60,74.00,71.80,72.20,-1.40,294,29609998
104/04/30,311100,72.30,73.50,71.60,72.20,0.00,250,22520450
104/05/04,1502627,71.50,71.90,67.20,67.20,-5.00,1125,102085963
104/05/05,577153,65.00,67.00,65.00,66.20,-1.00,430,38122671
104/05/06,453122,65.10,67.70,65.10,67.10,+0.90,356,30287978
104/05/07,256404,67.10,67.20,66.30,66.30,-0.80,219,17079082
104/05/08,852710,66.20,67.00,63.00,63.10,-3.20,590,54697459
104/05/11,547701,64.40,65.00,62.20,62.20,-0.90,434,34580807
104/05/12,402014,62.00,64.00,61.60,63.60,+1.40,323,25227724
104/05/13,229110,63.00,64.80,62.50,64.60,+1.00,199,14683060
104/05/14,216010,65.70,65.70,63.60,63.70,-0.90,181,13848680
104/05/15,233110,64.00,64.10,62.20,62.40,-1.30,207,14643940
104/05/18,518100,62.40,63.00,58.20,58.80,-3.60,453,30969112
104/05/19,588127,58.30,62.80,58.30,62.70,+3.90,513,36037157
104/05/20,297009,62.70,63.70,61.50,62.90,+0.20,263,18728167
104/05/21,150000,62.20,63.80,61.60,63.10,+0.20,134,9425800
104/05/22,303000,63.90,64.90,63.30,63.60,+0.50,239,19351800
104/05/25,367171,63.60,65.60,63.60,64.80,+1.20,311,23848215
104/05/26,276210,65.30,65.30,63.60,63.80,-1.00,218,17704581
104/05/27,618600,63.80,66.70,63.80,66.00,+2.20,491,40660000
104/05/28,2450124,66.90,70.60,66.90,70.60,+4.60,1507,171955052
104/05/29,1003300,70.60,71.00,69.00,69.50,-1.10,697,70189328
104/06/01,1055048,70.40,72.30,70.00,70.90,+1.40,779,74994702
104/06/02,1122220,71.20,73.20,71.20,71.40,+0.50,848,81030940
104/06/03,619257,71.10,71.80,68.50,68.70,-2.70,519,43124961
104/06/04,657000,68.50,69.80,65.50,65.70,-3.00,493,44177800
104/06/05,501000,65.70,66.40,64.20,65.70,0.00,375,32715500
104/06/08,425166,65.70,65.90,62.50,63.90,-1.80,297,27294590
104/06/09,1045050,63.90,63.90,58.30,59.00,-4.90,750,63255700
104/06/10,393150,59.20,61.30,59.20,60.60,+1.60,288,23857275
104/06/11,340004,60.50,61.90,59.60,60.00,-0.60,278,20533760
104/06/12,276000,60.00,61.80,60.00,60.80,+0.80,202,16836200
104/06/15,266500,60.80,62.20,60.50,60.70,-0.10,196,16296800
104/06/16,272127,61.00,61.20,59.60,60.80,+0.10,203,16460771
104/06/17,217001,61.50,61.50,60.80,61.40,+0.60,163,13282661
104/06/18,396000,61.50,63.60,61.40,63.00,+1.60,316,24920300
104/06/22,310000,63.50,64.80,63.10,63.20,+0.20,237,19755000
104/06/23,934001,65.00,65.90,63.50,65.40,+2.20,642,60684669
104/06/24,843010,65.20,67.90,64.90,65.60,+0.20,695,56109774
104/06/25,348001,65.60,66.40,65.10,65.70,+0.10,274,22908866
104/06/26,333001,66.20,67.40,65.80,66.50,+0.80,277,22155071
