杰力,	5299
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,1949792,126.50,135.00,124.00,134.00,+7.50,1459,252441628
107/06/04,1657444,138.00,141.00,131.00,134.00,0.00,1222,225266996
107/06/05,1384357,135.00,135.00,123.50,128.50,-5.50,1100,176391839
107/06/06,1441836,129.00,136.00,129.00,135.50,+7.00,1045,191572696
107/06/07,1551950,137.00,137.00,129.00,136.50,+1.00,1151,207111124
107/06/08,1897471,138.00,147.00,133.00,147.00,+10.50,1527,266663737
107/06/11,2224286,147.00,161.50,147.00,161.50,+14.50,1644,346002546
107/06/12,2389343,161.00,169.50,154.50,158.00,-3.50,1919,386699380
107/06/13,1456512,157.00,164.50,149.00,152.00,-6.00,1112,225876324
107/06/14,1741026,152.00,166.00,152.00,161.00,+9.00,1289,276568342
107/06/15,2553652,160.00,161.00,151.00,154.00,-7.00,2032,395433212
107/06/19,2768208,152.00,152.50,139.00,139.00,-15.00,2296,394196510
107/06/20,3717810,143.00,145.00,125.50,130.00,-9.00,2990,499608321
107/06/21,3368066,132.50,143.00,130.00,143.00,+13.00,2704,466927438
107/06/22,2270282,140.50,141.00,132.50,134.00,-9.00,1805,307632852
107/06/25,1980550,134.00,136.00,123.50,124.00,-10.00,1539,255837350
107/06/26,2986865,125.50,135.00,124.50,134.50,+10.50,2267,389628340
107/06/27,3501699,138.00,142.00,132.00,132.50,-2.00,2712,483337166
107/06/28,1758120,132.50,136.50,129.50,134.00,+1.50,1439,234798200
107/06/29,2279597,138.50,140.50,131.00,131.50,-2.50,1707,306896998
107/07/02,2861831,133.00,144.00,132.00,139.00,+7.50,2187,397406009
107/07/03,5441011,146.00,151.00,142.00,144.00,+5.00,4035,800916084
107/07/04,1829680,146.00,148.00,136.00,141.50,-2.50,1509,259962038
107/07/05,3145095,142.50,142.50,127.50,128.00,-13.50,2360,415111705
107/07/06,2904449,129.50,134.00,121.50,133.50,+5.50,2310,369984115
107/07/09,1475620,138.00,138.00,128.50,128.50,-5.00,1181,196123788
107/07/10,1419150,130.00,134.50,129.00,134.00,+5.50,1148,188035250
107/07/11,1975425,130.00,138.50,129.50,132.50,-1.50,1642,266652450
107/07/12,1495665,134.00,139.00,132.00,139.00,+6.50,1156,203076935
107/07/13,1903386,141.50,143.50,139.00,139.50,+0.50,1578,268706847
107/07/16,5600293,141.00,153.00,140.50,149.50,+10.00,4034,840095800
107/07/17,3062310,150.50,152.50,139.00,141.00,-8.50,2567,448633710
107/07/18,2215864,144.00,145.50,132.00,136.00,-5.00,1834,306627004
107/07/19,1364043,136.50,139.00,132.50,134.50,-1.50,1135,184756848
107/07/20,1929602,136.00,136.50,125.50,131.00,-3.50,1667,250238362
107/07/23,1850201,131.50,133.00,126.00,132.00,+1.00,1505,239485032
107/07/24,3097630,138.00,140.00,134.50,135.00,+3.00,2395,426805050
107/07/25,853100,136.50,137.00,133.00,134.50,-0.50,671,115037800
107/07/26,3300030,137.00,144.00,135.00,142.00,+7.50,2520,464814880
107/07/27,4821808,149.00,150.50,143.00,143.00,+1.00,3612,712602968
107/07/30,2817416,142.50,148.00,141.00,147.50,+4.50,2063,405177236
107/07/31,3207430,147.50,151.00,144.50,144.50,-3.00,2376,475878634
107/08/01,5483011,146.50,157.50,146.00,151.00,+6.50,4265,831554672
107/08/02,4005125,154.00,155.50,146.50,147.00,-4.00,3217,603736000
107/08/03,2182450,148.50,150.00,143.00,149.00,+2.00,1721,322297271
107/08/06,992452,149.00,150.00,146.00,148.00,-1.00,849,146855896
107/08/07,5325705,151.00,160.50,151.00,152.00,+4.00,4309,835216570
107/08/08,3546326,152.00,157.00,148.50,157.00,+5.00,2779,547320016
107/08/09,1937418,155.00,156.50,151.50,152.50,-4.50,1611,297334243
107/08/10,3922836,151.00,151.00,137.50,137.50,-15.00,3118,559270868
107/08/13,2713100,136.50,136.50,125.00,136.00,-1.50,2179,357074000
107/08/14,2025020,136.00,139.50,131.50,132.00,-4.00,1706,270805680
107/08/15,2221239,131.50,135.50,126.00,132.50,+0.50,1832,290342526
107/08/16,1692330,129.50,135.50,128.00,134.50,+2.00,1435,224619050
107/08/17,2067200,138.00,140.50,128.50,130.00,-4.50,1683,282449900
107/08/20,1060156,131.00,133.00,126.00,130.00,0.00,867,137621357
107/08/21,563000,131.00,132.50,128.00,131.50,+1.50,459,73805000
107/08/22,1235035,133.50,135.50,129.00,129.50,-2.00,960,163410585
107/08/23,513883,130.00,131.00,128.00,128.00,-1.50,445,66285854
107/08/24,2233896,129.50,129.50,115.50,117.50,-10.50,1899,271076624
107/08/27,2358270,118.50,121.50,113.50,121.50,+4.00,2023,278770074
107/08/28,1631146,122.50,123.50,118.00,118.00,-3.50,1300,196212520
107/08/29,2995052,120.50,127.00,120.50,124.50,+6.50,2326,373013656
107/08/30,1962223,124.00,129.00,122.00,129.00,+4.50,1613,247691213
107/08/31,1139305,128.00,131.00,126.00,130.00,+1.00,937,146525505
107/09/03,1225345,131.00,131.00,120.00,120.00,-10.00,1050,152138245
107/09/04,474031,121.00,125.00,121.00,124.50,+4.50,395,58542906
107/09/05,328125,123.50,125.00,122.00,122.50,-2.00,285,40487000
107/09/06,447045,120.50,122.50,119.50,121.00,,408,54015625
107/09/07,799240,122.00,124.00,115.00,115.00,-6.00,680,94831080
107/09/10,1171438,117.00,117.50,104.00,105.00,-10.00,994,126462428
107/09/11,569010,107.00,109.00,105.00,106.50,+1.50,489,60883135
107/09/12,1024445,106.50,106.50,98.10,101.00,-5.50,919,103293664
107/09/13,727071,104.50,105.00,100.50,101.50,+0.50,620,75040313
107/09/14,1114100,104.50,109.00,101.00,109.00,+7.50,936,117597449
107/09/17,772001,107.00,111.00,105.50,107.00,-2.00,619,83253109
107/09/18,625352,105.50,107.00,103.00,103.00,-4.00,544,65338108
107/09/19,755099,106.50,107.50,104.00,104.00,+1.00,611,79772796
107/09/20,579060,104.00,105.50,100.00,101.00,-3.00,498,59186120
107/09/21,937922,103.00,107.50,101.00,107.00,+6.00,807,98347692
107/09/25,1843100,106.00,117.50,104.50,117.50,+10.50,1373,208645750
107/09/26,3849850,118.00,121.50,115.50,117.50,0.00,2945,459126150
107/09/27,3058256,117.00,125.50,116.50,118.00,+0.50,2500,372054708
107/09/28,2017050,122.50,123.50,116.00,116.00,-2.00,1561,239737900
107/10/01,1073110,116.50,121.50,114.00,121.50,+5.50,913,126389475
107/10/02,1788215,124.00,125.50,120.00,120.00,-1.50,1432,218507230
107/10/03,844300,119.00,121.00,117.50,118.00,-2.00,706,100666900
107/10/04,1707115,118.00,124.00,118.00,119.50,+1.50,1448,206049356
107/10/05,1509445,117.00,118.00,108.00,108.00,-11.50,1250,168795616
107/10/08,1425066,106.00,111.50,104.50,107.00,-1.00,1186,153529260
107/10/09,1980152,108.00,109.50,97.50,98.00,-9.00,1631,200743256
107/10/11,460195,88.20,89.10,88.20,88.20,-9.80,331,40598395
107/10/12,2325315,85.60,90.00,84.10,87.00,-1.20,1864,201932709
107/10/15,1251030,86.70,89.10,84.50,84.50,-2.50,1074,108781779
107/10/16,2011100,83.90,87.30,81.50,82.00,-2.50,1723,169577600
107/10/17,2034500,84.80,85.30,78.10,81.00,-1.00,1755,166612300
107/10/18,991000,81.40,82.30,80.10,80.10,-0.90,838,80296700
107/10/19,1670200,79.20,79.50,72.60,79.50,-0.60,1328,126734900
107/10/22,765072,77.20,81.50,77.20,79.80,+0.30,712,61329043
107/10/23,769015,78.30,81.40,76.00,76.00,-3.80,616,60014770
107/10/24,1120101,75.80,79.50,74.00,77.30,+1.30,968,86067016
107/10/25,1071473,73.50,75.20,69.70,70.00,-7.30,944,77363653
107/10/26,1190301,71.30,72.30,67.80,69.90,-0.10,1008,83505488
107/10/29,628210,71.90,72.20,70.00,70.80,+0.90,550,44691526
107/10/30,970200,71.60,72.90,68.30,72.50,+1.70,825,68711560
107/10/31,1874453,74.00,79.30,74.00,78.50,+6.00,1428,145516078
107/11/01,1768616,78.50,84.10,77.50,81.10,+2.60,1541,144470961
107/11/02,1516303,81.50,83.90,78.20,79.20,-1.90,1319,123562807
107/11/08,1617319,87.50,88.00,84.00,85.70,+0.90,1265,139168542
107/11/09,634351,84.50,86.40,84.30,85.60,-0.10,558,54124586
107/11/12,1298072,86.30,89.30,85.60,85.60,0.00,1151,113600492
107/11/16,620200,85.70,86.60,85.10,85.10,-0.20,495,53173040
107/11/19,823100,86.60,88.30,85.80,88.30,+3.20,658,71574529
107/11/20,2454364,87.60,92.90,87.60,92.00,+3.70,2013,224009696
107/11/21,1397092,91.80,93.80,89.60,93.80,+1.80,1186,128930629
107/11/22,1973359,96.00,98.50,91.00,91.00,-2.80,1654,188787648
107/11/23,663210,91.30,93.00,89.60,89.70,-1.30,578,60220911
107/11/26,1903302,90.90,98.40,90.60,97.50,+7.80,1570,182094812
107/11/27,1779620,98.20,107.00,98.20,107.00,+9.50,1205,186572240
107/11/28,3797529,112.00,117.00,112.00,117.00,+10.00,2858,436230393
107/11/29,2563111,118.50,119.50,115.00,116.00,-1.00,1981,300294987
107/11/30,3529271,118.50,127.00,118.50,125.00,+9.00,2818,433504009
107/12/03,3961874,135.00,137.00,128.00,134.50,+9.50,2897,526062050
107/12/04,2282437,131.00,132.50,125.00,127.00,-7.50,1730,291996499
107/12/05,5942288,122.00,132.50,120.50,121.50,-5.50,4828,753253136
107/12/06,3030058,121.50,123.50,109.50,109.50,-12.00,2277,349227350
107/12/07,4736098,113.50,120.00,113.50,117.00,+7.50,3638,553529611
107/12/10,3592923,115.00,121.50,113.00,119.50,+2.50,2932,423195219
107/12/11,3163188,122.00,124.00,120.00,120.50,+1.00,2375,383696560
107/12/12,4905361,126.50,132.00,126.50,128.00,+7.50,3569,637169208
107/12/13,4974564,131.50,132.50,127.00,127.00,-1.00,3975,644685973
107/12/14,1900076,126.00,128.00,122.50,126.00,-1.00,1626,238855152
107/12/17,2175234,126.00,131.00,125.00,125.50,-0.50,1740,278239599
107/12/18,2264533,125.00,125.00,117.00,119.00,-6.50,1917,273052257
107/12/19,2009286,122.50,123.00,115.00,117.00,-2.00,1583,239134462
107/12/20,2953545,115.00,116.00,106.50,109.00,-8.00,2328,325669405
107/12/21,3514620,107.50,115.50,104.00,115.50,+6.50,2808,382712610
107/12/22,983010,112.50,114.00,111.50,113.00,-2.50,798,110819145
107/12/24,1482301,113.00,114.50,108.00,110.00,-3.00,1277,164056560
107/12/25,1579611,106.50,106.50,103.00,104.00,-6.00,1359,165039155
107/12/26,1944100,105.50,108.50,100.00,100.00,-4.00,1623,203833749
107/12/27,2438021,106.00,106.00,100.00,103.50,+3.50,1971,250685684
107/12/28,3482300,107.00,109.00,105.00,105.00,+1.50,2757,371371900
108/01/02,1255181,107.00,107.50,105.00,105.50,+0.50,978,132934367
108/01/03,911632,103.00,105.50,101.50,101.50,-4.00,786,93979964
108/01/04,2939536,99.80,108.50,97.80,106.50,+5.00,2390,306989647
108/01/07,1897200,108.00,108.50,106.50,106.50,0.00,1457,203899500
108/01/08,2577360,108.00,111.50,107.50,108.00,+1.50,2083,281578380
108/01/09,1744127,107.50,111.00,107.50,110.00,+2.00,1453,189785970
108/01/10,1130000,109.50,111.50,108.00,108.00,-2.00,855,123862500
108/01/11,794200,109.00,110.50,106.00,106.00,-2.00,620,85783400
108/01/14,958300,106.50,107.50,102.00,103.00,-3.00,803,99624800
108/01/15,4028026,104.00,113.00,103.50,113.00,+10.00,2836,443729438
108/01/16,6894050,114.50,116.00,111.50,111.50,-1.50,4947,788827024
108/01/17,2424275,111.50,114.50,108.00,109.00,-2.50,1856,269416610
108/01/18,6007752,110.50,118.50,110.00,116.00,+7.00,4662,691050236
108/01/21,7857418,117.00,123.50,116.50,123.00,+7.00,6104,949957121
108/01/22,3540408,125.00,125.00,119.00,122.00,-1.00,2720,430794885
108/01/23,5544967,122.00,127.00,120.00,121.50,-0.50,4469,687146875
