日盛金,	5820
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1408741,8.32,8.34,8.29,8.32,-0.01,292,11703797
104/01/06,2226957,8.30,8.30,8.21,8.24,-0.08,325,18376586
104/01/07,957368,8.24,8.25,8.21,8.23,-0.01,326,7871276
104/01/08,1678244,8.27,8.35,8.27,8.30,+0.07,386,13957701
104/01/09,1525217,8.34,8.37,8.28,8.30,0.00,284,12668692
104/01/12,1562714,8.29,8.32,8.28,8.29,-0.01,277,12959833
104/01/13,1645775,8.28,8.33,8.28,8.32,+0.03,355,13672923
104/01/14,989943,8.34,8.35,8.29,8.30,-0.02,264,8223629
104/01/15,612060,8.29,8.33,8.28,8.29,-0.01,166,5076041
104/01/16,1813964,8.30,8.30,8.23,8.23,-0.06,307,14972295
104/01/19,704579,8.25,8.30,8.22,8.23,0.00,205,5817254
104/01/20,939225,8.24,8.27,8.20,8.22,-0.01,275,7727475
104/01/21,835671,8.23,8.24,8.20,8.24,+0.02,175,6867752
104/01/22,637677,8.25,8.28,8.24,8.26,+0.02,242,5266863
104/01/23,10724123,8.31,8.56,8.31,8.43,+0.17,2033,90787711
104/01/26,2697893,8.45,8.47,8.38,8.39,-0.04,501,22707270
104/01/27,1277922,8.40,8.43,8.36,8.38,-0.01,299,10724733
104/01/28,1666129,8.35,8.37,8.32,8.37,-0.01,396,13899931
104/01/29,1248993,8.34,8.37,8.32,8.34,-0.03,270,10408766
104/01/30,1145808,8.34,8.35,8.31,8.32,-0.02,178,9549172
104/02/02,937229,8.30,8.35,8.28,8.30,-0.02,212,7784931
104/02/03,532415,8.30,8.33,8.29,8.30,0.00,180,4424110
104/02/04,6486429,8.37,8.49,8.36,8.42,+0.12,1306,54786485
104/02/05,1956114,8.42,8.44,8.38,8.41,-0.01,500,16434213
104/02/06,940776,8.40,8.43,8.38,8.41,0.00,224,7894900
104/02/09,1179215,8.39,8.40,8.37,8.38,-0.03,190,9881472
104/02/10,1171983,8.38,8.43,8.36,8.37,-0.01,198,9817499
104/02/11,968589,8.37,8.39,8.35,8.36,-0.01,177,8103113
104/02/12,898891,8.36,8.39,8.36,8.36,0.00,166,7519035
104/02/13,472535,8.39,8.41,8.36,8.37,+0.01,175,3957070
104/02/24,1922967,8.42,8.44,8.40,8.43,+0.06,518,16199372
104/02/25,1793596,8.45,8.45,8.42,8.44,+0.01,624,15132219
104/02/26,1383398,8.44,8.47,8.43,8.47,+0.03,605,11690916
104/03/02,3808289,8.49,8.51,8.47,8.49,+0.02,660,32335277
104/03/03,1467636,8.49,8.49,8.43,8.43,-0.06,310,12404240
104/03/04,1115791,8.43,8.45,8.39,8.41,-0.02,257,9385859
104/03/05,610408,8.41,8.43,8.39,8.41,0.00,199,5132400
104/03/06,803092,8.47,8.47,8.41,8.44,+0.03,225,6776188
104/03/09,620475,8.42,8.43,8.40,8.41,-0.03,146,5220560
104/03/10,1093437,8.41,8.42,8.39,8.40,-0.01,175,9185580
104/03/11,1443776,8.36,8.39,8.36,8.36,-0.04,244,12083000
104/03/12,1107177,8.36,8.40,8.35,8.36,0.00,270,9266164
104/03/13,869116,8.36,8.39,8.35,8.35,-0.01,199,7270965
104/03/16,866207,8.35,8.38,8.34,8.36,+0.01,199,7236571
104/03/17,859032,8.35,8.39,8.35,8.36,0.00,220,7188127
104/03/18,810947,8.36,8.37,8.35,8.37,+0.01,268,6782498
104/03/19,1291450,8.38,8.42,8.38,8.41,+0.04,317,10841837
104/03/20,1005547,8.41,8.43,8.36,8.40,-0.01,334,8433607
104/03/23,894755,8.37,8.45,8.37,8.39,-0.01,326,7525796
104/03/24,715158,8.39,8.44,8.39,8.42,+0.03,229,6011230
104/03/25,751511,8.40,8.45,8.37,8.38,-0.04,509,6308347
104/03/26,1818570,8.35,8.37,8.33,8.34,-0.04,594,15181499
104/03/27,726208,8.35,8.35,8.32,8.32,-0.02,368,6048818
104/03/30,485558,8.32,8.36,8.31,8.35,+0.03,427,4044486
104/03/31,631062,8.35,8.36,8.33,8.33,-0.02,336,5260273
104/04/01,308274,8.35,8.37,8.32,8.33,0.00,213,2569654
104/04/02,685920,8.34,8.36,8.32,8.33,0.00,298,5715707
104/04/07,737519,8.33,8.36,8.31,8.33,0.00,433,6142155
104/04/08,812218,8.32,8.34,8.30,8.32,-0.01,481,6759093
104/04/09,1898217,8.31,8.37,8.30,8.33,+0.01,783,15825127
104/04/10,2283037,8.36,8.39,8.34,8.36,+0.03,685,19102922
104/04/13,3260095,8.40,8.42,8.38,8.40,+0.04,907,27373924
104/04/14,2751631,8.42,8.44,8.39,8.41,+0.01,816,23136871
104/04/15,2703829,8.41,8.42,8.36,8.38,-0.03,691,22677138
104/04/16,1932692,8.37,8.41,8.36,8.39,+0.01,521,16220625
104/04/17,2604517,8.40,8.40,8.36,8.37,-0.02,544,21816142
104/04/20,1617807,8.36,8.38,8.35,8.38,+0.01,359,13533693
104/04/21,2807691,8.39,8.41,8.35,8.36,-0.02,534,23514234
104/04/22,3036991,8.38,8.38,8.35,8.36,0.00,755,25388177
104/04/23,21484664,8.38,8.76,8.37,8.69,+0.33,3118,185174032
104/04/24,12330461,8.70,8.75,8.53,8.66,-0.03,1758,106820278
104/04/27,21669120,8.75,9.16,8.75,9.12,+0.46,3536,194766629
104/04/28,13434147,9.14,9.29,9.12,9.19,+0.07,3102,123620926
104/04/29,7600391,9.25,9.28,9.05,9.14,-0.05,1413,69849637
104/04/30,5893727,9.14,9.20,9.10,9.14,0.00,1044,53842863
104/05/04,13484424,9.20,9.45,9.18,9.40,+0.26,2474,125805308
104/05/05,8114270,9.42,9.43,9.29,9.30,-0.10,1693,75866916
104/05/06,4022255,9.25,9.28,9.12,9.24,-0.06,1420,37026728
104/05/07,6698277,9.20,9.21,9.01,9.04,-0.20,1172,60823110
104/05/08,3136159,9.05,9.13,9.05,9.05,+0.01,939,28461902
104/05/11,4174340,9.15,9.17,8.95,9.01,-0.04,857,37842655
104/05/12,2336086,9.00,9.07,8.98,9.05,+0.04,519,21070351
104/05/13,2926724,9.10,9.18,9.07,9.13,+0.08,778,26697990
104/05/14,2451941,9.12,9.12,9.00,9.04,-0.09,874,22155089
104/05/15,2066290,9.04,9.09,8.98,9.03,-0.01,555,18639070
104/05/18,2074666,9.03,9.05,8.96,8.97,-0.06,660,18638818
104/05/19,2858554,9.00,9.16,8.98,9.10,+0.13,730,26014531
104/05/20,1328001,9.10,9.10,9.04,9.05,-0.05,533,12039517
104/05/21,2930983,9.02,9.03,8.94,8.95,-0.10,666,26310273
104/05/22,1517065,8.95,9.01,8.93,8.95,0.00,349,13596263
104/05/25,1439033,8.98,8.98,8.87,8.92,-0.03,490,12822092
104/05/26,1691574,8.96,9.02,8.93,8.93,+0.01,457,15164117
104/05/27,1244292,8.98,9.02,8.91,9.00,+0.07,368,11179430
104/05/28,1420613,9.00,9.06,8.96,8.96,-0.04,398,12808474
104/05/29,1793787,8.99,9.10,8.92,9.10,+0.14,531,16126249
104/06/01,1432102,9.09,9.09,8.91,8.97,-0.13,586,12847301
104/06/02,2239394,8.96,8.96,8.84,8.87,-0.10,543,19906202
104/06/03,1663272,8.87,8.90,8.71,8.74,-0.13,502,14610912
104/06/04,2468308,8.73,8.79,8.58,8.65,-0.09,887,21434127
104/06/05,1036874,8.65,8.69,8.60,8.69,+0.04,404,8959664
104/06/08,1737299,8.70,8.71,8.62,8.69,0.00,490,15066414
104/06/09,2397931,8.68,8.68,8.46,8.49,-0.20,528,20504577
104/06/10,979787,8.49,8.61,8.49,8.56,+0.07,274,8395172
104/06/11,1440588,8.50,8.58,8.48,8.48,-0.08,441,12265688
104/06/12,702007,8.51,8.56,8.50,8.52,+0.04,322,5986715
104/06/15,1188684,8.55,8.55,8.50,8.51,-0.01,466,10119123
104/06/16,1645335,8.51,8.51,8.39,8.42,-0.09,468,13887511
104/06/17,1333589,8.42,8.48,8.40,8.45,+0.03,382,11243152
104/06/18,478100,8.45,8.50,8.45,8.49,+0.04,187,4050573
104/06/22,1177339,8.54,8.57,8.51,8.54,+0.05,425,10046575
104/06/23,1260972,8.57,8.62,8.56,8.59,+0.05,377,10837400
104/06/24,500826,8.59,8.59,8.53,8.57,-0.02,240,4287685
104/06/25,743722,8.60,8.60,8.54,8.54,-0.03,317,6373317
104/06/26,561463,8.54,8.57,8.54,8.56,+0.02,195,4800244
104/06/29,1379391,8.53,8.53,8.39,8.40,-0.16,439,11621648
104/06/30,436625,8.41,8.46,8.38,8.45,+0.05,202,3678394
104/07/01,479953,8.48,8.49,8.44,8.49,+0.04,177,4068667
104/07/02,788853,8.47,8.49,8.42,8.43,-0.06,269,6669040
104/07/03,710214,8.43,8.47,8.41,8.42,-0.01,249,5983231
104/07/06,1375778,8.42,8.47,8.33,8.36,-0.06,623,11524648
104/07/07,1346923,8.40,8.42,8.34,8.40,+0.04,511,11284286
104/07/08,2929674,8.39,8.39,8.20,8.23,-0.17,738,24224003
104/07/09,1531449,8.22,8.22,8.04,8.16,-0.07,419,12437970
104/07/13,1355139,8.21,8.23,8.16,8.21,+0.05,589,11108770
104/07/14,764206,8.23,8.32,8.23,8.29,+0.08,306,6318470
104/07/15,1083652,8.32,8.38,8.30,8.30,+0.01,357,9027866
104/07/16,1231813,8.33,8.34,8.28,8.28,-0.02,452,10240530
104/07/17,1111567,8.29,8.34,8.29,8.30,+0.02,419,9241996
104/07/20,773696,8.32,8.34,8.24,8.26,-0.04,353,6412462
104/07/21,2104614,8.28,8.28,8.19,8.23,-0.03,403,17305524
104/07/22,3744223,8.23,8.47,8.23,8.46,+0.23,1230,31442803
104/07/23,1890630,8.46,8.46,8.23,8.28,-0.18,554,15745485
104/07/24,1010663,8.31,8.33,8.25,8.27,-0.01,355,8365694
104/07/27,2312267,8.23,8.23,8.06,8.06,-0.21,709,18807831
104/07/28,1218372,8.06,8.11,8.03,8.06,0.00,301,9825946
104/07/29,1037713,8.07,8.10,8.01,8.03,-0.03,330,8344158
104/07/30,1233128,8.08,8.15,8.04,8.06,+0.03,446,9972934
104/07/31,528855,8.08,8.10,8.05,8.06,0.00,204,4268587
104/08/03,1504900,8.06,8.08,7.98,7.99,-0.07,301,12061792
104/08/04,1097874,8.01,8.05,7.99,8.05,+0.06,376,8803522
104/08/05,1195490,8.05,8.06,8.01,8.06,+0.01,417,9602055
104/08/06,1056037,8.05,8.05,8.00,8.00,-0.06,359,8473196
104/08/07,861862,8.00,8.04,7.99,8.04,+0.04,241,6902648
104/08/10,1731083,8.04,8.04,8.00,8.04,0.00,315,13870107
104/08/11,934100,8.02,8.08,8.00,8.00,-0.04,201,7491910
104/08/12,2273791,7.99,7.99,7.76,7.81,-0.19,637,17798936
104/08/13,1670794,7.78,7.90,7.77,7.87,+0.06,465,13082033
104/08/14,3367058,7.91,8.12,7.91,8.00,+0.13,736,27049054
104/08/17,1518662,7.98,7.98,7.87,7.90,-0.10,452,12013977
104/08/18,1439398,7.91,7.95,7.81,7.82,-0.08,463,11301936
104/08/19,1820568,7.87,7.87,7.63,7.65,-0.17,444,14020932
104/08/20,1023014,7.65,7.73,7.55,7.68,+0.03,286,7835577
104/08/21,2507679,7.52,7.60,7.39,7.41,-0.27,598,18775354
104/08/24,4279865,7.30,7.31,6.67,6.80,-0.61,936,29219594
104/08/25,2903226,6.80,7.03,6.78,7.00,+0.20,854,20126492
104/08/26,2148771,6.98,7.09,6.88,7.07,+0.07,500,14975375
104/08/27,3028487,7.12,7.23,7.08,7.21,+0.14,561,21660021
104/08/28,2112351,7.27,7.47,7.26,7.47,+0.26,493,15533322
104/08/31,1730297,7.46,7.48,7.38,7.48,+0.01,373,12834797
104/09/01,1641380,7.45,7.52,7.43,7.51,+0.03,493,12291632
104/09/02,1693228,7.42,7.51,7.36,7.50,-0.01,459,12586383
104/09/03,2108603,7.53,7.59,7.46,7.59,+0.09,553,15876665
104/09/04,2550534,7.60,7.63,7.55,7.55,-0.04,845,19364202
104/09/07,4641836,7.52,7.66,7.51,7.60,+0.05,843,35289066
104/09/08,2790478,7.10,7.11,7.03,7.05,,566,19749343
104/09/09,2796102,7.05,7.25,7.05,7.25,+0.20,673,20054118
104/09/10,1422439,7.25,7.32,7.17,7.29,+0.04,446,10322643
104/09/11,1800872,7.33,7.39,7.30,7.39,+0.10,607,13235626
104/09/14,986000,7.43,7.47,7.30,7.33,-0.06,421,7259598
104/09/15,1155087,7.34,7.36,7.28,7.28,-0.05,442,8449346
104/09/16,1033171,7.31,7.34,7.27,7.27,-0.01,265,7535954
104/09/17,1563334,7.34,7.39,7.30,7.37,+0.10,387,11500971
104/09/18,1757922,7.39,7.49,7.37,7.43,+0.06,602,13061948
104/09/21,1238131,7.41,7.41,7.32,7.36,-0.07,264,9107419
104/09/22,763364,7.35,7.42,7.32,7.37,+0.01,291,5613840
104/09/23,1346183,7.34,7.34,7.27,7.30,-0.07,327,9813459
104/09/24,805016,7.30,7.35,7.25,7.25,-0.05,270,5855832
104/09/25,835318,7.26,7.28,7.23,7.25,0.00,240,6056907
104/09/30,1137757,7.22,7.25,7.17,7.23,-0.02,287,8199894
104/10/01,354929,7.25,7.33,7.25,7.30,+0.07,188,2589298
104/10/02,563145,7.27,7.32,7.26,7.28,-0.02,128,4101897
104/10/05,301867,7.26,7.31,7.26,7.31,+0.03,102,2201379
104/10/06,963659,7.31,7.34,7.22,7.27,-0.04,355,7028501
104/10/07,456352,7.27,7.33,7.27,7.33,+0.06,163,3333272
104/10/08,1001462,7.35,7.37,7.30,7.30,-0.03,445,7338826
104/10/12,1690355,7.34,7.43,7.34,7.42,+0.12,749,12518365
104/10/13,1377183,7.43,7.47,7.36,7.40,-0.02,612,10238054
104/10/14,834914,7.38,7.46,7.38,7.40,0.00,412,6186220
104/10/15,1448543,7.41,7.45,7.38,7.40,0.00,583,10742678
104/10/16,868535,7.42,7.48,7.42,7.46,+0.06,404,6473193
104/10/19,1076692,7.48,7.50,7.43,7.48,+0.02,332,8032661
104/10/20,1092247,7.43,7.49,7.42,7.46,-0.02,418,8139994
104/10/21,1310226,7.48,7.53,7.44,7.49,+0.03,555,9803382
104/10/22,774331,7.45,7.53,7.45,7.45,-0.04,351,5794374
104/10/23,1497348,7.50,7.55,7.47,7.49,+0.04,408,11232551
104/10/26,904003,7.51,7.52,7.47,7.49,0.00,355,6783400
104/10/27,1074774,7.48,7.50,7.40,7.42,-0.07,424,7988156
104/10/28,1301026,7.41,7.43,7.36,7.37,-0.05,434,9619529
104/10/29,707455,7.39,7.39,7.32,7.33,-0.04,249,5200106
104/10/30,1054129,7.35,7.37,7.31,7.34,+0.01,392,7725456
104/11/02,464555,7.36,7.39,7.34,7.38,+0.04,234,3421867
104/11/03,3120032,7.44,7.56,7.43,7.56,+0.18,841,23490121
104/11/04,2329825,7.56,7.59,7.54,7.57,+0.01,837,17633949
104/11/05,1053254,7.56,7.58,7.53,7.56,-0.01,451,7963694
104/11/06,1512294,7.55,7.55,7.43,7.45,-0.11,486,11296490
104/11/09,700080,7.45,7.48,7.41,7.42,-0.03,279,5201308
104/11/10,909140,7.40,7.41,7.37,7.39,-0.03,293,6720401
104/11/11,1676538,7.37,7.40,7.30,7.37,-0.02,371,12296397
104/11/12,932520,7.35,7.38,7.29,7.36,-0.01,340,6826509
104/11/13,1162520,7.28,7.36,7.28,7.28,-0.08,418,8483734
104/11/16,874286,7.22,7.34,7.16,7.34,+0.06,309,6351849
104/11/17,2175009,7.43,7.47,7.38,7.39,+0.05,554,16168547
104/11/18,1226029,7.39,7.45,7.33,7.33,-0.06,378,9034925
104/11/19,327229,7.35,7.44,7.35,7.40,+0.07,220,2414864
104/11/20,539009,7.44,7.45,7.35,7.45,+0.05,279,3994378
104/11/23,399428,7.43,7.44,7.36,7.36,-0.09,225,2951357
104/11/24,504982,7.40,7.40,7.34,7.38,+0.02,250,3718126
104/11/25,768317,7.39,7.41,7.31,7.38,0.00,515,5645994
104/11/26,897469,7.34,7.40,7.32,7.32,-0.06,424,6609017
104/11/27,745284,7.33,7.37,7.27,7.27,-0.05,348,5442820
104/11/30,2864192,7.26,7.31,7.13,7.20,-0.07,416,20595382
104/12/01,603777,7.20,7.28,7.20,7.26,+0.06,233,4375876
104/12/02,981547,7.28,7.32,7.22,7.26,0.00,420,7132256
104/12/03,740951,7.23,7.27,7.18,7.22,-0.04,269,5348696
104/12/04,2978944,7.19,7.27,7.12,7.14,-0.08,581,21308001
104/12/07,977218,7.18,7.27,7.18,7.24,+0.10,229,7073702
104/12/08,1419057,7.25,7.27,7.14,7.18,-0.06,295,10184287
104/12/09,2007826,7.17,7.27,7.07,7.07,-0.11,628,14286787
104/12/10,1132046,7.13,7.17,7.05,7.12,+0.05,438,8036250
104/12/11,1316305,7.15,7.20,7.07,7.11,-0.01,509,9366914
104/12/14,1491855,7.04,7.12,7.01,7.08,-0.03,412,10520296
104/12/15,4838818,7.10,7.39,7.10,7.34,+0.26,1173,35303550
104/12/16,904833,7.30,7.35,7.25,7.29,-0.05,441,6603950
104/12/17,1648416,7.29,7.34,7.23,7.25,-0.04,724,11968407
104/12/18,1843335,7.24,7.24,7.07,7.07,-0.18,493,13180082
104/12/21,1379541,7.11,7.21,7.07,7.21,+0.14,420,9840176
104/12/22,792559,7.20,7.21,7.11,7.17,-0.04,230,5656997
104/12/23,1416318,7.21,7.23,7.13,7.20,+0.03,483,10170644
104/12/24,809077,7.20,7.25,7.18,7.18,-0.02,227,5828633
104/12/25,759347,7.19,7.21,7.14,7.18,0.00,190,5456284
104/12/28,539574,7.24,7.24,7.15,7.17,-0.01,169,3872498
104/12/29,936955,7.17,7.17,7.10,7.11,-0.06,330,6669755
104/12/30,550542,7.15,7.15,7.10,7.11,0.00,165,3917906
104/12/31,370957,7.14,7.14,7.09,7.12,+0.01,128,2641044
105/01/04,1036488,7.12,7.14,7.01,7.10,-0.02,336,7339976
105/01/05,1069472,7.08,7.08,7.02,7.04,-0.06,277,7530354
105/01/06,865060,7.08,7.08,6.99,7.00,-0.04,342,6063052
105/01/07,1950420,7.00,7.06,6.85,6.92,-0.08,432,13554465
105/01/08,1186700,6.92,6.96,6.89,6.91,-0.01,336,8193115
105/01/11,1704667,6.90,6.90,6.76,6.76,-0.15,430,11627370
105/01/12,925872,6.77,6.84,6.71,6.74,-0.02,308,6262465
105/01/13,687522,6.74,6.81,6.70,6.71,-0.03,303,4641313
105/01/14,1320820,6.65,6.70,6.60,6.64,-0.07,408,8764542
