得利影,	6144
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,0,---,---,---,---,---,0,0
104/01/06,6000,11.30,11.30,11.20,11.20,+0.15,5,67700
104/01/07,10000,10.70,11.10,10.70,11.05,-0.15,8,108950
104/01/08,0,---,---,---,---,---,0,0
104/01/09,0,---,---,---,---,---,0,0
104/01/12,0,---,---,---,---,---,0,0
104/01/13,0,---,---,---,---,---,0,0
104/01/14,0,---,---,---,---,---,0,0
104/01/15,3000,11.05,11.20,11.05,11.20,+0.15,3,33350
104/01/16,2000,10.75,11.05,10.75,11.05,-0.15,2,21800
104/01/19,12000,10.80,10.80,10.75,10.80,-0.25,5,129300
104/01/20,2000,10.80,10.80,10.80,10.80,0.00,1,21600
104/01/21,2000,10.80,10.80,10.80,10.80,0.00,1,21600
104/01/22,2000,10.35,10.85,10.35,10.85,+0.05,2,21200
104/01/23,2058,10.85,10.85,10.85,10.85,0.00,3,22329
104/01/26,253,---,---,---,---,---,1,2745
104/01/27,0,---,---,---,---,---,0,0
104/01/28,0,---,---,---,---,---,0,0
104/01/29,0,---,---,---,---,---,0,0
104/01/30,8000,10.85,10.85,10.80,10.85,0.00,5,86700
104/02/02,507,---,---,---,---,---,1,5171
104/02/03,0,---,---,---,---,---,0,0
104/02/04,2001,10.40,10.90,10.40,10.90,+0.05,3,21310
104/02/05,0,---,---,---,---,---,0,0
104/02/06,41,---,---,---,---,---,1,446
104/02/09,4000,11.00,11.00,11.00,11.00,+0.10,3,44000
104/02/10,0,---,---,---,---,---,0,0
104/02/11,0,---,---,---,---,---,0,0
104/02/12,15,---,---,---,---,---,1,155
104/02/13,0,---,---,---,---,---,0,0
104/02/24,0,---,---,---,---,---,0,0
104/02/25,0,---,---,---,---,---,0,0
104/02/26,0,---,---,---,---,---,0,0
104/03/02,0,---,---,---,---,---,0,0
104/03/03,0,---,---,---,---,---,0,0
104/03/04,0,---,---,---,---,---,0,0
104/03/05,0,---,---,---,---,---,0,0
104/03/06,0,---,---,---,---,---,0,0
104/03/09,50,---,---,---,---,---,1,547
104/03/10,1000,10.95,10.95,10.95,10.95,0.00,1,10950
104/03/11,1000,10.95,10.95,10.95,10.95,0.00,1,10950
104/03/12,0,---,---,---,---,---,0,0
104/03/13,1000,10.95,10.95,10.95,10.95,0.00,1,10950
104/03/16,1,---,---,---,---,---,1,10
104/03/17,1,---,---,---,---,---,1,10
104/03/18,0,---,---,---,---,---,0,0
104/03/19,1000,11.00,11.00,11.00,11.00,+0.05,1,11000
104/03/20,2008,10.50,10.95,10.50,10.95,-0.05,3,21537
104/03/23,4,---,---,---,---,---,4,40
104/03/24,0,---,---,---,---,---,0,0
104/03/25,3001,10.55,10.55,10.50,10.50,-0.45,4,31560
104/03/26,3000,10.30,10.75,10.30,10.75,+0.25,3,31750
104/03/27,0,---,---,---,---,---,0,0
104/03/30,0,---,---,---,---,---,0,0
104/03/31,0,---,---,---,---,---,0,0
104/04/01,2000,10.25,10.70,10.25,10.70,-0.05,2,20950
104/04/02,0,---,---,---,---,---,0,0
104/04/07,1,---,---,---,---,---,1,11
104/04/08,0,---,---,---,---,---,0,0
104/04/09,2001,10.25,10.25,10.25,10.25,-0.40,3,20510
104/04/10,2440,10.80,10.80,10.80,10.80,+0.55,4,26263
104/04/13,3000,10.80,10.80,10.55,10.55,-0.25,3,32150
104/04/14,0,---,---,---,---,---,0,0
104/04/15,1000,10.30,10.30,10.30,10.30,-0.20,1,10300
104/04/16,0,---,---,---,---,---,0,0
104/04/17,0,---,---,---,---,---,0,0
104/04/20,0,---,---,---,---,---,0,0
104/04/21,0,---,---,---,---,---,0,0
104/04/22,0,---,---,---,---,---,0,0
104/04/23,0,---,---,---,---,---,0,0
104/04/24,22,---,---,---,---,---,4,209
104/04/27,0,---,---,---,---,---,0,0
104/04/28,0,---,---,---,---,---,0,0
104/04/29,0,---,---,---,---,---,0,0
104/04/30,0,---,---,---,---,---,0,0
104/05/04,1001,10.35,10.35,10.35,10.35,+0.05,2,10360
104/05/05,0,---,---,---,---,---,0,0
104/05/06,2000,10.55,10.55,10.55,10.55,+0.20,2,21100
104/05/07,3000,10.55,10.75,10.55,10.75,+0.20,2,32050
104/05/08,11002,10.75,11.00,10.75,11.00,+0.25,10,119522
104/05/11,12000,11.05,11.05,10.25,11.00,0.00,12,125950
104/05/12,0,---,---,---,---,---,0,0
104/05/13,0,---,---,---,---,---,0,0
104/05/14,0,---,---,---,---,---,0,0
104/05/15,1000,10.40,10.40,10.40,10.40,-0.30,1,10400
104/05/18,4003,9.80,9.99,9.71,9.99,-0.41,6,39330
104/05/19,0,---,---,---,---,---,0,0
104/05/20,0,---,---,---,---,---,0,0
104/05/21,0,---,---,---,---,---,0,0
104/05/22,0,---,---,---,---,---,0,0
104/05/25,0,---,---,---,---,---,0,0
104/05/26,12000,10.20,10.60,10.20,10.30,+0.38,11,124650
104/05/27,1000,10.75,10.75,10.75,10.75,+0.45,1,10750
104/05/28,0,---,---,---,---,---,0,0
104/05/29,0,---,---,---,---,---,0,0
104/06/01,1000,11.05,11.05,11.05,11.05,+0.35,1,11050
104/06/02,0,---,---,---,---,---,0,0
104/06/03,0,---,---,---,---,---,0,0
104/06/04,8000,10.85,10.85,10.20,10.25,-0.60,8,84300
104/06/05,5000,10.90,10.95,10.90,10.95,+0.70,4,54550
104/06/08,10000,11.00,11.00,11.00,11.00,+0.05,6,110000
104/06/09,0,---,---,---,---,---,0,0
104/06/10,5000,10.85,10.90,10.50,10.50,-0.40,5,53600
104/06/11,3000,10.80,10.85,10.80,10.85,+0.35,2,32500
104/06/12,0,---,---,---,---,---,0,0
104/06/15,2000,10.80,10.80,10.80,10.80,0.00,1,21600
104/06/16,1000,10.75,10.75,10.75,10.75,-0.05,1,10750
104/06/17,6000,10.30,10.70,10.25,10.70,-0.05,5,62200
104/06/18,0,---,---,---,---,---,0,0
104/06/22,0,---,---,---,---,---,0,0
104/06/23,1000,10.95,10.95,10.95,10.95,+0.30,1,10950
104/06/24,4000,9.95,10.85,9.95,10.85,-0.10,4,41200
104/06/25,0,---,---,---,---,---,0,0
104/06/26,0,---,---,---,---,---,0,0
104/06/29,0,---,---,---,---,---,0,0
104/06/30,0,---,---,---,---,---,0,0
104/07/01,0,---,---,---,---,---,0,0
104/07/02,0,---,---,---,---,---,0,0
104/07/03,0,---,---,---,---,---,0,0
104/07/06,0,---,---,---,---,---,0,0
104/07/07,0,---,---,---,---,---,0,0
104/07/08,0,---,---,---,---,---,0,0
104/07/09,7000,10.00,10.45,9.99,10.45,-0.25,6,70440
104/07/13,2000,10.00,10.35,10.00,10.35,-0.10,2,20350
104/07/14,0,---,---,---,---,---,0,0
104/07/15,1000,10.95,10.95,10.95,10.95,+0.60,1,10950
104/07/16,0,---,---,---,---,---,0,0
104/07/17,0,---,---,---,---,---,0,0
104/07/20,0,---,---,---,---,---,0,0
104/07/21,0,---,---,---,---,---,0,0
104/07/22,0,---,---,---,---,---,0,0
104/07/23,0,---,---,---,---,---,0,0
104/07/24,5000,10.50,10.95,10.50,10.95,+0.15,5,53050
104/07/27,7446,10.50,10.90,10.00,10.90,-0.05,6,77672
104/07/28,6000,9.90,10.60,9.85,10.60,-0.30,4,60050
104/07/29,0,---,---,---,---,---,0,0
104/07/30,7000,10.80,10.80,9.50,10.05,-0.50,7,68570
104/07/31,3076,10.50,10.50,9.20,10.25,+0.20,4,30713
104/08/03,2000,9.23,10.10,9.23,10.10,-0.15,2,19330
104/08/04,1076,10.55,10.55,10.55,10.55,+0.45,2,11332
104/08/05,0,---,---,---,---,---,0,0
104/08/06,0,---,---,---,---,---,0,0
104/08/07,0,---,---,---,---,---,0,0
104/08/10,0,---,---,---,---,---,0,0
104/08/11,0,---,---,---,---,---,0,0
104/08/12,1500,10.65,10.65,10.65,10.65,+0.25,2,15825
104/08/13,0,---,---,---,---,---,0,0
104/08/14,0,---,---,---,---,---,0,0
104/08/17,1000,10.75,10.75,10.75,10.75,+0.30,1,10750
104/08/18,0,---,---,---,---,---,0,0
104/08/19,0,---,---,---,---,---,0,0
104/08/20,0,---,---,---,---,---,0,0
104/08/21,0,---,---,---,---,---,0,0
104/08/24,0,---,---,---,---,---,0,0
104/08/25,0,---,---,---,---,---,0,0
104/08/26,1000,10.30,10.30,10.30,10.30,+0.31,1,10300
104/08/27,0,---,---,---,---,---,0,0
104/08/28,0,---,---,---,---,---,0,0
104/08/31,1000,9.97,9.97,9.97,9.97,-0.18,1,9970
104/09/01,1000,10.10,10.10,10.10,10.10,+0.13,1,10100
104/09/02,3000,9.10,10.00,9.10,10.00,-0.10,3,28200
104/09/03,0,---,---,---,---,---,0,0
104/09/04,1000,10.00,10.00,10.00,10.00,+0.12,1,10000
104/09/07,0,---,---,---,---,---,0,0
104/09/08,3000,9.95,10.35,9.95,10.35,+0.51,3,30600
104/09/09,7000,9.40,10.05,9.40,10.05,-0.30,5,69050
104/09/10,0,---,---,---,---,---,0,0
104/09/11,0,---,---,---,---,---,0,0
104/09/14,0,---,---,---,---,---,0,0
104/09/15,0,---,---,---,---,---,0,0
104/09/16,10000,9.98,9.98,9.61,9.98,-0.01,9,98890
104/09/17,0,---,---,---,---,---,0,0
104/09/18,0,---,---,---,---,---,0,0
104/09/21,0,---,---,---,---,---,0,0
104/09/22,6000,9.87,10.00,9.28,10.00,+0.06,6,58230
104/09/23,1,---,---,---,---,---,1,9
104/09/24,11000,9.30,9.80,9.16,9.80,-0.19,9,102150
104/09/25,0,---,---,---,---,---,0,0
104/09/30,0,---,---,---,---,---,0,0
104/10/01,0,---,---,---,---,---,0,0
104/10/02,9000,9.01,9.74,9.01,9.74,+0.14,8,82980
104/10/05,5000,9.31,9.66,9.30,9.66,-0.08,5,46870
104/10/06,0,---,---,---,---,---,0,0
104/10/07,20000,9.31,10.50,9.21,10.50,+0.86,15,190350
104/10/08,2000,9.54,10.20,9.54,10.20,-0.30,2,19740
104/10/12,0,---,---,---,---,---,0,0
104/10/13,0,---,---,---,---,---,0,0
104/10/14,1,---,---,---,---,---,1,9
