富旺,	6219
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,36000,18.30,18.30,18.15,18.25,+0.10,25,655700
104/01/06,557000,18.60,19.30,18.45,18.50,+0.25,208,10472250
104/01/07,153000,18.50,18.70,18.30,18.40,-0.10,88,2823500
104/01/08,338000,18.60,18.60,17.95,18.00,-0.40,115,6114100
104/01/09,298422,18.15,18.15,17.45,17.50,-0.50,132,5272791
104/01/12,268827,17.70,17.80,17.40,17.40,-0.10,104,4711757
104/01/13,57263,17.75,17.75,17.30,17.35,-0.05,38,998352
104/01/14,79000,17.40,17.55,17.25,17.55,+0.20,34,1371150
104/01/15,87000,17.55,17.60,17.30,17.30,-0.25,48,1516000
104/01/16,72000,17.30,17.50,17.20,17.20,-0.10,41,1244900
104/01/19,141280,17.20,17.30,17.00,17.20,0.00,64,2409138
104/01/20,58561,17.20,17.40,17.05,17.05,-0.15,35,1003658
104/01/21,85000,17.20,17.25,17.05,17.15,+0.10,27,1455700
104/01/22,108100,17.20,17.35,17.20,17.20,+0.05,41,1865870
104/01/23,510296,17.45,17.50,17.00,17.00,-0.20,141,8753182
104/01/26,1904256,18.15,18.15,17.80,18.15,+1.15,556,34514695
104/01/27,882204,18.30,18.45,17.80,17.85,-0.30,367,16032372
104/01/28,374280,17.50,17.95,17.50,17.60,-0.25,162,6611055
104/01/29,235000,17.60,18.00,17.60,17.90,+0.30,100,4195600
104/01/30,90248,18.00,18.00,17.70,17.75,-0.15,49,1610464
104/02/02,77500,17.85,17.85,17.55,17.55,-0.20,43,1365799
104/02/03,104000,17.55,17.75,17.55,17.60,+0.05,50,1831600
104/02/04,132420,17.60,17.65,17.40,17.50,-0.10,72,2324357
104/02/05,190955,17.50,17.60,17.35,17.60,+0.10,80,3340912
104/02/06,112701,17.60,17.60,17.35,17.60,0.00,39,1970817
104/02/09,61000,17.70,17.70,17.45,17.45,-0.15,37,1070100
104/02/10,104348,17.45,17.50,17.40,17.45,0.00,42,1821120
104/02/11,178200,17.70,17.90,17.45,17.45,0.00,82,3132970
104/02/12,208000,17.65,17.70,17.45,17.60,+0.15,66,3652200
104/02/13,339000,17.80,18.10,17.70,18.00,+0.40,134,6067450
104/02/24,254260,18.35,18.35,17.80,18.05,+0.05,111,4598455
104/02/25,143139,18.10,18.10,17.95,18.05,0.00,41,2577982
104/02/26,297403,18.05,18.10,17.80,17.90,-0.15,64,5341143
104/03/02,192000,17.90,18.00,17.70,17.70,-0.20,65,3416100
104/03/03,106000,17.80,17.80,17.70,17.70,0.00,44,1879300
104/03/04,32300,17.70,17.80,17.70,17.80,+0.10,21,573990
104/03/05,124999,17.90,17.90,17.80,17.90,+0.10,51,2229180
104/03/06,256021,17.90,17.90,17.55,17.70,-0.20,76,4526238
104/03/09,109000,17.70,17.90,17.65,17.80,+0.10,34,1936450
104/03/10,118020,17.85,18.10,17.80,17.90,+0.10,62,2115508
104/03/11,129654,17.95,17.95,17.80,17.80,-0.10,64,2311608
104/03/12,337270,17.95,18.45,17.95,18.05,+0.25,136,6118041
104/03/13,308021,18.10,18.20,17.90,18.00,-0.05,101,5561430
104/03/16,324000,18.20,18.20,18.05,18.05,+0.05,101,5870650
104/03/17,850001,18.30,18.65,18.25,18.55,+0.50,305,15738869
104/03/18,515608,18.50,18.60,18.20,18.30,-0.25,171,9488414
104/03/19,246100,18.30,18.35,18.20,18.20,-0.10,82,4487535
104/03/20,205499,18.50,18.50,18.25,18.30,+0.10,72,3754756
104/03/23,407489,18.50,18.75,18.50,18.60,+0.30,187,7586095
104/03/24,395230,18.75,18.90,18.60,18.85,+0.25,171,7412684
104/03/25,897726,19.00,19.20,18.90,19.15,+0.30,299,17109065
104/03/26,402400,19.20,19.20,18.85,19.00,-0.15,137,7643359
104/03/27,385118,19.00,19.05,18.80,18.90,-0.10,137,7288265
104/03/30,463909,19.50,19.50,18.95,19.00,+0.10,193,8858821
104/03/31,441450,19.00,19.10,18.80,18.90,-0.10,136,8322036
104/04/01,132623,18.90,18.90,18.70,18.85,-0.05,64,2491681
104/04/02,234252,18.75,19.05,18.75,19.05,+0.20,101,4440438
104/04/07,259221,19.10,19.10,19.00,19.10,+0.05,120,4940619
104/04/08,143380,19.10,19.20,18.85,18.90,-0.20,83,2718240
104/04/09,250000,19.05,19.10,18.75,18.95,+0.05,114,4721800
104/04/10,399101,19.00,19.10,18.65,18.85,-0.10,145,7486153
104/04/13,434000,18.95,19.00,18.50,18.70,-0.15,182,8093550
104/04/14,215101,18.80,18.80,18.60,18.70,0.00,91,4022693
104/04/15,279100,18.80,18.80,18.40,18.50,-0.20,110,5169005
104/04/16,360058,18.70,18.70,18.35,18.35,-0.15,131,6626116
104/04/17,60112,18.40,18.50,18.35,18.50,+0.15,43,1107210
104/04/20,179000,18.50,18.50,18.30,18.40,-0.10,93,3287850
104/04/21,129000,18.45,18.55,18.05,18.25,-0.15,70,2352800
104/04/22,138073,18.30,18.30,18.15,18.20,-0.05,72,2512778
104/04/23,128188,18.20,18.40,18.15,18.20,0.00,61,2341739
104/04/24,174345,18.15,18.35,18.15,18.25,+0.05,75,3177761
104/04/27,189217,18.25,18.30,18.20,18.30,+0.05,63,3448060
104/04/28,297252,18.35,18.70,18.35,18.50,+0.20,86,5479536
104/04/29,182000,18.50,18.65,18.40,18.40,-0.10,65,3362800
104/04/30,21000,18.50,18.50,18.35,18.35,-0.05,20,386800
104/05/04,171687,18.35,18.50,18.20,18.30,-0.05,52,3141502
104/05/05,97088,18.20,18.35,18.20,18.30,0.00,47,1774560
104/05/06,233273,18.20,18.35,18.15,18.35,+0.05,81,4263508
104/05/07,248239,18.30,18.50,18.25,18.50,+0.15,75,4554909
104/05/08,860300,18.50,19.10,18.50,18.60,+0.10,272,16246975
104/05/11,475000,18.55,18.55,17.90,18.05,-0.55,214,8606500
104/05/12,75000,18.05,18.05,17.85,18.05,0.00,47,1343900
104/05/13,97710,18.00,18.20,17.95,18.00,-0.05,59,1759362
104/05/14,141001,18.00,18.05,17.80,18.00,0.00,67,2520018
104/05/15,92082,18.05,18.05,17.85,17.95,-0.05,35,1651284
104/05/18,138000,17.95,18.00,17.75,17.90,-0.05,56,2463450
104/05/19,115255,18.00,18.00,17.85,17.90,0.00,52,2061022
104/05/20,130047,17.90,18.00,17.85,17.85,-0.05,48,2327588
104/05/21,99500,17.85,17.85,17.70,17.85,0.00,56,1770849
104/05/22,111766,17.85,17.90,17.80,17.90,+0.05,52,1994834
104/05/25,156121,17.90,18.00,17.85,17.95,+0.05,59,2800624
104/05/26,229234,18.00,18.00,17.90,17.90,-0.05,98,4114973
104/05/27,177027,17.90,17.95,17.80,17.95,+0.05,73,3167299
104/05/28,281739,18.00,18.05,17.90,17.95,0.00,130,5061364
104/05/29,338108,18.00,18.00,17.90,17.95,0.00,105,6058302
104/06/01,383000,17.95,18.05,17.85,17.85,-0.10,143,6877550
104/06/02,358000,17.85,17.90,17.70,17.80,-0.05,158,6382800
104/06/03,641809,17.80,17.95,17.70,17.95,+0.15,277,11446880
104/06/04,529500,14.70,14.70,14.00,14.05,,271,7530749
104/06/05,149300,14.05,14.20,14.00,14.05,0.00,75,2097800
104/06/08,156055,14.10,14.10,13.30,13.60,-0.45,89,2123692
104/06/09,334022,13.65,13.65,12.55,12.55,-1.05,121,4367778
104/06/10,196000,12.00,13.15,12.00,13.15,+0.60,93,2485700
104/06/11,77822,13.30,13.30,12.85,12.85,-0.30,49,1012024
104/06/12,56559,12.90,13.10,12.75,12.75,-0.10,31,732643
104/06/15,72052,13.10,13.25,12.80,12.90,+0.15,43,929670
104/06/16,99009,12.85,12.90,12.35,12.45,-0.45,35,1247062
104/06/17,102330,12.50,12.65,12.35,12.45,0.00,41,1274307
104/06/18,300000,12.55,12.70,12.55,12.65,+0.20,42,3781900
104/06/22,188200,12.70,12.80,12.40,12.40,-0.25,62,2359349
104/06/23,110000,12.60,12.60,12.30,12.30,-0.10,48,1356100
104/06/24,32308,12.40,12.40,12.25,12.25,-0.05,25,396922
104/06/25,125072,12.25,12.30,12.10,12.20,-0.05,58,1522935
104/06/26,61038,12.20,12.25,12.05,12.20,0.00,33,742117
