勝麗,	6238
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1212672,39.30,41.05,39.00,41.05,+2.65,579,48895835
104/01/06,2396920,41.55,42.80,40.05,40.05,-1.00,1464,99681900
104/01/07,2091867,39.40,42.85,39.20,42.05,+2.00,1072,87668474
104/01/08,736931,42.05,42.05,40.50,41.20,-0.85,503,30399757
104/01/09,602110,41.50,42.50,40.05,40.05,-1.15,413,24765027
104/01/12,826403,41.00,42.85,40.70,42.85,+2.80,382,35060167
104/01/13,2401558,43.30,45.65,43.10,45.30,+2.45,1418,106224710
104/01/14,1649951,45.15,47.30,44.20,45.20,-0.10,1136,75481246
104/01/15,820526,45.40,46.80,45.10,45.40,+0.20,600,37682597
104/01/16,915689,44.95,46.30,42.60,43.50,-1.90,591,40849794
104/01/19,753500,45.00,45.80,44.05,44.05,+0.55,488,33782023
104/01/20,319000,44.50,45.45,44.50,45.10,+1.05,238,14336250
104/01/21,1174546,45.90,47.90,45.60,46.00,+0.90,788,54767269
104/01/22,523000,46.00,46.65,45.40,45.70,-0.30,397,24021100
104/01/23,285000,46.10,46.60,45.50,45.70,0.00,197,13074700
104/01/26,623703,45.60,45.70,43.50,43.60,-2.10,424,27518237
104/01/27,448005,43.60,44.30,43.50,43.50,-0.10,244,19579616
104/01/28,410150,43.50,45.30,43.50,44.20,+0.70,300,18267850
104/01/29,464066,44.30,44.30,41.60,42.00,-2.20,340,19819458
104/01/30,613605,42.00,42.95,40.10,40.90,-1.10,398,25362512
104/02/02,335765,41.00,42.15,41.00,41.65,+0.75,224,13978907
104/02/03,204001,41.70,41.80,41.15,41.50,-0.15,125,8453491
104/02/04,188715,42.00,42.85,41.75,41.75,+0.25,136,7928105
104/02/05,369626,41.75,41.75,40.10,40.60,-1.15,195,15047982
104/02/06,231000,40.60,41.55,40.15,40.70,+0.10,118,9422300
104/02/09,491554,42.80,43.15,41.50,42.35,+1.65,285,20858778
104/02/10,186565,42.35,42.70,41.60,42.10,-0.25,111,7829723
104/02/11,927588,45.00,45.00,43.50,45.00,+2.90,476,41410660
104/02/12,2370467,46.00,48.00,45.40,47.45,+2.45,1416,110748913
104/02/13,1588772,48.00,49.40,46.55,47.50,+0.05,1045,76509286
104/02/24,775406,48.40,49.00,47.10,47.50,0.00,529,37288454
104/02/25,462490,48.00,48.40,47.00,47.00,-0.50,312,22063352
104/02/26,507000,47.00,48.00,45.80,46.10,-0.90,339,23594300
104/03/02,792000,46.10,48.80,46.10,48.35,+2.25,515,37742900
