互動,	6486
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,2232136,50.30,53.30,49.90,52.20,+2.90,1457,116249184
107/06/04,1186215,52.90,54.00,50.90,51.30,-0.90,838,61867672
107/06/05,634100,51.60,52.60,51.30,51.40,+0.10,410,32860209
107/06/06,426042,52.00,52.00,50.80,51.00,-0.40,284,21878650
107/06/07,450140,50.50,50.60,49.60,49.80,-1.20,310,22512672
107/06/08,295134,49.80,50.10,48.90,49.10,-0.70,199,14547242
107/06/11,129000,49.30,49.30,48.60,49.00,-0.10,106,6321650
107/06/12,230000,49.10,49.90,49.10,49.50,+0.50,117,11363700
107/06/13,135100,49.50,49.90,49.50,49.65,+0.15,107,6712115
107/06/14,1758305,50.10,53.40,49.30,53.00,+3.35,1135,91238365
107/06/15,5966415,54.00,56.10,52.30,52.30,-0.70,3789,324747104
107/06/19,641550,51.80,52.20,50.60,50.70,-1.60,461,32883160
107/06/20,637400,50.70,52.80,50.30,51.70,+1.00,490,32917879
107/06/21,328004,52.00,52.20,51.00,51.00,-0.70,243,16831308
107/06/22,292000,50.50,50.70,50.00,50.30,-0.70,226,14678100
107/06/25,287100,51.20,51.20,50.20,50.30,0.00,215,14519420
107/06/26,282150,50.00,50.00,49.20,49.60,-0.70,215,13952605
107/06/27,298000,49.70,49.80,49.00,49.35,-0.25,198,14690250
107/06/28,144000,49.35,49.45,48.95,49.20,-0.15,111,7091150
107/06/29,135000,49.50,50.50,49.30,49.75,+0.55,118,6718500
107/07/02,173000,49.75,49.75,49.25,49.25,-0.50,131,8547500
107/07/03,204000,49.50,49.50,48.40,48.40,-0.85,167,9974950
107/07/04,117000,48.00,48.65,48.00,48.40,0.00,86,5651950
107/07/05,141000,48.90,48.90,48.20,48.20,-0.20,98,6850000
107/07/06,193001,48.20,48.85,47.50,48.05,-0.15,137,9261698
107/07/09,159001,48.00,49.00,48.00,48.30,+0.25,103,7693199
107/07/10,310254,48.50,48.85,48.05,48.50,+0.20,197,15024944
107/07/11,179006,43.60,45.05,43.60,44.60,,139,7958629
107/07/12,118139,44.60,45.40,44.60,45.00,+0.40,74,5311255
107/07/13,102000,45.10,45.25,44.80,44.95,-0.05,78,4587950
107/07/16,54000,45.65,45.65,45.00,45.40,+0.45,41,2442450
107/07/17,127000,45.00,45.30,44.60,44.75,-0.65,85,5698700
107/07/18,155000,44.50,45.50,44.50,45.30,+0.55,122,6995300
107/07/19,70310,45.15,45.15,44.80,44.85,-0.45,60,3164753
107/07/20,152000,44.85,45.15,44.70,44.85,0.00,80,6826500
107/07/23,147000,44.85,45.10,44.10,44.45,-0.40,107,6549250
107/07/24,64000,44.45,45.30,44.45,45.05,+0.60,40,2875350
107/07/25,80000,44.80,44.90,44.50,44.90,-0.15,44,3574500
107/07/26,115000,45.00,45.80,45.00,45.60,+0.70,87,5222950
107/07/27,153000,46.00,46.00,45.45,45.55,-0.05,78,6984800
107/07/30,66000,45.70,45.70,45.25,45.25,-0.30,53,2994400
107/07/31,65000,45.25,45.25,44.70,44.90,-0.35,49,2918150
107/08/01,22000,44.90,45.30,44.90,45.15,+0.25,20,995100
107/08/02,127000,45.75,45.75,44.75,44.80,-0.35,61,5723100
107/08/03,71000,45.00,45.30,44.60,44.80,0.00,41,3176150
107/08/06,44000,44.60,44.85,44.60,44.70,-0.10,35,1966850
107/08/07,81000,44.70,44.70,44.50,44.60,-0.10,42,3607700
107/08/08,73258,44.60,44.90,44.55,44.65,+0.05,44,3278584
107/08/09,27000,44.60,45.00,44.60,44.65,0.00,17,1206100
107/08/10,142105,44.30,44.30,43.75,44.15,-0.50,88,6247980
107/08/13,308000,44.10,44.10,42.25,42.35,-1.80,161,13159250
107/08/14,49000,42.50,42.85,42.50,42.55,+0.20,35,2084800
107/08/15,87095,42.55,42.55,42.20,42.20,-0.35,45,3691885
107/08/16,85405,42.10,42.35,41.95,42.20,0.00,48,3592515
107/08/17,89000,42.50,42.50,42.00,42.00,-0.20,39,3762150
107/08/20,104350,42.00,42.10,41.95,42.00,0.00,60,4384150
107/08/21,37000,42.00,42.15,41.95,42.00,0.00,25,1553500
107/08/22,31000,42.05,42.05,41.95,42.00,0.00,28,1302400
107/08/23,61000,42.05,42.05,41.90,41.95,-0.05,38,2559500
107/08/24,48249,41.90,42.00,41.90,42.00,+0.05,36,2022520
107/08/27,388000,42.00,42.20,42.00,42.15,+0.15,29,16353000
107/08/28,45000,42.10,42.60,42.00,42.10,-0.05,25,1896100
107/08/29,52000,42.10,42.80,42.10,42.70,+0.60,44,2218200
107/08/30,44000,42.70,42.70,42.30,42.70,0.00,32,1870850
107/08/31,54000,42.80,42.80,42.30,42.70,0.00,28,2295600
107/09/03,88000,42.30,42.70,42.30,42.40,-0.30,60,3735650
107/09/04,214080,42.40,42.40,41.40,41.65,-0.75,116,8969408
107/09/05,81000,41.55,41.65,41.50,41.50,-0.15,42,3364150
107/09/06,126000,41.45,41.65,41.20,41.30,-0.20,60,5214650
107/09/07,454250,41.15,41.15,39.80,40.65,-0.65,185,18340600
107/09/10,276156,40.85,41.40,37.90,40.70,+0.05,195,11032453
107/09/18,70730,44.50,47.20,44.50,45.65,-2.75,85,3279400
107/09/19,42400,45.30,46.40,45.20,45.60,-0.05,45,1942540
107/09/20,34700,46.00,46.00,45.30,45.30,-0.30,50,1578250
107/09/21,22400,45.40,45.55,45.00,45.00,-0.30,26,1013300
107/09/25,76360,44.15,44.50,43.00,43.80,-1.20,85,3349096
107/09/26,26208,44.50,44.50,43.70,44.10,+0.30,42,1151266
107/09/27,35800,43.90,43.90,43.80,43.85,-0.25,33,1570650
107/09/28,15068,43.85,43.85,43.70,43.70,-0.15,28,659921
107/10/01,44520,43.80,43.80,43.45,43.45,-0.25,43,1941894
107/10/02,35804,43.45,44.00,43.30,43.65,+0.20,33,1555193
107/10/03,38000,43.40,43.50,43.20,43.20,-0.45,35,1646049
107/10/04,20700,43.20,43.50,43.05,43.30,+0.10,22,893370
107/10/05,104090,43.20,43.20,42.00,42.10,-1.20,77,4422630
107/10/08,46924,42.20,42.30,42.20,42.20,+0.10,47,1981508
107/10/09,133300,42.20,42.40,42.00,42.00,-0.20,76,5630000
107/10/11,567450,40.90,40.90,37.80,37.85,-4.15,240,21589780
107/10/12,50200,40.00,40.00,38.00,38.35,+0.50,44,1927518
107/10/15,95901,42.15,42.15,40.05,41.45,+3.10,92,3953618
107/10/16,50535,40.15,41.60,40.15,40.50,-0.95,54,2062115
107/10/17,36364,40.60,41.00,40.40,40.40,-0.10,37,1480654
107/10/18,31045,40.10,40.20,39.80,39.80,-0.60,27,1240626
107/10/19,30876,38.25,39.65,38.25,38.70,-1.10,34,1197648
107/10/22,1600,38.80,38.80,38.80,38.80,+0.10,3,62080
107/10/23,11499,38.50,38.50,38.50,38.50,-0.30,16,442711
107/10/24,23600,38.50,40.50,38.50,40.50,+2.00,29,932987
107/10/25,34000,38.60,38.70,38.00,38.10,-2.40,32,1303900
107/10/26,56200,37.50,38.20,37.50,37.85,-0.25,40,2123280
107/10/29,83000,35.20,37.80,35.20,37.80,-0.05,50,3039450
107/10/30,51140,37.00,37.00,36.80,36.80,-1.00,36,1890202
107/10/31,30210,37.65,38.00,37.60,37.60,+0.80,31,1137925
107/11/01,8500,37.40,37.90,37.30,37.90,+0.30,19,319697
107/11/02,32830,38.50,38.90,38.10,38.90,+1.00,31,1262596
107/11/08,8700,39.50,40.20,39.50,39.70,+0.20,14,345790
107/11/09,14600,39.40,39.40,39.30,39.35,-0.35,17,574730
107/11/12,50026,42.30,42.30,40.30,40.30,+0.95,54,2043789
107/11/16,33800,40.60,41.05,40.60,41.00,+0.70,35,1382540
