是方,	6561
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/05,3203031,214.00,216.00,204.00,204.00,+34.00,2464,672620448
107/06/06,1731926,204.50,211.50,201.00,210.00,+6.00,1395,360158886
107/06/07,1533005,210.50,220.00,210.50,220.00,+10.00,1264,328560630
107/06/08,1236436,222.00,227.50,220.00,221.00,+1.00,1098,275928006
107/06/11,794100,220.00,220.00,212.50,213.50,-7.50,660,170748900
107/06/12,551913,213.00,213.00,208.00,209.00,-4.50,469,115660317
107/06/13,376780,207.00,214.50,207.00,210.00,+1.00,330,79355080
107/06/14,411460,209.00,209.00,205.00,205.00,-5.00,336,84882260
107/06/15,321825,204.00,208.00,202.00,206.00,+1.00,273,65747862
107/06/19,175060,204.50,205.00,202.50,203.00,-3.00,158,35648740
107/06/20,208183,202.50,205.00,202.00,204.00,+1.00,192,42269422
107/06/21,132010,204.50,204.50,202.00,202.50,-1.50,135,26762522
107/06/22,255100,201.00,201.00,197.00,197.50,-5.00,250,50638800
107/06/25,406601,198.00,198.00,190.00,190.00,-7.50,365,78480690
107/06/26,357725,186.50,186.50,181.00,185.00,-5.00,317,65975984
107/06/27,263780,186.50,195.00,186.00,190.00,+5.00,241,50331200
107/06/28,135007,186.50,189.00,185.00,186.00,-4.00,126,25195823
107/06/29,136070,186.00,189.00,185.50,187.00,+1.00,124,25499300
107/07/02,64500,187.00,189.00,186.00,186.00,-1.00,69,12098749
107/07/03,133700,186.00,187.00,185.00,185.50,-0.50,121,24881200
107/07/04,316000,187.00,202.00,186.50,192.00,+6.50,279,61537000
107/07/05,215100,194.00,199.00,190.00,192.00,0.00,197,41752700
107/07/06,137130,195.50,195.50,191.00,194.50,+2.50,139,26468525
107/07/09,193200,197.00,198.00,194.00,196.50,+2.00,166,37909299
107/07/10,781743,199.00,208.00,198.00,208.00,+11.50,683,159947801
107/07/11,415400,207.50,209.00,203.50,205.50,-2.50,363,85726100
107/07/12,550685,208.00,212.00,207.00,209.00,+3.50,481,115421980
107/07/13,348670,211.00,212.00,206.00,207.00,-2.00,322,73016023
107/07/16,365220,209.00,212.50,206.00,211.00,+4.00,320,76823090
107/07/17,244420,213.00,213.00,209.00,210.50,-0.50,218,51579990
107/07/18,216600,211.50,212.50,206.50,207.00,-3.50,204,45294100
107/07/19,144745,207.50,208.00,204.50,205.50,-1.50,123,29757094
107/07/20,451260,207.00,214.50,205.50,212.00,+6.50,414,95403600
107/07/23,268230,212.00,212.50,204.50,206.50,-5.50,242,55625993
107/07/24,447135,206.50,216.00,206.00,209.50,+3.00,376,94804647
107/07/25,239138,211.00,215.00,210.00,210.50,+1.00,219,50636911
107/07/26,201687,212.00,212.00,210.00,211.00,+0.50,173,42473113
107/07/27,886812,212.00,217.50,211.50,215.50,+4.50,636,190685672
107/07/30,421370,212.00,214.00,208.00,208.50,,376,88611830
107/07/31,237495,207.00,208.50,205.00,206.00,-2.50,216,48983717
107/08/01,178141,207.00,208.00,203.50,204.00,-2.00,163,36521475
107/08/02,325190,204.00,204.50,197.00,198.00,-6.00,286,64800070
107/08/03,149210,200.00,200.00,196.00,197.00,-1.00,136,29433105
107/08/06,141200,200.00,203.00,198.00,201.00,+4.00,131,28303400
107/08/07,60010,201.50,201.50,199.00,199.00,-2.00,53,11979010
107/08/08,72000,201.50,201.50,199.00,199.00,0.00,58,14386500
107/08/09,90000,199.00,200.00,199.00,199.00,0.00,83,17945000
107/08/10,98250,200.50,201.00,199.50,200.50,+1.50,103,19690250
107/08/13,285190,200.50,200.50,191.00,192.50,-8.00,272,55642930
107/08/14,180315,195.00,199.50,193.00,198.00,+5.50,160,35296500
107/08/15,108000,200.00,200.00,193.50,193.50,-4.50,103,21118000
107/08/16,141300,192.50,197.00,190.50,197.00,+3.50,130,27435400
107/08/17,248050,198.00,201.50,198.00,198.50,+1.50,217,49514050
107/08/20,110001,199.50,199.50,193.00,195.00,-3.50,92,21535698
107/08/21,65455,196.00,196.00,193.00,193.50,-1.50,62,12669495
107/08/22,63130,194.50,194.50,192.50,192.50,-1.00,61,12205655
107/08/23,106135,195.00,197.00,193.00,194.00,+1.50,82,20653527
107/08/24,30010,195.00,195.00,193.50,194.00,0.00,26,5826450
107/08/27,33055,195.00,195.50,194.00,194.50,+0.50,28,6433835
107/08/28,51200,196.50,196.50,194.50,194.50,0.00,44,9981400
107/08/29,127001,194.50,195.00,191.00,191.00,-3.50,117,24432693
107/08/30,108670,191.00,192.50,191.00,192.50,+1.50,88,20805470
107/08/31,34280,191.50,192.50,191.00,192.50,0.00,36,6580760
