朋億,	6613
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,53000,183.00,184.00,182.50,183.00,+0.50,48,9707000
107/06/04,244300,183.00,189.00,183.00,188.00,+5.00,205,45497400
107/06/05,157345,188.50,188.50,185.00,185.50,-2.50,140,29282496
107/06/06,94000,186.00,186.50,185.00,185.50,0.00,87,17441000
107/06/07,251593,187.50,187.50,184.00,186.00,+0.50,201,46668298
107/06/08,107623,186.00,186.00,184.50,185.00,-1.00,98,19923755
107/06/11,217082,189.00,190.00,187.00,187.50,+2.50,198,40895080
107/06/12,209945,189.00,190.50,185.00,186.00,-1.50,178,39306270
107/06/13,105704,186.50,186.50,183.50,183.50,-2.50,100,19506387
107/06/14,78179,183.50,185.00,183.50,183.50,0.00,66,14377025
107/06/15,54255,183.50,184.50,183.50,184.00,+0.50,54,9983047
107/06/19,160057,185.50,185.50,181.50,181.50,-2.50,154,29269845
107/06/20,163004,182.00,184.50,181.50,182.50,+1.00,136,29845736
107/06/21,116729,184.00,185.00,183.00,184.50,+2.00,102,21522907
107/06/22,115627,185.50,185.50,183.00,184.00,-0.50,96,21312427
107/06/25,248318,185.00,186.50,183.00,183.50,-0.50,221,45783512
107/06/26,154173,172.00,173.50,171.00,173.00,,151,26618514
107/06/27,66200,174.50,175.50,173.50,173.50,+0.50,63,11532399
107/06/28,59020,173.50,173.50,172.00,172.00,-1.50,64,10177400
107/06/29,97110,173.00,176.50,172.50,175.50,+3.50,91,17019860
