天正國際,	6654
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/10/23,1319900,74.50,74.60,73.00,74.10,+0.50,805,97565500
107/10/24,876155,75.00,76.90,74.30,75.00,+0.90,677,66104733
107/10/25,549145,68.00,72.80,68.00,72.00,-3.00,450,38526579
107/10/26,302607,72.00,73.20,69.80,71.80,-0.20,240,21588650
107/10/29,209928,71.00,71.50,68.00,68.30,-3.50,189,14550780
107/10/30,318517,68.30,68.40,63.50,64.80,-3.50,268,20845038
107/10/31,421960,65.30,69.60,65.30,69.50,+4.70,306,28607228
107/11/01,408200,69.40,71.20,67.00,71.00,+1.50,300,28461660
107/11/02,756403,74.00,74.80,70.70,74.70,+3.70,579,55502178
107/11/08,267001,74.50,74.90,72.70,72.90,-1.10,178,19648272
107/11/09,562149,70.20,74.40,69.10,73.20,+0.30,339,40138862
107/11/12,220845,71.60,71.70,70.20,71.00,-2.20,181,15660902
107/11/16,143050,71.50,71.60,70.60,71.00,+0.60,109,10186285
107/11/19,74100,71.40,71.40,69.90,69.90,-1.10,69,5202650
107/11/20,67000,69.40,69.80,68.70,69.50,-0.40,59,4651700
107/11/21,64000,69.50,69.70,69.00,69.70,+0.20,57,4444700
107/11/22,90210,70.00,70.50,69.50,70.00,+0.30,85,6314842
107/11/23,80000,70.90,70.90,68.90,68.90,-1.10,76,5568100
107/11/26,94000,68.90,70.00,68.20,68.90,0.00,68,6461400
107/11/27,81505,68.90,70.00,68.60,70.00,+1.10,73,5656996
107/11/28,137350,70.40,70.40,69.20,70.00,0.00,125,9597490
107/11/29,123050,70.40,70.80,69.80,70.20,+0.20,111,8642610
107/11/30,103260,70.20,70.20,68.80,69.50,-0.70,89,7189270
107/12/03,366200,70.70,74.80,70.60,72.80,+3.30,306,26644160
107/12/04,320850,72.40,72.70,70.20,70.80,-2.00,248,22863855
107/12/05,121150,69.30,70.20,68.70,69.60,-1.20,107,8415440
107/12/06,227700,69.60,70.00,66.20,67.00,-2.60,191,15325500
107/12/07,65063,68.70,68.70,66.50,67.00,0.00,63,4370246
107/12/10,87226,65.10,67.40,65.10,65.70,-1.30,78,5731203
107/12/11,68000,66.40,67.40,66.40,66.70,+1.00,63,4548800
107/12/12,102000,67.50,67.50,66.70,67.20,+0.50,84,6840800
107/12/13,102381,67.20,67.70,66.80,67.10,-0.10,90,6878365
107/12/14,84170,67.10,67.10,66.50,66.80,-0.30,65,5624421
107/12/17,50507,67.40,67.40,66.10,66.80,0.00,42,3359112
107/12/18,78231,66.20,66.60,65.50,65.60,-1.20,68,5162853
107/12/19,52230,66.50,66.50,65.20,65.50,-0.10,43,3433765
107/12/20,103053,65.50,65.50,63.70,64.00,-1.50,86,6631292
107/12/21,73300,63.70,64.00,63.50,63.60,-0.40,73,4667879
107/12/22,64000,63.90,64.00,63.50,63.60,0.00,47,4079000
107/12/24,40200,63.60,64.20,63.50,63.70,+0.10,35,2563860
107/12/25,71100,62.60,63.50,61.00,62.00,-1.70,57,4421460
107/12/26,107150,61.80,62.50,60.30,60.30,-1.70,93,6562144
107/12/27,104000,62.00,62.70,60.90,61.00,+0.70,77,6353800
107/12/28,74100,61.30,61.60,60.70,61.20,+0.20,44,4523080
108/01/02,183000,63.40,63.40,61.40,61.60,+0.40,127,11356500
108/01/03,171190,61.60,62.60,61.30,62.40,+0.80,101,10636080
108/01/04,86960,61.40,61.60,60.60,61.50,-0.90,68,5312344
108/01/07,103000,61.80,61.90,61.20,61.60,+0.10,77,6331200
108/01/08,37220,61.50,61.50,60.80,61.10,-0.50,32,2276242
108/01/09,116000,61.10,62.70,61.10,62.20,+1.10,91,7194000
108/01/10,54380,62.10,62.60,61.70,61.70,-0.50,50,3377397
108/01/11,66400,62.10,62.30,61.20,61.60,-0.10,57,4099540
108/01/14,82012,61.60,61.60,60.70,60.80,-0.80,62,4997030
108/01/15,58000,60.50,61.40,60.50,61.10,+0.30,44,3532500
108/01/16,132926,61.10,62.10,61.00,61.80,+0.70,119,8202168
108/01/17,673600,62.00,67.80,62.00,67.00,+5.20,490,43896840
108/01/18,275201,66.00,66.20,64.00,64.60,-2.40,217,17932444
108/01/21,111000,64.90,65.50,64.30,64.90,+0.30,95,7189100
108/01/22,89572,64.90,65.10,64.00,64.80,-0.10,68,5770708
108/01/23,88049,64.70,64.70,64.00,64.20,-0.60,72,5656350
108/01/28,63075,63.90,64.60,63.70,63.70,+0.10,61,4050022
108/01/29,49110,64.50,64.50,63.00,63.30,-0.40,46,3117352
108/01/30,23060,63.30,63.40,62.90,63.40,+0.10,23,1458380
