應廣,	6716
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
109/03/27,830000,49.50,50.10,48.10,48.25,+6.25,543,40736150
109/03/30,432000,45.55,46.95,44.50,45.60,-2.65,325,19596650
109/03/31,194000,46.10,48.50,45.40,46.70,+1.10,164,9073950
109/04/01,178000,46.70,47.40,45.65,45.80,-0.90,137,8216400
109/04/06,190000,46.40,47.50,45.10,47.00,+1.20,168,8767850
109/04/07,180150,47.50,48.15,46.55,47.20,+0.20,131,8505600
109/04/08,371000,48.50,51.90,48.50,51.90,+4.70,204,18916400
109/04/09,1004100,55.00,57.00,52.50,57.00,+5.10,635,55541000
109/04/10,1102999,58.60,62.70,58.20,60.80,+3.80,792,67146237
109/04/13,600591,60.80,61.50,59.00,59.50,-1.30,435,36185526
109/04/14,665516,60.00,65.40,59.50,65.40,+5.90,467,42150445
109/04/15,1163170,71.90,71.90,63.10,69.40,+4.00,879,80751130
109/04/16,630762,67.50,69.50,65.30,67.80,-1.60,532,42365461
109/04/17,1212150,69.50,74.50,66.10,74.50,+6.70,858,85121074
109/04/20,822650,72.00,77.40,70.50,74.50,0.00,629,59673767
109/04/21,663650,73.00,73.30,70.00,70.00,-4.50,488,47297005
109/04/22,573140,65.50,72.40,64.10,72.00,+2.00,473,39537452
109/04/23,454026,72.00,73.50,70.80,71.60,-0.40,354,32694563
109/04/24,442328,70.50,74.20,70.30,72.70,+1.10,347,31987914
109/04/27,335481,72.80,73.40,71.20,71.50,-1.20,242,24121751
109/04/28,362435,72.90,72.90,69.80,71.00,-0.50,292,25863653
109/04/29,347200,72.50,74.00,70.80,71.00,0.00,281,25024460
109/04/30,342120,71.10,71.80,67.00,69.00,-2.00,265,23962980
109/05/04,209000,66.60,68.50,66.30,66.90,-2.10,176,14057700
109/05/05,213300,66.00,68.50,66.00,67.50,+0.60,175,14259849
109/05/06,380200,66.60,72.50,66.60,70.00,+2.50,338,26540220
109/05/07,683160,71.60,77.00,70.00,77.00,+7.00,512,50598820
109/05/08,748170,81.00,84.70,80.00,84.70,+7.70,503,62289399
109/05/11,915614,86.40,86.40,76.30,79.30,-5.40,697,72538988
109/05/12,423382,77.50,77.60,73.20,76.40,-2.90,369,31999583
109/05/13,303218,74.00,77.00,74.00,76.00,-0.40,238,22833389
109/05/14,258200,74.60,75.00,72.00,72.00,-4.00,209,19006540
109/05/15,220088,72.00,73.10,69.00,70.40,-1.60,198,15554838
109/05/18,459547,71.20,75.90,71.00,75.00,+4.60,353,34184344
109/05/19,323204,75.00,77.00,72.10,76.00,+1.00,266,24137302
109/05/20,155134,75.90,76.90,74.50,74.80,-1.20,138,11673017
109/05/21,153020,74.20,75.50,73.70,74.60,-0.20,133,11398194
109/05/22,276150,74.20,74.20,69.10,70.50,-4.10,230,19814089
109/05/25,151400,70.00,71.00,69.60,70.50,0.00,127,10636600
109/05/26,75000,71.00,71.00,70.30,70.50,0.00,68,5306300
109/05/27,435270,70.50,77.50,70.00,77.50,+7.00,341,32846524
109/05/28,322047,76.80,76.90,72.40,73.20,-4.30,280,24153887
109/05/29,179150,73.90,76.90,72.80,75.50,+2.30,159,13499765
