博晟生醫,	6733
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
110/01/28,2846601,30.85,32.50,29.95,31.20,+3.20,2049,89136463
110/01/29,1731815,30.60,31.35,29.00,29.00,-2.20,1168,51848523
110/02/01,1380258,28.50,28.70,27.30,28.05,-0.95,605,38415217
110/02/02,360991,28.10,29.00,28.10,28.40,+0.35,262,10280924
110/02/03,620396,28.50,30.50,28.00,29.10,+0.70,427,18172743
110/02/04,341824,28.85,29.00,28.35,28.80,-0.30,206,9803026
110/02/05,251669,28.85,28.85,28.30,28.40,-0.40,195,7154698
110/02/17,521324,26.45,28.20,26.10,27.75,-0.65,317,14252656
110/02/18,457496,27.80,29.50,27.75,29.35,+1.60,332,13240380
110/02/19,382337,29.35,29.60,28.70,29.20,-0.15,218,11117373
110/02/22,1291805,29.50,32.10,29.30,32.10,+2.90,693,40769740
110/02/23,1378223,32.20,33.90,31.60,31.70,-0.40,902,44663946
110/02/24,388852,31.55,31.55,30.20,30.95,-0.75,289,11966259
110/02/25,324415,31.05,31.20,30.60,30.70,-0.25,159,9990942
110/02/26,197173,30.45,30.65,30.30,30.65,-0.05,129,5995701
110/03/02,222000,31.45,31.45,30.00,30.00,-0.65,151,6776594
110/03/03,169330,30.50,30.50,29.20,29.90,-0.10,115,5041550
110/03/04,161934,30.00,30.00,29.20,29.35,-0.55,109,4762510
110/03/05,125252,29.35,29.85,29.05,29.70,+0.35,83,3694084
110/03/08,199227,29.70,29.90,29.00,29.40,-0.30,124,5861146
110/03/09,152213,29.60,29.85,29.20,29.45,+0.05,104,4474433
110/03/10,378177,29.45,31.00,29.30,31.00,+1.55,270,11380661
110/03/11,659999,32.00,32.80,31.60,31.70,+0.70,431,21135635
110/03/12,232374,31.70,31.70,30.65,31.05,-0.65,167,7230538
110/03/15,265542,31.05,31.50,30.85,31.05,0.00,139,8269037
110/03/16,156400,31.05,31.50,31.00,31.05,0.00,110,4859900
110/03/17,201472,31.00,31.40,31.00,31.05,0.00,129,6267691
110/03/18,262815,31.40,31.40,30.95,31.00,-0.05,169,8174598
110/03/19,183437,31.00,31.20,30.25,30.50,-0.50,132,5641582
110/03/22,233000,30.60,30.60,30.00,30.05,-0.45,132,7021000
110/03/23,152200,30.10,31.00,30.00,30.15,+0.10,99,4613050
110/03/24,213053,30.20,30.50,30.05,30.50,+0.35,127,6435860
110/03/25,190100,30.80,30.95,30.10,30.10,-0.40,140,5766599
110/03/26,195500,30.15,30.55,30.00,30.05,-0.05,127,5881755
110/03/29,447420,31.15,31.95,30.40,31.10,+1.05,317,13959064
110/03/30,332081,32.00,32.00,30.85,31.00,-0.10,200,10361780
110/03/31,131519,30.50,31.00,30.50,30.55,-0.45,114,4029840
110/04/01,189637,30.50,30.55,30.20,30.30,-0.25,137,5756312
110/04/06,362020,30.50,30.55,29.90,30.00,-0.30,211,10891956
110/04/07,226000,30.10,30.80,30.00,30.50,+0.50,137,6848250
110/04/08,337000,30.80,31.30,30.60,30.80,+0.30,224,10406470
110/04/09,216200,31.25,31.25,30.45,30.90,+0.10,164,6636300
110/04/12,2368709,32.00,33.95,31.25,33.95,+3.05,1125,78252670
110/04/13,1597990,34.00,34.10,31.30,31.40,-2.55,841,52206998
110/04/14,441947,31.15,32.00,30.10,30.85,-0.55,284,13758838
110/04/15,219496,31.65,31.65,30.90,31.25,+0.40,141,6880899
110/04/16,219655,31.25,31.75,30.95,31.10,-0.15,136,6837213
110/04/19,212585,31.10,31.50,30.90,31.30,+0.20,129,6632638
110/04/20,203410,31.40,31.70,31.30,31.40,+0.10,147,6396573
110/04/21,362850,31.50,32.65,31.50,31.70,+0.30,248,11613827
110/04/22,381126,31.90,32.40,30.75,31.10,-0.60,235,11993166
110/04/23,154700,31.20,31.20,30.80,30.95,-0.15,110,4788982
110/04/26,392750,30.95,30.95,30.40,30.45,-0.50,242,11997618
110/04/27,223059,30.50,30.90,30.25,30.35,-0.10,132,6807737
110/04/28,224120,30.25,30.65,30.25,30.25,-0.10,133,6798131
110/04/29,313294,30.50,30.50,30.20,30.30,+0.05,191,9508550
