佑華,	8024
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,27900,15.55,15.70,15.50,15.55,0.00,24,435909
104/01/06,16088,15.50,15.55,15.25,15.55,0.00,15,246813
104/01/07,14026,15.80,15.80,15.40,15.40,-0.15,16,219001
104/01/08,59003,15.45,15.45,15.30,15.45,+0.05,30,907945
104/01/09,25800,15.60,15.60,15.20,15.30,-0.15,29,394609
104/01/12,43200,15.10,15.20,15.00,15.20,-0.10,35,651808
104/01/13,29010,15.05,15.25,15.05,15.25,+0.05,20,437750
104/01/14,12006,15.20,15.25,15.10,15.15,-0.10,17,181940
104/01/15,17002,15.10,15.25,15.10,15.25,+0.10,13,257280
104/01/16,14400,15.25,15.60,15.25,15.50,+0.25,15,221958
104/01/19,37980,15.25,15.40,15.10,15.40,-0.10,37,576986
104/01/20,32159,15.35,15.40,15.25,15.40,0.00,36,494275
104/01/21,22519,15.30,15.40,15.25,15.30,-0.10,27,344810
104/01/22,47181,15.40,15.65,15.25,15.25,-0.05,28,722351
104/01/23,68300,15.35,15.35,15.05,15.20,-0.05,39,1035326
104/01/26,48351,15.10,15.25,15.10,15.10,-0.10,23,734049
104/01/27,14006,15.20,15.25,15.20,15.25,+0.15,14,213540
104/01/28,79004,15.15,15.30,15.05,15.10,-0.15,33,1194110
104/01/29,17198,15.10,15.20,15.05,15.15,+0.05,18,259788
104/01/30,15002,15.15,15.20,15.15,15.15,0.00,10,227330
104/02/02,47005,15.10,15.15,15.05,15.15,0.00,15,709625
104/02/03,67005,15.15,15.35,15.15,15.35,+0.20,31,1023375
104/02/04,24100,15.35,15.35,15.20,15.20,-0.15,18,367769
104/02/05,10004,15.15,15.30,15.10,15.30,+0.10,7,151310
104/02/06,33014,15.15,15.30,15.05,15.30,0.00,24,498663
104/02/09,19006,15.30,15.30,15.05,15.25,-0.05,15,288090
104/02/10,20015,15.15,15.20,15.10,15.20,-0.05,22,302876
104/02/11,28700,15.20,15.20,15.10,15.15,-0.05,51,433850
104/02/12,13800,15.00,15.20,15.00,15.15,0.00,19,207500
104/02/13,127900,15.10,15.25,15.10,15.10,-0.05,32,1934000
104/02/24,25013,15.10,15.10,15.05,15.05,-0.05,21,377545
104/02/25,11687,15.10,15.10,15.05,15.05,0.00,18,176255
104/02/26,53100,15.10,15.45,15.10,15.35,+0.30,56,811360
104/03/02,23836,15.35,15.45,15.30,15.35,0.00,45,365250
104/03/03,13400,15.25,15.35,15.25,15.30,-0.05,16,204478
104/03/04,17896,15.20,15.20,15.15,15.15,-0.15,23,271790
104/03/05,6016,15.30,15.45,15.30,15.40,+0.25,20,92441
104/03/06,7024,15.40,15.45,15.25,15.45,+0.05,30,108010
104/03/09,27034,15.45,15.45,15.25,15.25,-0.20,42,414312
104/03/10,24008,15.10,15.25,15.10,15.10,-0.15,17,363570
104/03/11,39700,15.10,15.60,15.05,15.35,+0.25,49,602101
104/03/12,52880,15.25,15.25,15.10,15.20,-0.15,41,799250
104/03/13,4131,15.20,15.25,15.20,15.25,+0.05,28,62836
104/03/16,51900,15.20,15.20,15.05,15.20,-0.05,62,783486
104/03/17,36025,15.20,15.20,15.05,15.10,-0.10,43,543426
104/03/18,21925,15.10,15.30,15.00,15.30,+0.20,27,331607
104/03/19,43700,15.15,15.30,15.10,15.10,-0.20,42,662750
104/03/20,32900,15.10,15.15,15.05,15.05,-0.05,37,495442
