福華,	8085
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1521340,9.09,9.72,9.08,9.72,+0.63,404,14474122
104/01/06,1332211,9.60,9.92,9.60,9.70,-0.02,387,13012063
104/01/07,636046,9.70,9.75,9.51,9.58,-0.12,220,6108156
104/01/08,649502,9.60,9.60,9.16,9.27,-0.31,212,6098176
104/01/09,263269,9.30,9.50,9.27,9.27,0.00,120,2459024
104/01/12,671194,9.27,9.39,9.00,9.25,-0.02,211,6149764
104/01/13,363911,9.25,9.25,9.00,9.14,-0.11,182,3301054
104/01/14,527206,9.14,9.23,9.01,9.18,+0.04,175,4777279
104/01/15,157258,9.25,9.25,9.05,9.20,+0.02,78,1436776
104/01/16,3942133,9.29,9.84,9.24,9.83,+0.63,774,38322967
104/01/19,3172149,9.86,10.45,9.86,10.30,+0.47,812,32512840
104/01/20,1993202,10.30,10.45,10.00,10.25,-0.05,465,20338359
104/01/21,1688745,10.50,10.75,10.25,10.50,+0.25,418,17626543
104/01/22,3041491,10.45,11.00,10.35,11.00,+0.50,581,32432997
104/01/23,2860374,11.00,11.10,10.30,10.70,-0.30,556,30904897
104/01/26,702520,10.60,10.60,10.30,10.40,-0.30,207,7321878
104/01/27,2577060,10.40,10.60,10.05,10.60,+0.20,412,26475628
104/01/28,1430997,10.25,10.50,10.25,10.45,-0.15,264,14904165
104/01/29,624504,10.45,10.60,10.25,10.45,0.00,182,6501488
104/01/30,1045427,10.45,10.60,10.35,10.45,0.00,183,10997289
104/02/02,596869,10.45,10.55,10.10,10.20,-0.25,166,6105732
104/02/03,1301030,10.10,10.20,9.90,10.20,0.00,368,12987642
104/02/04,444279,10.00,10.20,10.00,10.15,-0.05,133,4481417
104/02/05,261601,10.15,10.20,10.00,10.15,0.00,87,2634315
104/02/06,551386,10.15,10.30,9.94,10.10,-0.05,158,5541536
104/02/09,553006,10.05,10.10,9.88,10.00,-0.10,129,5502460
104/02/10,233210,10.00,10.00,9.86,9.98,-0.02,65,2323561
104/02/11,469006,9.98,10.50,9.93,10.00,+0.02,177,4716805
104/02/12,204185,9.98,10.10,9.96,10.00,0.00,80,2038681
104/02/13,551990,10.10,10.25,10.10,10.20,+0.20,158,5612348
104/02/24,2859699,10.20,10.90,10.15,10.65,+0.45,423,29734100
104/02/25,1079418,10.65,10.75,10.60,10.65,0.00,256,11512424
104/02/26,957270,10.60,10.75,10.55,10.60,-0.05,200,10145530
104/03/02,673031,10.60,10.70,10.55,10.55,-0.05,168,7141915
104/03/03,513212,10.50,10.65,10.45,10.50,-0.05,146,5393011
104/03/04,1441144,10.50,10.50,10.20,10.40,-0.10,241,14926229
104/03/05,975440,10.25,10.60,10.25,10.60,+0.20,232,10240365
104/03/06,7459466,10.60,11.30,10.60,11.30,+0.70,885,83061214
104/03/09,10222156,11.60,11.90,11.10,11.65,+0.35,2086,118275546
104/03/10,5002406,11.55,11.60,10.85,10.85,-0.80,1116,55095745
104/03/11,4321224,10.20,10.70,10.10,10.65,-0.20,1016,44278708
104/03/12,2744016,10.45,10.75,10.30,10.40,-0.25,564,28947610
104/03/13,2218629,10.10,10.35,9.98,9.99,-0.41,643,22405205
104/03/16,1100425,10.00,10.25,10.00,10.00,+0.01,303,11118300
104/03/17,724455,10.10,10.15,10.00,10.05,+0.05,198,7297271
104/03/18,537500,10.05,10.20,10.00,10.10,+0.05,166,5437550
104/03/19,758864,10.10,10.20,10.00,10.05,-0.05,203,7645190
104/03/20,763486,10.00,10.45,10.00,10.40,+0.35,271,7824047
104/03/23,1609366,10.55,10.85,10.50,10.55,+0.15,468,17224723
104/03/24,675485,10.55,10.70,10.40,10.50,-0.05,180,7072135
104/03/25,748190,10.40,10.70,10.35,10.50,0.00,201,7891378
104/03/26,378496,10.50,10.60,10.40,10.40,-0.10,146,3952427
104/03/27,498020,10.40,10.55,10.30,10.40,0.00,139,5185050
104/03/30,1128969,10.40,10.40,10.00,10.20,-0.20,369,11427742
104/03/31,424218,10.35,10.40,10.10,10.15,-0.05,242,4326584
104/04/01,344060,10.15,10.20,10.05,10.20,+0.05,152,3477051
104/04/02,268584,10.15,10.25,10.10,10.20,0.00,188,2737811
104/04/07,396557,10.30,10.40,10.15,10.30,+0.10,333,4050731
104/04/08,753445,10.20,10.25,10.05,10.25,-0.05,205,7660166
104/04/09,423085,10.20,10.25,10.05,10.15,-0.10,172,4287506
104/04/10,759446,10.15,10.50,10.15,10.45,+0.30,300,7855271
104/04/13,743357,10.50,10.60,10.45,10.45,0.00,302,7803473
104/04/14,1071343,10.45,10.70,10.35,10.50,+0.05,310,11264904
104/04/15,577851,10.45,10.50,10.35,10.50,0.00,206,6019420
104/04/16,438428,10.50,10.50,10.40,10.40,-0.10,124,4579077
104/04/17,818003,10.40,10.50,10.35,10.40,0.00,143,8514980
104/04/20,303223,10.45,10.45,10.30,10.35,-0.05,114,3137643
104/04/21,1148103,10.40,11.00,10.40,10.45,+0.10,358,12284785
104/04/22,828600,10.45,10.75,10.40,10.50,+0.05,150,8719988
104/04/23,415206,10.50,10.55,10.40,10.40,-0.10,142,4344228
104/04/24,1339002,10.50,10.50,10.15,10.20,-0.20,260,13745867
104/04/27,845261,10.20,10.30,10.10,10.15,-0.05,164,8593684
104/04/28,785474,10.20,10.25,10.00,10.10,-0.05,163,7933162
104/04/29,159749,10.25,10.30,10.10,10.10,0.00,84,1623776
104/04/30,799699,10.10,10.15,10.00,10.05,-0.05,189,8029472
104/05/04,417604,10.20,10.20,9.99,10.10,+0.05,122,4204680
104/05/05,436181,10.10,10.10,9.99,10.05,-0.05,133,4374040
104/05/06,346278,10.00,10.15,10.00,10.05,0.00,112,3487330
104/05/07,249697,10.10,10.15,10.00,10.15,+0.10,88,2518188
104/05/08,295303,10.20,10.20,10.00,10.10,-0.05,86,2983030
104/05/11,775120,10.20,10.20,9.99,10.10,0.00,162,7830430
104/05/12,489156,10.05,10.10,9.98,10.00,-0.10,127,4900940
104/05/13,321074,10.00,10.00,9.98,9.99,-0.01,106,3208412
104/05/14,263619,10.00,10.00,9.98,10.00,+0.01,98,2634372
104/05/15,280003,10.00,10.00,9.95,9.95,-0.05,89,2793507
104/05/18,242025,9.95,10.15,9.80,9.93,-0.02,122,2398947
104/05/19,489728,9.93,9.93,9.25,9.89,-0.04,261,4729629
104/05/20,758150,9.88,9.88,9.25,9.88,-0.01,236,7267533
104/05/21,386318,9.85,9.87,9.65,9.87,-0.01,139,3777815
104/05/22,321254,9.87,9.87,9.60,9.86,-0.01,125,3117168
104/05/25,282001,9.70,9.95,9.70,9.86,0.00,89,2771209
104/05/26,188457,9.86,10.15,9.80,10.10,+0.24,98,1884380
104/05/27,1370071,10.10,10.75,10.00,10.30,+0.20,373,14359426
104/05/28,397684,10.25,10.45,10.20,10.20,-0.10,150,4073241
104/05/29,396512,10.30,10.50,10.20,10.20,0.00,129,4102320
104/06/01,265051,10.25,10.60,10.25,10.40,+0.20,115,2768925
104/06/02,207150,10.40,10.40,10.20,10.40,0.00,89,2133993
104/06/03,335248,10.40,10.50,10.25,10.35,-0.05,82,3477153
104/06/04,995134,10.30,10.60,10.10,10.25,-0.10,182,10209716
104/06/05,518000,10.25,10.40,9.98,10.15,-0.10,165,5212170
104/06/08,364768,10.00,10.15,10.00,10.15,0.00,90,3658956
104/06/09,431500,10.05,10.05,9.71,9.90,-0.25,134,4268750
104/06/10,157583,9.90,10.00,9.82,9.90,0.00,63,1559271
104/06/11,114000,9.88,9.90,9.85,9.88,-0.02,39,1125740
104/06/12,194001,9.82,9.85,9.66,9.85,-0.03,89,1890989
104/06/15,468080,9.70,9.84,9.03,9.80,-0.05,188,4427316
104/06/16,390180,9.80,9.85,9.54,9.71,-0.09,164,3779725
104/06/17,208661,9.70,9.80,9.60,9.78,+0.07,109,2023767
104/06/18,1433045,9.94,10.50,9.83,10.35,+0.57,405,14796198
104/06/22,774499,10.40,10.40,9.71,10.10,-0.25,244,7736730
104/06/23,262163,10.00,10.05,9.81,10.00,-0.10,78,2616635
104/06/24,145030,10.00,10.00,9.83,9.88,-0.12,56,1432202
104/06/25,440781,10.00,10.00,9.63,9.63,-0.25,157,4277417
104/06/26,1063401,9.62,9.62,9.10,9.23,-0.40,295,9830800
104/06/29,471001,9.10,9.23,8.88,9.00,-0.23,112,4220299
104/06/30,308709,8.90,9.29,8.90,9.14,+0.14,115,2814489
104/07/01,214091,9.10,9.29,9.09,9.12,-0.02,69,1953468
104/07/02,538679,9.20,9.20,8.80,9.08,-0.04,180,4817721
104/07/03,131060,9.09,9.09,8.82,9.08,0.00,60,1180821
104/07/06,156851,9.15,9.15,8.96,9.06,-0.02,58,1420409
104/07/07,184092,9.10,9.10,8.99,9.07,+0.01,49,1661928
104/07/08,285000,9.07,9.07,8.52,8.99,-0.08,110,2507620
104/07/09,394540,8.95,9.16,8.70,9.16,+0.17,113,3496139
