華宏,	8240
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,48048,32.80,32.80,32.50,32.70,-0.10,38,1569319
104/01/06,88000,32.50,32.70,32.05,32.60,-0.10,59,2844100
104/01/07,78203,32.50,32.70,32.35,32.70,+0.10,44,2549867
104/01/08,992004,32.80,34.95,32.80,34.85,+2.15,517,34006187
104/01/09,1079758,35.15,36.20,34.30,35.70,+0.85,613,38244959
104/01/12,480517,35.80,36.15,35.00,35.60,-0.10,298,17125774
104/01/13,198300,35.70,35.80,35.05,35.05,-0.55,126,6999455
104/01/14,175705,35.10,35.20,34.80,35.10,+0.05,116,6159704
104/01/15,186407,35.00,35.20,34.55,34.60,-0.50,122,6486577
104/01/16,174432,34.60,35.00,33.85,35.00,+0.40,108,6017083
104/01/19,69009,35.00,35.40,34.50,34.60,-0.40,55,2405808
104/01/20,74622,34.60,34.70,34.30,34.65,+0.05,53,2577750
104/01/21,118000,34.75,34.80,33.90,34.05,-0.60,80,4026050
104/01/22,132000,34.50,34.50,34.05,34.25,+0.20,58,4527250
104/01/23,95207,34.25,34.40,34.20,34.20,-0.05,55,3264688
104/01/26,101488,33.90,34.40,33.80,34.00,-0.20,72,3454115
104/01/27,97660,34.00,34.10,33.70,33.70,-0.30,75,3312039
104/01/28,58110,33.75,34.40,33.75,34.25,+0.55,51,1984723
104/01/29,74929,34.10,34.50,33.95,34.00,-0.25,50,2559706
104/01/30,74059,34.00,34.25,33.80,34.25,+0.25,51,2513606
104/02/02,77141,34.10,34.50,33.75,33.90,-0.35,55,2627887
104/02/03,67691,34.05,34.10,33.80,33.80,-0.10,50,2293766
104/02/04,57050,33.80,33.95,33.60,33.70,-0.10,42,1927875
104/02/05,113705,33.60,33.75,33.35,33.35,-0.35,78,3806910
104/02/06,164108,33.35,33.35,33.05,33.10,-0.25,86,5442246
104/02/09,92215,33.10,33.20,33.00,33.00,-0.10,57,3048445
104/02/10,152039,33.00,33.00,32.50,32.65,-0.35,95,4978929
104/02/11,53206,32.65,32.95,32.65,32.75,+0.10,34,1744946
104/02/12,68000,32.65,32.90,32.55,32.85,+0.10,29,2219600
104/02/13,79103,32.70,33.05,32.65,32.95,+0.10,46,2600388
