明揚,	8420
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,52000,16.95,17.10,16.80,17.10,+0.15,30,882150
104/01/06,62000,16.90,16.90,16.65,16.80,-0.30,38,1037550
104/01/07,59000,16.70,16.95,16.70,16.70,-0.10,32,990200
104/01/08,97000,16.85,16.95,16.70,16.85,+0.15,44,1633850
104/01/09,32000,16.85,16.85,16.75,16.75,-0.10,21,536900
104/01/12,46000,16.70,16.70,16.55,16.55,-0.20,25,764600
104/01/13,19018,16.55,16.80,16.55,16.70,+0.15,15,317300
104/01/14,33331,16.80,16.85,16.55,16.75,+0.05,29,556044
104/01/15,18262,16.75,16.80,16.60,16.75,0.00,15,306088
104/01/16,35000,16.75,16.75,16.50,16.50,-0.25,22,581000
104/01/19,60000,16.55,16.70,16.45,16.45,-0.05,24,994050
104/01/20,29990,16.70,16.70,16.45,16.60,+0.15,29,495635
104/01/21,436000,16.70,17.75,16.70,17.75,+1.15,270,7601350
104/01/22,648103,18.90,18.90,17.75,17.80,+0.05,417,11922273
104/01/23,178349,17.30,17.95,17.30,17.35,-0.45,117,3123970
104/01/26,93419,17.30,17.80,17.30,17.80,+0.45,64,1654074
104/01/27,80000,17.35,18.00,17.35,17.85,+0.05,54,1413750
104/01/28,106017,17.35,17.80,17.35,17.35,-0.50,44,1844647
104/01/29,52000,17.35,17.70,17.35,17.40,+0.05,30,906400
104/01/30,54000,17.45,17.65,17.40,17.40,0.00,27,942250
104/02/02,59002,17.50,17.50,17.00,17.00,-0.40,36,1017884
104/02/03,130000,17.00,17.65,16.70,17.65,+0.65,70,2231950
104/02/04,91160,16.85,17.45,16.85,16.85,-0.80,60,1546320
104/02/05,60419,16.50,16.90,16.50,16.90,+0.05,28,1001597
104/02/06,25000,16.90,16.90,16.60,16.60,-0.30,14,420400
104/02/09,54000,16.60,16.60,16.50,16.50,-0.10,27,894400
104/02/10,44018,16.50,16.70,16.50,16.55,+0.05,26,730249
104/02/11,66574,16.55,16.60,16.35,16.35,-0.20,35,1098327
104/02/12,69000,16.40,16.40,16.05,16.20,-0.15,30,1119550
104/02/13,75000,16.20,16.50,16.05,16.50,+0.30,36,1213500
104/02/24,43000,16.50,16.60,16.30,16.60,+0.10,24,705000
104/02/25,44000,16.40,16.60,16.40,16.60,0.00,19,724400
104/02/26,32000,16.45,16.55,16.40,16.55,-0.05,13,526100
104/03/02,15000,16.55,16.60,16.45,16.50,-0.05,12,247700
104/03/03,13000,16.50,16.60,16.50,16.50,0.00,11,215000
