江申            ,	1525
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,243004,227375,15629,21467,-5838,60813,49001,0.71,49001,49001,692454
2013 Q2,284837,251687,33150,21885,11265,74334,65081,0.94,114082,114082,692454
2013 Q3,333540,297256,36284,22786,13498,90096,97943,1.41,212025,212025,692454
2013 Q4,1226363,1098329,128034,97284,30750,333710,297441,4.30,297441,297441,692454
2014 Q1,244487,228041,16446,23831,-7385,87915,72957,1.05,72957,72957,692454
2014 Q2,297384,265575,31809,24207,7602,86456,76321,1.10,149278,149278,692454
2014 Q3,297703,259186,38517,31185,7332,78632,83745,1.21,233023,233023,692454
2014 Q4,1185714,1052469,133245,110580,22665,333639,319590,4.62,319590,319590,692454
2015 Q1,286592,257140,29452,23976,5476,87900,90863,1.31,90863,90863,692454
2015 Q2,322684,284680,38004,23165,14839,95993,85993,1.24,176856,176856,692454
2015 Q3,300601,271457,29144,23470,5674,94684,94519,1.36,271375,271375,692454
