榮化            ,	1704
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,12855808,12025436,830372,679793,150579,489182,334583,0.63,539024,-204441,8532424
2013 Q2,12406939,11716611,690328,595439,94889,-516665,-659858,-0.18,389327,-714602,8532424
2013 Q3,12194579,11798386,396193,645278,-249085,309256,-74280,0.18,546576,-946131,8532424
2013 Q4,49838862,47784153,2054709,2656857,-602148,-397006,-1745554,-0.26,-224887,-1520667,8532424
2014 Q1,11619627,11462498,157129,646335,-489206,63650,-456572,-0.27,-229955,-226617,8532424
2014 Q2,12536060,12533039,3021,747666,-744645,-10330143,-11062251,-8.93,-7845924,-3672899,8532424
2014 Q3,10178823,9747339,431484,611054,-179570,-730275,-913606,-0.01,-7850406,-4582023,8529594
2014 Q4,41980225,41080472,899753,2581229,-1681476,-11472141,-13158889,-9.76,-8327416,-4831473,8529594
2015 Q1,7490076,7085063,405013,539711,-134698,365569,197016,0.38,323424,-126408,8529594
2015 Q2,9101992,7896865,1205127,499588,705539,-69312,513103,0.70,917592,-207473,8529594
2015 Q3,10059033,8511465,1547568,652642,894926,6966573,7743772,9.08,8661523,-207632,8529594
