永記            ,	1726
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,2061544,1524362,537182,244286,294846,90424,319340,2.02,1620000
2013 Q2,1939101,1444077,495024,232185,264284,-1022,182817,1.12,1620000
2013 Q3,1983672,1444799,538873,250395,288741,4788,254043,1.58,1620000
2013 Q4,8146688,5955886,2190802,1051684,1139118,120401,1015397,6.33,1620000
2014 Q1,2009469,1415414,594055,223039,374204,-28259,256711,1.58,1620000
2014 Q2,2060124,1476964,583160,263799,316173,11190,287109,1.78,1620000
2014 Q3,2051143,1501919,549224,265033,284191,1595,241935,1.49,1620000
2014 Q4,8302606,5956748,2345858,1041052,1304806,-63330,1035039,6.39,1620000
2015 Q1,2088232,1495586,592646,293980,299849,12385,216843,1.34,1620000
2015 Q2,1996131,1405933,590198,268567,320448,-241,234607,1.45,1620000
2015 Q3,1889246,1351026,538220,262933,275287,41504,266543,1.65,1620000
2015 Q4,8076116,5707528,2368588,1141623,1226965,2096,939854,5.80,1620000
