廣達            ,	2382
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,197515778,189516730,7999364,5428216,2571148,3435502,4641962,1.16,38503189
2013 Q2,191003771,182071230,8932321,6163954,2768367,2856187,4084926,1.05,38542584
2013 Q3,220317939,210438929,9878902,5489974,4388928,1763461,4801828,1.21,38553444
2013 Q4,880401954,843097495,37304424,24244750,13059674,11157723,19109547,4.84,38626274
2014 Q1,215869719,207127143,8742429,5853830,2888599,3261217,4851801,1.21,38626274
2014 Q2,214468525,203892557,10575629,6269594,4306035,1386543,4232203,1.06,38626274
2014 Q3,244332767,233336827,10996238,7352509,3643729,2484467,4762579,1.23,38626274
2014 Q4,926321307,884509540,41811205,27807750,14003455,10357610,19236020,4.90,38626274
2015 Q1,205193392,194769614,10423724,6694509,3729215,749128,3578131,0.95,38626274
2015 Q2,251009059,240037893,10969682,6511973,4457709,504938,3434423,0.88,38626274
2015 Q3,275897237,264128799,11769308,7247744,4521564,2588439,5741308,1.51,38626274
2015 Q4,1007257380,960828043,46427631,28147195,18280436,4423052,17749672,4.62,38626274
2016 Q1,197362829,187531601,9832350,6318379,3513971,818882,3645190,0.94,38626274
2016 Q2,207674826,196787573,10887123,6728060,4159063,879388,3574943,0.91,38626274
2016 Q3,223699397,211353284,12343321,6400687,5942634,-1016374,4012842,1.03,38626274
2016 Q4,893982294,847388606,46594261,27489007,19105254,1235321,15410434,3.93,38626274
2017 Q1,227915880,217130663,10786095,6110064,4676031,-733758,2836353,0.72,38626274
2017 Q2,235365006,224694920,10670040,6687714,3982326,1600958,4033348,1.03,38626274
2017 Q3,276183513,263814110,12369327,7535751,4833576,852323,3968743,1.04,38626274
2017 Q4,1021182900,975530673,45653186,28047221,17605965,2491127,14515762,3.73,38626274
2018 Q1,220927650,211685762,9242271,6306364,2935907,466905,2760558,0.71,38626274
2018 Q2,208226853,198961107,9265582,6846235,2419347,2288714,3524906,0.92,38626274
