浩鑫            ,	2405
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,3089707,2720927,368780,336865,31904,-8825,23819,0.07,3401313
2013 Q2,4029011,3469147,559864,363500,196518,1305,173131,0.51,3401313
2013 Q3,4891405,4318184,573221,410006,162386,885,146340,0.43,3521313
2013 Q4,16332832,14351484,1981348,1452563,529482,-19527,452960,1.38,3503603
2014 Q1,2126062,1772635,353427,315826,38678,-152994,-112880,-0.34,3491703
2014 Q2,1875582,1656575,219007,225397,-6390,1859,-33104,-0.09,3489593
2014 Q3,1493579,1317200,176379,294490,-116830,9458,-96160,-0.25,3489593
2014 Q4,6767795,5857724,910071,1047352,-135025,-125662,-255718,-0.71,3484733
2015 Q1,1170346,1016403,153943,257354,-103535,3642,-87315,-0.25,3484733
2015 Q2,1226019,1088881,137138,222708,-87400,486,-79250,-0.23,3483613
2015 Q3,1475586,1290097,185489,230901,-45045,10633,-34862,-0.10,3483413
2015 Q4,5027166,4342544,684622,937641,-254521,15446,-217060,-0.63,3483333
2016 Q1,887522,725369,162153,235461,-73308,9148,-59540,-0.17,3482273
2016 Q2,1056055,842875,213180,219797,-6540,-534,-9557,-0.03,3482273
2016 Q3,1424948,1179752,245196,201881,43315,9287,42254,0.12,3482273
2016 Q4,4188815,3367974,820841,812878,7963,-95772,-99289,-0.29,3482273
2017 Q1,967367,857663,109704,203605,-93901,265,-80595,-0.24,3454273
2017 Q2,1398204,1251752,146452,180886,-34434,85471,47791,0.15,3454273
2017 Q3,1253544,1103373,150171,183875,-33704,13141,-21873,-0.07,3454273
2017 Q4,4761143,4196966,564177,823015,-258838,98957,-150454,-0.46,3394273
