太空梭          ,	2440
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,410995,452137,-41142,57283,-98425,50376,-48764,-0.31,1391173
2013 Q2,596585,513345,83240,60002,23238,-47437,-25713,-0.17,1391173
2013 Q3,582569,547630,34939,64927,-29988,11866,-21177,-0.15,1391173
2013 Q4,2171502,2033135,138367,236624,-98257,19274,-84329,-0.55,1391173
2014 Q1,631612,584465,47147,47754,-607,-12725,-15595,-0.11,1391173
2014 Q2,631232,587040,44192,54867,-10675,4433,-7388,-0.05,1391173
2014 Q3,610057,568963,41094,56805,-15711,15781,-3211,-0.02,1391173
2014 Q4,2535812,2344105,191707,218384,-26677,26215,-11217,-0.08,1391173
2015 Q1,577148,524767,52381,60256,-7875,-3445,-11886,-0.09,1391173
2015 Q2,639728,572173,67555,49516,18039,2113,17707,0.13,1391173
2015 Q3,617272,572128,45144,54902,-9758,-2855,-15188,-0.11,1391173
2015 Q4,2440545,2237139,203406,219976,-16570,-2183,-24627,-0.18,1391173
