超豐            ,	2441
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,2089283,1704236,385047,84279,300768,28158,286339,0.52,5541249
2013 Q2,2308674,1763137,545537,101278,444259,11768,405426,0.73,5541249
2013 Q3,2380724,1793580,587144,104947,482197,5676,429679,0.78,5541249
2013 Q4,9192401,7011011,2181390,412834,1768556,65753,1615450,2.91,5688459
2014 Q1,2434245,1782823,651422,87188,564234,22872,517610,0.91,5688459
2014 Q2,2721249,1923306,797943,101434,696509,1559,616375,1.08,5688459
2014 Q3,2751740,1979252,772488,105518,666970,28667,611730,1.08,5688459
2014 Q4,10332739,7461237,2871502,404363,2467139,99980,2261274,3.98,5688459
2015 Q1,2331527,1677438,654089,97558,556531,3299,497273,0.87,5688459
2015 Q2,2393203,1721949,671254,103206,568048,3698,500958,0.88,5688459
2015 Q3,2299247,1680062,619185,103133,516052,52500,498962,0.88,5688459
2015 Q4,9540472,6948856,2591616,425288,2166328,82473,1975835,3.47,5688459
