神腦            ,	2450
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,11104614,9384029,1720585,1134899,584972,66230,545717,2.12,545717,545717,2572715
2013 Q2,10376750,8910140,1466610,1158802,306365,87072,306845,1.19,852562,852562,2577554
2013 Q3,10784571,9201594,1582977,1311377,270444,93884,310908,1.21,1163470,1163470,2577844
2013 Q4,42711163,36368280,6342883,4924193,1414340,311109,1429966,5.55,1429966,1429966,2579001
2014 Q1,10555843,9118471,1437372,1302027,132473,79261,182929,0.71,182929,182929,2582527
2014 Q2,10926719,9624585,1302134,1256215,40798,95989,104353,0.40,287282,287282,2582527
2014 Q3,9149974,7997328,1152646,1245252,-95152,89084,4222,0.02,291504,291504,2582527
2014 Q4,41351759,36098076,5253683,4938904,275290,366809,549963,2.13,549963,549963,2582527
2015 Q1,9114262,7939674,1174588,1092711,57428,94768,130503,0.51,130503,130503,2582527
2015 Q2,9070308,7863579,1206729,964149,234423,49438,236503,0.92,367006,367006,2582527
2015 Q3,8101845,7127189,974656,944171,5578,112503,107474,0.42,474418,62,2582527
2015 Q4,35558124,30923398,4634726,3953541,606001,329778,798548,3.17,803347,-4799,2582527
2016 Q1,8504683,7353938,1150745,928055,220197,72097,251697,1.02,252797,-1100,2582527
