創見            ,	2451
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,7051129,5747113,1304016,382344,921672,80300,869645,2.02,4307617
2013 Q2,5967805,4589080,1378725,420236,958489,195377,1003332,2.33,4307617
2013 Q3,6389192,5309842,1079350,392101,687249,42370,619740,1.44,4307617
2013 Q4,26122390,21201143,4921247,1569681,3351566,386578,3198957,7.43,4307617
2014 Q1,6794611,5467852,1326759,418905,907854,114375,900811,2.09,4307617
2014 Q2,6656660,5209111,1447549,440469,1007080,-18701,839975,1.95,4307617
2014 Q3,6791191,5339698,1451493,486734,964759,158755,966262,2.24,4307617
2014 Q4,27219495,21678630,5540865,1793577,3747288,653666,3735205,8.67,4307617
2015 Q1,6131745,4827011,1304734,376395,928339,13065,835851,1.94,4307617
2015 Q2,6024924,4925142,1099782,425767,674015,-107057,490994,1.14,4307617
2015 Q3,6087629,5025598,1062031,427138,634893,624970,1086170,2.52,4307617
2015 Q4,24913287,20211736,4701551,1649955,3051596,661632,3221902,7.48,4307617
2016 Q1,5648007,4392614,1255393,417494,837899,-151703,623398,1.45,4307617
2016 Q2,5332177,4204560,1127617,432498,695119,141660,763771,1.77,4307617
2016 Q3,5424919,4269213,1155706,391140,764566,-236417,474897,1.10,4307617
2016 Q4,22104915,17153222,4951693,1643948,3307745,-64378,2882637,6.69,4307617
2017 Q1,5689768,4076393,1613375,392919,1220456,-536660,574047,1.33,4307617
2017 Q2,4996479,3686268,1310211,380344,929867,64025,775610,1.80,4307617
2017 Q3,5460980,4092177,1368803,395141,973662,-82471,710431,1.65,4307617
2017 Q4,20964853,15438009,5526844,1529196,3997648,-685066,2655717,6.17,4307617
2018 Q1,4799564,3732456,1067108,373027,694081,-83300,478792,1.11,4307617
2018 Q2,4411721,3545674,866047,380409,485638,419855,723866,1.68,4307617
2018 Q3,4431313,3568865,862448,335955,526493,85825,488649,1.13,4307617
