強茂            ,	2481
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,2719755,2482920,236835,439507,-202672,-57715,-216150,-0.25,3719356
2013 Q2,3491173,3105224,385949,493610,-107661,-67288,-172747,-0.21,3719356
2013 Q3,3761719,3255862,505857,456617,49240,-115779,-63082,0.04,3719356
2013 Q4,13719574,11989802,1729772,1899830,-170058,-629179,-781000,-0.73,3719356
2014 Q1,3787359,3136049,651310,501687,149623,-102289,9245,0.20,3827269
2014 Q2,4828860,3903379,925481,556412,369069,-256500,44536,0.04,3856757
2014 Q3,4427178,3588109,839069,589098,249971,-89254,76181,0.25,3877162
2014 Q4,17330551,14172908,3157643,2220553,937090,-676170,-10002,0.28,3848355
2015 Q1,3849392,3134607,714785,544608,170177,-108433,-5671,0.18,3881580
2015 Q2,4486905,3681716,805189,591077,214112,-95334,60760,0.20,3889914
2015 Q3,3221549,2551905,669644,477319,192325,117948,152944,0.49,3889914
2015 Q4,14985061,11975722,3009339,2226068,783271,-72467,370627,1.20,3904482
2016 Q1,3165789,2445361,720428,480852,239576,69339,226062,0.50,3635988
2016 Q2,3385700,2755375,630325,468035,162290,48454,160861,0.37,3641485
2016 Q3,3082079,2452921,629158,418998,210160,25230,187185,0.40,3697944
2016 Q4,12867730,10271516,2596214,1810715,785499,178400,739233,1.66,3697944
2017 Q1,2892319,2258785,633534,429732,203802,40232,205613,0.34,3697944
2017 Q2,2845120,2227893,617227,405539,211688,124203,268806,0.55,3697944
2017 Q3,3069835,2324951,744884,436767,308117,121395,350718,0.74,3697944
2017 Q4,11894196,9236095,2658101,1715069,943032,-746794,-172616,-0.92,3697944
2018 Q1,2834257,2178737,655520,407475,248045,11182,213575,0.60,3697944
2018 Q2,2971732,2337854,633878,419246,214632,86027,256404,0.71,3697944
2018 Q3,3076292,2379820,696472,468717,227755,39047,211835,0.63,3697944
