太設            ,	2506
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,608916,328363,280553,287701,-7148,-31177,-50915,-0.14,4100000
2013 Q2,1522451,975905,546546,388364,158182,91620,200669,0.41,4100000
2013 Q3,483724,268072,215652,239472,-23820,-1912,-26591,-0.05,4100000
2013 Q4,3357187,1996702,1360485,1424480,-63995,891008,721762,1.76,4100000
2014 Q1,481846,231768,250078,206222,43856,-18621,19806,0.04,3970000
2014 Q2,641741,398657,243084,230672,12412,-18093,-85453,-0.25,3970000
2014 Q3,1457063,809605,647458,315177,332281,96512,362217,0.83,3870000
2014 Q4,3875117,2196631,1678486,1106708,550741,53437,400279,0.88,3870000
2015 Q1,745246,351672,393574,239095,154479,-19767,122302,0.31,3870000
2015 Q2,445804,199787,246017,208073,37944,20987,28189,0.04,3870000
2015 Q3,344226,130463,213763,214639,-876,82684,62943,0.05,3870000
2015 Q4,2087067,939619,1147448,978039,169409,100156,196756,0.32,3870000
2016 Q1,350435,105552,244883,202949,44621,6118,34987,0.05,3870000
2016 Q2,629217,203179,426038,260763,165275,-25182,85257,0.18,3870000
2016 Q3,526073,234632,291441,221302,70139,115256,159881,0.42,3870000
2016 Q4,2311461,1108012,1203449,997075,200178,86357,170253,0.33,3870000
2017 Q1,533527,257505,276022,192188,89463,11676,95045,0.24,3870000
2017 Q2,397631,200675,196956,198024,-1068,-19436,-32648,-0.13,3870000
2017 Q3,274219,106020,168199,201342,9320,102390,33079,0.01,3870000
2017 Q4,1563080,799601,763479,757029,53717,119581,66563,0.03,3870000
2018 Q1,185237,88663,96574,119369,-22795,8895,-20792,-0.07,3870000
