宏普            ,	2536
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,464122,241541,222581,77461,145120,-48196,86390,0.27,3191348
2013 Q2,409116,296377,112739,134419,-21680,-30296,-96950,-0.30,3194670
2013 Q3,831243,464887,366356,71431,294925,-33669,141968,0.44,3194670
2013 Q4,4005958,2317651,1688307,423296,1265011,-142411,883865,2.77,3199510
2014 Q1,1348676,847033,501643,44475,457168,-45977,371527,1.16,3199546
2014 Q2,458545,280654,177891,147870,30021,-32203,-16380,-0.05,3328087
2014 Q3,661897,299309,362588,81613,280975,-38208,220164,0.66,3328087
2014 Q4,4499980,2742152,1757828,399953,1357875,-121184,1138675,3.46,3328087
2015 Q1,2463025,1637863,825162,62553,762609,-13313,725497,2.18,3328087
2015 Q2,757762,477241,280521,66738,213783,-4251,165246,0.50,3328087
2015 Q3,1083040,692079,390961,34905,356056,-7090,333333,1.00,3328087
