皇昌            ,	2543
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,797789,764389,33400,30466,2934,-2471,463,0.01,1789837
2013 Q2,756256,724578,31678,36824,-5146,6385,1239,0.01,1789837
2013 Q3,785996,713266,72730,31805,40925,687,41612,0.27,1789837
2013 Q4,3598060,3415256,182804,130908,51896,202620,248012,1.47,1789837
2014 Q1,908483,865928,42555,28497,14058,10634,20615,0.11,1789837
2014 Q2,1094471,1039246,55225,24670,30555,25421,56487,0.26,2419837
2014 Q3,1652719,1502435,150284,33633,116651,17459,112412,0.45,2419837
2014 Q4,5474793,5072770,402023,111863,290160,59612,305914,1.31,2419837
2015 Q1,1437993,1345278,92715,27628,65087,2325,58234,0.21,2419837
2015 Q2,1482563,1389097,93466,86236,7230,33724,24888,0.09,2419837
2015 Q3,1365171,1270571,94600,27315,67285,-1369,54762,0.21,2419837
2015 Q4,5468908,5235125,233783,163399,70384,99299,136189,0.49,2419837
2016 Q1,1212272,1147607,64665,28475,36190,7348,39493,0.16,2419837
2016 Q2,1091648,1054264,37384,26260,11124,35205,33210,0.14,2419837
2016 Q3,1125180,1127767,-2587,30988,-33575,48777,20757,0.09,2419837
2016 Q4,4643975,4485628,158347,135414,22933,90996,107385,0.47,2419837
2017 Q1,1171967,1109329,62638,31825,30813,387,26310,0.11,2419837
2017 Q2,1096478,1061214,35264,36753,-1489,-15455,-17657,-0.06,2419837
2017 Q3,771009,745039,25970,37165,-11195,180,-10375,-0.03,2419837
2017 Q4,4010127,3844359,165768,140884,24884,-14115,3568,0.04,2419837
2018 Q1,907003,875128,31875,35359,-3484,8638,2572,0.03,2419837
2018 Q2,1302366,1250327,52039,35458,16581,-2918,9487,0.04,2419837
