華固            ,	2548
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,8214878,4914798,3300080,148903,3151177,27882,3129806,11.32,2768127
2013 Q2,205645,141558,64087,149414,-85327,-69,-111996,-0.40,2768127
2013 Q3,108277,71331,36946,119402,-82456,-4709,-86901,-0.31,2768127
2013 Q4,10269414,6370890,3898524,643821,3254703,70492,3130838,11.08,2768127
2014 Q1,392832,275129,117703,148993,-31290,-6945,-64170,-0.29,2768127
2014 Q2,328757,240343,88414,169274,-80860,-8369,-249307,-0.95,2768127
2014 Q3,711728,380368,331360,149651,181709,-12237,143376,0.51,2768127
2014 Q4,6441828,4066682,2375146,678949,1696197,18289,1438939,5.08,2768127
2015 Q1,2585117,1221630,1363487,160262,1203225,948,1169817,4.22,2768127
2015 Q2,1690567,798187,892380,154820,737560,2898,719666,2.60,2768127
2015 Q3,1087118,618478,468640,137632,331008,43222,363598,1.30,2768127
2015 Q4,7546149,4155130,3391019,668423,2722596,58193,2662058,9.59,2768127
2016 Q1,252661,174311,78350,93780,-15430,3768,-35078,-0.13,2768127
2016 Q2,802566,578401,224165,120252,103913,-27583,-37687,-0.16,2768127
2016 Q3,5099361,3571625,1527736,297977,1229759,57550,1134041,4.09,2768127
2016 Q4,11788987,8166053,3622934,821487,2801447,76845,2432795,8.73,2768127
2017 Q1,588877,409071,179806,105786,74020,50576,83358,0.27,2768127
2017 Q2,1281877,779799,502078,220127,281951,97477,258515,0.89,2768127
2017 Q3,7560326,5232611,2327715,435017,1892698,169249,1740117,6.27,2768127
2017 Q4,10375842,7184080,3191762,910840,2280922,422454,2202796,7.87,2768127
2018 Q1,756046,527738,228308,175924,52384,212704,212702,0.77,2768127
2018 Q2,1424278,923107,501171,154634,346537,52536,327589,1.18,2768127
2018 Q3,717511,537143,180368,113627,66741,10178,63417,0.22,2768127
