萬海            ,	2615
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,13869152,13121547,747605,837071,-89466,254735,113322,0.05,124886,-11564,22182975
2013 Q2,14776963,13489049,1287914,780934,506980,18883,438590,0.19,551784,128,22182975
2013 Q3,15712650,14191327,1521323,811396,709927,-310818,348487,0.15,881206,19193,22182975
2013 Q4,59688505,54204308,5484197,3257536,2226661,278103,2144182,0.96,2129108,15074,22182975
2014 Q1,14754387,13386889,1367498,904116,463382,300364,656568,0.30,655305,1263,22182975
2014 Q2,16656330,14206119,2450211,835451,1614760,-228228,1100418,0.49,1731733,25253,22182975
2014 Q3,17608270,14984799,2623471,911872,1711599,446743,1827924,0.82,3541951,42959,22182975
2014 Q4,66974244,57830591,9143653,3739151,5404502,1174691,5317594,2.37,5254074,63520,22182975
2015 Q1,17160678,13729357,3431321,1034900,2396421,82535,2075830,0.93,2073635,2195,22182975
2015 Q2,16497410,14213473,2283937,970036,1313901,186400,1088451,0.49,3159949,4332,22182975
2015 Q3,15272014,14199153,1072861,979211,93650,1758470,1051790,0.48,4215327,744,22182975
2015 Q4,63859142,55845773,8013369,3994846,4018523,1643046,3930645,1.78,3942909,-12264,22182975
2016 Q1,14053240,12819516,1233724,1029064,204660,-178428,15218,0.02,42998,-27780,22182975
