信邦            ,	3023
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,2322584,1816235,506349,332000,174349,8093,131885,0.64,2076709
2013 Q2,2695954,2134694,561260,374247,187013,35590,157470,0.80,2076709
2013 Q3,2895131,2283318,611813,410711,201102,92045,203740,1.02,2076709
2013 Q4,10555261,8287168,2268093,1535095,732998,134046,608426,3.20,2076709
2014 Q1,2741173,2144342,596831,376114,220717,54326,196328,0.97,2076709
2014 Q2,3019801,2363791,656010,372629,283381,31364,214802,1.06,2076709
2014 Q3,2989579,2340038,649541,391891,257650,32415,224911,1.09,2076709
2014 Q4,11642719,9112319,2530400,1579810,950590,92932,774947,3.82,2076709
2015 Q1,3006333,2331324,675009,409791,265218,54557,236981,1.15,2079563
2015 Q2,3135637,2434953,700684,391709,308975,42132,250081,1.21,2152625
2015 Q3,3228990,2496878,732112,436187,295925,124756,295939,1.38,2158298
2015 Q4,12111258,9389101,2722157,1655368,1066789,303220,954103,4.53,2176454
2016 Q1,3322654,2492665,829989,414934,415055,4617,305934,1.41,2179342
2016 Q2,3425032,2601449,823583,436506,387077,57252,311134,1.42,2244949
2016 Q3,3231544,2457300,774244,403642,370602,22793,296338,1.31,2246068
2016 Q4,12925843,9716741,3209102,1790898,1418204,178840,1161735,5.15,2254162
2017 Q1,3213901,2416950,796951,402319,394632,-15971,285108,1.25,2254162
2017 Q2,3331157,2479748,851409,484677,366732,108673,344467,1.51,2254162
2017 Q3,3506985,2631505,875480,440674,434806,26465,353724,1.56,2254162
2017 Q4,13061439,9781088,3280351,1887205,1393146,226398,1224088,5.44,2254162
2018 Q1,3486218,2610533,875685,535529,340156,-21097,271148,1.23,2254162
2018 Q2,3940772,2971217,969555,622669,346886,216328,419886,1.90,2254162
2018 Q3,4392642,3296966,1095676,545333,550343,89309,470573,2.13,2257273
