建碁            ,	3046
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,334965,203227,131738,152081,-20343,3243,-18489,-0.11,-18489,0,1636490
2013 Q2,343150,243877,99273,151644,-52371,5853,-50751,-0.31,-69240,-69240,1636490
2013 Q3,266673,190236,76437,153102,-76665,12697,-61163,-0.38,-130403,-130403,1636490
2013 Q4,1248708,840761,407947,609202,-201255,34830,-174081,-1.06,-174081,0,1716490
2014 Q1,281594,192931,88663,147664,-59001,10480,-48452,-0.30,-48411,-41,1716490
2014 Q2,228455,169938,58517,148486,-89969,2369,-90038,-0.55,-139089,599,1716490
2014 Q3,270339,221883,48456,145935,-97479,21768,-85490,-0.76,-224794,814,1205092
2014 Q4,1133857,864631,269226,579174,-309948,36904,-316752,-2.76,-317647,895,1205092
2015 Q1,335604,253382,82222,140593,-58371,519,-64107,-0.56,-64279,172,1186276
2015 Q2,325447,250800,74647,141812,-67165,2160,-69242,-0.60,-132977,-372,1186276
2015 Q3,432703,324080,108623,141158,-32535,28052,-11691,-0.11,-145961,921,1186276
2015 Q4,1562896,1152733,410163,590855,-180692,35476,-175688,-1.55,-178666,2978,1186276
2016 Q1,313097,214870,98227,153558,-55331,-4080,-66394,-0.57,-66354,-40,1186276
