全科            ,	3209
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,4633220,4407420,225800,183656,42144,13718,40912,0.51,946649
2013 Q2,4768171,4516207,251964,202494,49470,8634,45898,0.54,975048
2013 Q3,4749026,4494723,254303,197659,56644,-6960,43237,0.49,975048
2013 Q4,19210296,18239075,971221,800588,170633,50384,175868,2.07,975049
2014 Q1,5037014,4749002,288012,211934,76078,10103,68648,0.78,975049
2014 Q2,5791927,5480846,311081,207311,103770,-15563,72151,0.77,1038427
2014 Q3,5873390,5576099,297291,208581,88710,7000,81160,0.82,1038427
2014 Q4,22262754,21069307,1193447,848229,345218,24144,300470,3.11,1038427
2015 Q1,5660889,5337103,323786,212759,111027,-7044,88227,0.84,1038427
2015 Q2,5616883,5332789,284094,215627,68467,-13919,43613,0.44,1194191
2015 Q3,6636099,6252443,383656,266608,117048,20047,115960,1.04,1194191
2015 Q4,24358795,23041130,1317665,937626,380039,77339,392906,3.34,1194191
2016 Q1,6662995,6342745,320250,216125,104125,-19246,70718,0.57,1194191
2016 Q2,6661581,6363032,298549,210470,88079,702,74093,0.52,1385262
2016 Q3,7621410,7298725,322685,239825,82860,4839,66403,0.49,1385262
2016 Q4,28069697,26793019,1276678,896130,380548,-65430,256870,1.80,1385262
2017 Q1,8100834,7825398,275436,235662,39774,54091,74933,0.54,1385262
2017 Q2,7085907,6815547,270360,234487,35873,-20868,8934,0.06,1454525
2017 Q3,8728610,8378886,349724,246029,103695,-2244,82786,0.57,1454525
