揚明光          ,	3504
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,1283230,952256,330974,257635,73339,15474,69327,0.61,69327,0,1140598
2013 Q2,1427415,1071048,356367,262686,93681,15404,69227,0.61,138554,0,1140598
2013 Q3,1395358,1025427,369931,265661,104270,15943,84376,0.74,222930,0,1140598
2013 Q4,5258941,3904401,1354540,1071592,282948,67854,238938,2.09,238938,0,1140598
2014 Q1,1199404,916033,283371,267117,16254,18967,22499,0.20,22499,0,1140598
2014 Q2,1257598,940650,316948,281019,35929,19211,31926,0.28,54425,0,1140598
2014 Q3,1179971,843854,336117,282619,53498,25055,61210,0.54,115635,0,1140598
2014 Q4,5005603,3666431,1339172,1137654,201518,78508,192718,1.69,192718,0,1140598
2015 Q1,1050661,779558,271103,275873,-4770,23361,17699,0.16,17699,0,1140598
2015 Q2,1108250,803729,304521,285203,19318,12475,35356,0.31,53098,-43,1140598
2015 Q3,1139348,801854,337494,285673,51821,29745,57316,0.50,110606,-235,1140598
2015 Q4,4460489,3233836,1226653,1127849,98804,75539,128467,1.13,128665,-198,1140598
